saos_id|date|court|case_number|type|saos_url
541379|2025-12-05|SO|I ACa 1338/25|Wyrok|https://www.saos.org.pl/judgments/541379
538035|2025-11-07|SO|I ACa 1964/23|Wyrok|https://www.saos.org.pl/judgments/538035
543874|2025-09-17|SO|I ACa 760/23|Wyrok|https://www.saos.org.pl/judgments/543874
537067|2025-09-10|SO|I ACa 2096/22|Wyrok|https://www.saos.org.pl/judgments/537067
538254|2025-08-13|SO|I ACa 3070/23|Wyrok|https://www.saos.org.pl/judgments/538254
537070|2025-08-08|SO|I ACa 2189/22|Wyrok|https://www.saos.org.pl/judgments/537070
535667|2025-07-29|SO|I ACa 844/23|Wyrok|https://www.saos.org.pl/judgments/535667
538620|2025-07-17|SO|I ACa 377/23|Wyrok|https://www.saos.org.pl/judgments/538620
542416|2025-07-15|SO|I ACa 1333/23|Wyrok|https://www.saos.org.pl/judgments/542416
533649|2025-07-10|SO|I ACa 647/23|Wyrok|https://www.saos.org.pl/judgments/533649
535663|2025-06-17|SO|I ACa 435/23|Wyrok|https://www.saos.org.pl/judgments/535663
534353|2025-06-16|SO|I ACa 313/23|Wyrok|https://www.saos.org.pl/judgments/534353
541087|2025-06-13|SO|I ACa 41/23|Wyrok|https://www.saos.org.pl/judgments/541087
542112|2025-05-15|SO|I ACa 1948/22|Wyrok|https://www.saos.org.pl/judgments/542112
527499|2025-05-09|SO|I ACa 1566/23|Wyrok|https://www.saos.org.pl/judgments/527499
524859|2025-04-04|SO|IX P 202/23|Zarządzenie|https://www.saos.org.pl/judgments/524859
537990|2025-03-31|SO|I ACa 706/23|Wyrok|https://www.saos.org.pl/judgments/537990
527365|2025-03-18|SO|I ACa 1465/22|Wyrok|https://www.saos.org.pl/judgments/527365
529616|2025-03-13|SO|I C 946/24|Uzasadnienie|https://www.saos.org.pl/judgments/529616
537431|2025-03-10|SO|I ACa 1360/22|Wyrok|https://www.saos.org.pl/judgments/537431
536908|2025-02-21|SO|I ACa 692/23|Wyrok|https://www.saos.org.pl/judgments/536908
