saos_id|date|court|case_number|type|score|saos_url
80676|2001-06-21|SN|III CZP 21/01|Uchwała|89|https://www.saos.org.pl/judgments/80676
81150|2002-01-23|SN|II CKN 692/99|Postanowienie|69|https://www.saos.org.pl/judgments/81150
479695|2021-12-20|SO|I ACa 285/21|Wyrok|56|https://www.saos.org.pl/judgments/479695
157124|2015-05-25|SO|III K 121/14|Wyrok|40|https://www.saos.org.pl/judgments/157124
533568|2025-02-05|SO|II Ca 1786/24|Postanowienie|31|https://www.saos.org.pl/judgments/533568
533026|2025-01-14|SO|II Ca 804/23|Postanowienie|31|https://www.saos.org.pl/judgments/533026
525909|2024-05-23|SO|II Ca 728/23|Postanowienie|31|https://www.saos.org.pl/judgments/525909
532586|2023-05-30|SO|II Ca 885/22|Postanowienie|31|https://www.saos.org.pl/judgments/532586
532999|2023-05-08|SO|II Ca 1693/22|Postanowienie|31|https://www.saos.org.pl/judgments/532999
263637|2016-10-19|SO|IV Ca 1543/16|Postanowienie|31|https://www.saos.org.pl/judgments/263637
248198|2016-02-23|SO|II Ca 1451/15|Postanowienie|31|https://www.saos.org.pl/judgments/248198
210237|2015-11-03|SO|II Ca 1927/15|Postanowienie|31|https://www.saos.org.pl/judgments/210237
189886|2015-10-05|SO|II Ca 1786/15|Postanowienie|31|https://www.saos.org.pl/judgments/189886
132476|2014-10-23|SO|II Ca 1041/14|Postanowienie|31|https://www.saos.org.pl/judgments/132476
533558|2025-02-03|SO|II Ca 1293/24|Uzasadnienie|27|https://www.saos.org.pl/judgments/533558
506663|2023-03-14|SO|III Ca 673/22|Uzasadnienie|27|https://www.saos.org.pl/judgments/506663
533149|2023-03-02|SO|II Ca 3135/22|Uzasadnienie|27|https://www.saos.org.pl/judgments/533149
506123|2023-03-02|SO|III Ca 2171/21|Uzasadnienie|27|https://www.saos.org.pl/judgments/506123
431680|2020-07-02|SO|III Ca 1904/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/431680
426106|2020-04-16|SO|III Ca 2222/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/426106
417992|2020-01-16|SO|III Ca 1308/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/417992
396007|2019-08-08|SO|III Ca 809/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/396007
387975|2019-03-26|SO|III Ca 1983/18|Uzasadnienie|27|https://www.saos.org.pl/judgments/387975
362836|2018-10-16|SO|III Ca 1012/18|Uzasadnienie|27|https://www.saos.org.pl/judgments/362836
363236|2018-10-02|SO|III Ca 639/18|Uzasadnienie|27|https://www.saos.org.pl/judgments/363236
301162|2017-06-29|SO|III Ca 828/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/301162
301159|2017-06-29|SO|III Ca 827/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/301159
291166|2017-05-30|SO|III Ca 528/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/291166
281774|2017-02-28|SO|III Ca 58/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/281774
281772|2017-02-28|SO|III Ca 57/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/281772
281770|2017-02-28|SO|III Ca 56/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/281770
272238|2017-01-04|SO|III Ca 1792/16|Uzasadnienie|27|https://www.saos.org.pl/judgments/272238
246997|2016-07-21|SO|III Ca 699/16|Uzasadnienie|27|https://www.saos.org.pl/judgments/246997
221988|2016-02-22|SO|III Ca 179/16|Uzasadnienie|27|https://www.saos.org.pl/judgments/221988
173304|2015-04-17|SO|III Ca 433/15|Uzasadnienie|27|https://www.saos.org.pl/judgments/173304
128841|2014-12-12|SO|I Ca 347/14|Uzasadnienie|27|https://www.saos.org.pl/judgments/128841
132312|2014-12-09|SO|III Ca 1522/14|Uzasadnienie|27|https://www.saos.org.pl/judgments/132312
132201|2014-12-09|SO|III Ca 1523/14|Uzasadnienie|27|https://www.saos.org.pl/judgments/132201
132199|2014-12-09|SO|III Ca 1521/14|Uzasadnienie|27|https://www.saos.org.pl/judgments/132199
76177|2014-11-10|SO|III Ca 1360/14|Uzasadnienie|27|https://www.saos.org.pl/judgments/76177
62224|2014-07-21|SO|III Ca 494/14|Uzasadnienie|27|https://www.saos.org.pl/judgments/62224
