saos_id|date|court|case_number|type|score|saos_url
368069|2018-12-04|SO|V ACa 1541/17|Wyrok|56|https://www.saos.org.pl/judgments/368069
304262|2017-07-05|SO|I ACa 140/17|Wyrok|56|https://www.saos.org.pl/judgments/304262
289622|2017-03-02|SO|I ACa 1415/16|Wyrok|56|https://www.saos.org.pl/judgments/289622
236212|2016-06-09|SO|VI ACa 291/15|Wyrok|56|https://www.saos.org.pl/judgments/236212
176766|2015-06-23|SO|V ACa 884/14|Wyrok|56|https://www.saos.org.pl/judgments/176766
54345|2014-05-29|SO|I ACa 907/13|Wyrok|56|https://www.saos.org.pl/judgments/54345
47709|2014-02-12|SO|I ACa 384/13|Wyrok|56|https://www.saos.org.pl/judgments/47709
38370|2014-02-06|SO|I ACa 1041/13|Wyrok|56|https://www.saos.org.pl/judgments/38370
148211|2013-11-12|SO|I ACa 574/13|Wyrok|56|https://www.saos.org.pl/judgments/148211
9301|2013-02-28|SO|I ACa 887/12|Wyrok|56|https://www.saos.org.pl/judgments/9301
2484|2012-10-23|SO|I ACa 317/12|Wyrok|56|https://www.saos.org.pl/judgments/2484
29800|2013-11-28|SO|IV Ca 1649/12|Wyrok|40|https://www.saos.org.pl/judgments/29800
531695|2024-03-20|SO|III Ca 2122/22|Uzasadnienie|27|https://www.saos.org.pl/judgments/531695
338918|2018-01-09|SO|III Ca 1246/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/338918
324761|2017-12-28|SO|III Ca 1448/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/324761
323734|2017-10-30|SO|III Ca 1241/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/323734
