saos_id|date|court|case_number|type|saos_url
544313|2026-02-16|SO|IV P 769/25|Wyrok|https://www.saos.org.pl/judgments/544313
542094|2026-01-21|SO|IV P 553/24|Uzasadnienie|https://www.saos.org.pl/judgments/542094
540232|2025-12-08|SO|IV P 1023/25|Wyrok|https://www.saos.org.pl/judgments/540232
540233|2025-12-01|SO|IV P 1170/24|Wyrok|https://www.saos.org.pl/judgments/540233
532198|2025-07-21|SO|XIV C 142/23|Wyrok|https://www.saos.org.pl/judgments/532198
520082|2023-07-11|SO|I C 721/20|Wyrok|https://www.saos.org.pl/judgments/520082
493580|2022-10-18|SO|I ACa 1380/21|Wyrok|https://www.saos.org.pl/judgments/493580
449722|2021-09-14|SO|II W 394/21|Wyrok|https://www.saos.org.pl/judgments/449722
450133|2021-08-03|SO|VIII U 1653/20|Uzasadnienie|https://www.saos.org.pl/judgments/450133
448662|2021-03-25|SO|II W 339/20|Wyrok|https://www.saos.org.pl/judgments/448662
444010|2021-03-22|SO|I C 1422/20|Wyrok|https://www.saos.org.pl/judgments/444010
473296|2021-01-18|SO|V ACa 365/20|Wyrok|https://www.saos.org.pl/judgments/473296
420318|2020-06-10|SO|II Ca 334/20|Wyrok|https://www.saos.org.pl/judgments/420318
410257|2019-10-02|SO|V ACa 200/19|Wyrok|https://www.saos.org.pl/judgments/410257
384805|2019-05-23|SO|I ACa 1749/17|Wyrok|https://www.saos.org.pl/judgments/384805
367408|2018-12-04|SO|V ACa 817/17|Wyrok|https://www.saos.org.pl/judgments/367408
366203|2018-11-28|SO|V ACa 587/17|Wyrok|https://www.saos.org.pl/judgments/366203
356333|2018-07-05|SO|II Ca 144/18|Postanowienie|https://www.saos.org.pl/judgments/356333
345322|2018-06-26|SO|XII C 942/16|Wyrok|https://www.saos.org.pl/judgments/345322
379891|2018-06-08|SO|VI ACa 1699/16|Wyrok|https://www.saos.org.pl/judgments/379891
345369|2018-05-28|SO|III C 1022/17|Wyrok|https://www.saos.org.pl/judgments/345369
365805|2018-05-10|SO|V ACa 300/17|Wyrok|https://www.saos.org.pl/judgments/365805
341917|2018-02-23|SO|IV Ka 57/18|Wyrok|https://www.saos.org.pl/judgments/341917
330200|2018-01-09|SO|XVII Ka 1381/17|Wyrok|https://www.saos.org.pl/judgments/330200
421940|2017-06-21|SO|I C 140/16|Wyrok|https://www.saos.org.pl/judgments/421940
318482|2017-05-30|SO|VI ACa 915/16|Wyrok|https://www.saos.org.pl/judgments/318482
377765|2017-04-25|SO|II C 127/16|Wyrok|https://www.saos.org.pl/judgments/377765
287468|2017-04-07|SO|I ACa 2083/16|Wyrok|https://www.saos.org.pl/judgments/287468
286210|2017-03-03|SO|I ACa 841/16|Wyrok|https://www.saos.org.pl/judgments/286210
284789|2017-02-22|SO|VI P 783/15|Wyrok|https://www.saos.org.pl/judgments/284789
277450|2017-01-27|SO|I C 922/16|Wyrok|https://www.saos.org.pl/judgments/277450
274693|2016-12-13|SO|VI ACa 1175/15|Wyrok|https://www.saos.org.pl/judgments/274693
271027|2016-12-07|SO|I ACa 845/16|Wyrok|https://www.saos.org.pl/judgments/271027
252038|2016-07-29|SO|XIV C 765/15|Wyrok|https://www.saos.org.pl/judgments/252038
241182|2016-07-28|SO|III C 23/14|Wyrok|https://www.saos.org.pl/judgments/241182
255073|2016-06-28|SO|VI ACa 1474/14|Wyrok|https://www.saos.org.pl/judgments/255073
248067|2016-06-06|SO|I ACa 1146/15|Wyrok|https://www.saos.org.pl/judgments/248067
237461|2016-05-10|SO|I C 1804/15|Wyrok|https://www.saos.org.pl/judgments/237461
221487|2016-03-11|SO|III Ca 1693/15|Uzasadnienie|https://www.saos.org.pl/judgments/221487
202445|2016-01-12|SO|I ACa 984/15|Wyrok|https://www.saos.org.pl/judgments/202445
203778|2015-12-17|SO|XV C 635/15|Wyrok|https://www.saos.org.pl/judgments/203778
218310|2015-11-26|SO|I ACa 545/15|Wyrok|https://www.saos.org.pl/judgments/218310
181625|2015-08-24|SO|I C 1039/14|Wyrok|https://www.saos.org.pl/judgments/181625
169151|2015-06-24|SO|I ACa 196/15|Wyrok|https://www.saos.org.pl/judgments/169151
179007|2015-06-16|SO|I ACa 1530/14|Wyrok|https://www.saos.org.pl/judgments/179007
171635|2015-04-29|SO|VI ACa 747/14|Wyrok|https://www.saos.org.pl/judgments/171635
170986|2015-04-22|SO|VII Ka 254/15|Wyrok|https://www.saos.org.pl/judgments/170986
173824|2015-04-15|SO|I ACa 969/14|Wyrok|https://www.saos.org.pl/judgments/173824
132753|2015-02-20|SO|IV P 82/14|Wyrok|https://www.saos.org.pl/judgments/132753
69766|2014-10-27|SO|I ACa 1096/13|Wyrok|https://www.saos.org.pl/judgments/69766
72825|2014-10-23|SO|III APa 13/14|Wyrok|https://www.saos.org.pl/judgments/72825
68737|2014-10-22|SO|IV Ka 773/14|Wyrok|https://www.saos.org.pl/judgments/68737
151446|2014-07-15|SO|I C 282/14|Uzasadnienie|https://www.saos.org.pl/judgments/151446
171320|2014-05-30|SO|I C 1222/13|Wyrok|https://www.saos.org.pl/judgments/171320
