saos_id|date|court|case_number|type|score|saos_url
444914|2021-06-28|SO|I ACa 463/20|Wyrok|56|https://www.saos.org.pl/judgments/444914
365131|2018-07-31|SO|VI ACa 333/17|Wyrok|56|https://www.saos.org.pl/judgments/365131
379891|2018-06-08|SO|VI ACa 1699/16|Wyrok|56|https://www.saos.org.pl/judgments/379891
331512|2017-04-13|SO|I ACa 1536/15|Wyrok|56|https://www.saos.org.pl/judgments/331512
228215|2016-01-28|SO|I ACa 1621/14|Wyrok|56|https://www.saos.org.pl/judgments/228215
171635|2015-04-29|SO|VI ACa 747/14|Wyrok|56|https://www.saos.org.pl/judgments/171635
69766|2014-10-27|SO|I ACa 1096/13|Wyrok|56|https://www.saos.org.pl/judgments/69766
73555|2014-05-13|SO|VI ACa 181/12|Wyrok|56|https://www.saos.org.pl/judgments/73555
35496|2013-08-20|SO|I ACa 135/13|Wyrok|56|https://www.saos.org.pl/judgments/35496
22418|2013-04-30|SO|I ACa 741/12|Wyrok|56|https://www.saos.org.pl/judgments/22418
3965|2012-11-22|SO|I ACa 930/12|Wyrok|56|https://www.saos.org.pl/judgments/3965
5615|2012-09-14|SO|I ACa 892/12|Wyrok|56|https://www.saos.org.pl/judgments/5615
159175|2014-05-15|SO|I C 404/13|Wyrok|40|https://www.saos.org.pl/judgments/159175
