saos_id|date|court|case_number|type|saos_url
544111|2026-04-01|SO|IV Ka 2/26|Uzasadnienie|https://www.saos.org.pl/judgments/544111
531641|2025-06-05|SO|II W 997/25|Wyrok|https://www.saos.org.pl/judgments/531641
487956|2023-05-05|SO|II Ka 200/23|Wyrok|https://www.saos.org.pl/judgments/487956
486311|2023-03-09|SO|VII Ka 746/22|Wyrok|https://www.saos.org.pl/judgments/486311
490962|2023-03-07|SO|VI Ka 42/23|Wyrok|https://www.saos.org.pl/judgments/490962
471478|2022-06-02|SO|II Ka 36/22|Wyrok|https://www.saos.org.pl/judgments/471478
514366|2022-02-15|SO|VIII W 975/21|Wyrok|https://www.saos.org.pl/judgments/514366
473157|2021-12-22|SO|III W 1513/21|Uzasadnienie|https://www.saos.org.pl/judgments/473157
453057|2021-12-07|SO|VI Ka 1151/21|Wyrok|https://www.saos.org.pl/judgments/453057
447794|2021-09-08|SO|VI Ka 1265/20|Wyrok|https://www.saos.org.pl/judgments/447794
445654|2021-08-17|SO|IV Ka 447/21|Uzasadnienie|https://www.saos.org.pl/judgments/445654
441622|2021-03-02|SO|III W 2/20|Uzasadnienie|https://www.saos.org.pl/judgments/441622
410209|2020-02-04|SO|VI Ka 527/19|Wyrok|https://www.saos.org.pl/judgments/410209
410088|2020-01-29|SO|VI Ka 335/19|Wyrok|https://www.saos.org.pl/judgments/410088
406331|2019-10-23|SO|III W 1053/19|Uzasadnienie|https://www.saos.org.pl/judgments/406331
402555|2019-10-11|SO|III W 1009/19|Uzasadnienie|https://www.saos.org.pl/judgments/402555
394263|2019-08-20|SO|V W 726/19|Wyrok|https://www.saos.org.pl/judgments/394263
404197|2019-08-12|SO|III W 295/19|Uzasadnienie|https://www.saos.org.pl/judgments/404197
394395|2019-07-23|SO|III W 572/19|Uzasadnienie|https://www.saos.org.pl/judgments/394395
381837|2019-03-05|SO|V Ka 1503/18|Uzasadnienie|https://www.saos.org.pl/judgments/381837
417637|2019-02-25|SO|VIII W 1666/18|Uzasadnienie|https://www.saos.org.pl/judgments/417637
361709|2018-10-23|SO|V W 593/18|Wyrok|https://www.saos.org.pl/judgments/361709
361706|2018-10-16|SO|V W 3109/18|Wyrok|https://www.saos.org.pl/judgments/361706
364259|2018-07-03|SO|III W 138/18|Uzasadnienie|https://www.saos.org.pl/judgments/364259
356642|2018-05-14|SO|VI Ka 425/18|Wyrok|https://www.saos.org.pl/judgments/356642
359603|2018-05-11|SO|III W 139/18|Uzasadnienie|https://www.saos.org.pl/judgments/359603
331451|2018-02-27|SO|V W 4138/17|Wyrok|https://www.saos.org.pl/judgments/331451
