saos_id|date|court|case_number|type|saos_url
495442|2024-05-22|SO|I C 1131/22|Wyrok|https://www.saos.org.pl/judgments/495442
430016|2020-03-26|SO|III AUa 564/19|Wyrok|https://www.saos.org.pl/judgments/430016
356043|2018-07-18|SO|I ACa 495/18|Wyrok|https://www.saos.org.pl/judgments/356043
245920|2016-06-02|SO|I ACa 212/16|Wyrok|https://www.saos.org.pl/judgments/245920
203458|2015-12-10|SO|VI ACa 1807/14|Wyrok|https://www.saos.org.pl/judgments/203458
175511|2015-07-27|SO|VI C 980/15|Uzasadnienie|https://www.saos.org.pl/judgments/175511
298503|2015-07-01|SO|II Ca 124/15|Wyrok|https://www.saos.org.pl/judgments/298503
176896|2015-06-25|SO|I ACa 453/15|Wyrok|https://www.saos.org.pl/judgments/176896
303365|2015-05-28|SO|I ACa 59/15|Wyrok|https://www.saos.org.pl/judgments/303365
46566|2014-04-14|SO|I ACa 1316/13|Wyrok|https://www.saos.org.pl/judgments/46566
15743|2011-05-16|SO|XVII AmA 201/09|Uzasadnienie|https://www.saos.org.pl/judgments/15743
265799|2011-04-20|SO|XVII AmA 201/09|Wyrok|https://www.saos.org.pl/judgments/265799
