saos_id|date|court|case_number|type|score|saos_url
206687|2015-07-31|TK|K 41/12|Wyrok|98|https://www.saos.org.pl/judgments/206687
160142|2014-02-18|TK|K 29/12|Wyrok|98|https://www.saos.org.pl/judgments/160142
111696|2013-07-25|TK|SK 61/12|Wyrok|98|https://www.saos.org.pl/judgments/111696
111624|2013-05-14|TK|P 27/12|Wyrok|98|https://www.saos.org.pl/judgments/111624
111590|2013-03-13|TK|K 25/10|Wyrok|98|https://www.saos.org.pl/judgments/111590
110334|2011-12-06|TK|SK 3/11|Wyrok|98|https://www.saos.org.pl/judgments/110334
110254|2011-06-15|TK|K 2/09|Wyrok|98|https://www.saos.org.pl/judgments/110254
109003|2009-10-14|TK|Kp 4/09|Wyrok|98|https://www.saos.org.pl/judgments/109003
108605|2008-12-15|TK|P 57/07|Wyrok|98|https://www.saos.org.pl/judgments/108605
107230|2005-09-05|TK|P 18/04|Wyrok|98|https://www.saos.org.pl/judgments/107230
106351|2003-11-13|TK|K 51/02|Wyrok|98|https://www.saos.org.pl/judgments/106351
106368|2003-06-17|TK|P 24/02|Wyrok|98|https://www.saos.org.pl/judgments/106368
205935|1999-09-15|TK|K 11/99|Wyrok|98|https://www.saos.org.pl/judgments/205935
168031|2015-01-20|SN|III CZP 78/14|Uchwała|96|https://www.saos.org.pl/judgments/168031
166978|2014-10-08|SN|III SZP 2/14|Uchwała|89|https://www.saos.org.pl/judgments/166978
95393|2011-07-07|SN|III UZP 2/11|Uchwała|89|https://www.saos.org.pl/judgments/95393
76922|1995-09-05|SN|III AZP 18/95|Uchwała|89|https://www.saos.org.pl/judgments/76922
76721|1994-12-01|SN|III AZP 8/94|Uchwała|89|https://www.saos.org.pl/judgments/76721
206837|2015-06-05|TK|Ts 27/14|Postanowienie|80|https://www.saos.org.pl/judgments/206837
206986|2015-04-17|TK|Ts 246/14|Postanowienie|80|https://www.saos.org.pl/judgments/206986
206528|2014-12-23|TK|Ts 27/14|Postanowienie|80|https://www.saos.org.pl/judgments/206528
159912|2014-06-30|TK|Ts 100/14|Postanowienie|80|https://www.saos.org.pl/judgments/159912
111599|2013-01-10|TK|K 36/11|Postanowienie|80|https://www.saos.org.pl/judgments/111599
109908|2010-12-13|TK|Ts 103/09|Postanowienie|80|https://www.saos.org.pl/judgments/109908
206282|2010-12-01|TK|Ts 114/10|Postanowienie|80|https://www.saos.org.pl/judgments/206282
109907|2010-02-22|TK|Ts 103/09|Postanowienie|80|https://www.saos.org.pl/judgments/109907
108885|2008-12-22|TK|Ts 271/08|Postanowienie|80|https://www.saos.org.pl/judgments/108885
107297|2005-07-12|TK|Ts 10/05|Postanowienie|80|https://www.saos.org.pl/judgments/107297
107296|2005-05-06|TK|Ts 10/05|Postanowienie|80|https://www.saos.org.pl/judgments/107296
105944|2001-11-28|TK|Ts 69/01|Postanowienie|80|https://www.saos.org.pl/judgments/105944
106012|2001-09-18|TK|Ts 186/00|Postanowienie|80|https://www.saos.org.pl/judgments/106012
205765|1997-12-05|TK|Ts 1/97|Postanowienie|80|https://www.saos.org.pl/judgments/205765
243932|2015-11-25|SN|II CSK 866/14|Wyrok|78|https://www.saos.org.pl/judgments/243932
243806|2015-11-20|SN|I CSK 613/15|Wyrok|78|https://www.saos.org.pl/judgments/243806
169053|2015-05-14|SN|I CSK 774/13|Wyrok|78|https://www.saos.org.pl/judgments/169053
168534|2015-03-12|SN|I CSK 62/14|Wyrok|78|https://www.saos.org.pl/judgments/168534
166931|2014-10-09|SN|II UK 594/13|Wyrok|78|https://www.saos.org.pl/judgments/166931
165581|2013-12-18|SN|I CSK 142/13|Wyrok|78|https://www.saos.org.pl/judgments/165581
103452|2013-11-06|SN|IV CSK 133/13|Wyrok|78|https://www.saos.org.pl/judgments/103452
102873|2013-09-19|SN|I CSK 732/12|Wyrok|78|https://www.saos.org.pl/judgments/102873
91815|2010-02-12|SN|I CSK 328/09|Wyrok|78|https://www.saos.org.pl/judgments/91815
89229|2008-11-21|SN|V CSK 204/08|Wyrok|78|https://www.saos.org.pl/judgments/89229
164994|2007-12-05|SN|I CSK 301/07|Wyrok|78|https://www.saos.org.pl/judgments/164994
85906|2007-05-25|SN|I CSK 24/07|Wyrok|78|https://www.saos.org.pl/judgments/85906
163848|2005-12-16|SN|III CK 309/05|Wyrok|78|https://www.saos.org.pl/judgments/163848
82063|2003-06-10|SN|III RN 72/02|Wyrok|78|https://www.saos.org.pl/judgments/82063
81525|2002-07-18|SN|III RN 48/02|Wyrok|78|https://www.saos.org.pl/judgments/81525
80351|2001-02-22|SN|III RN 72/00|Wyrok|78|https://www.saos.org.pl/judgments/80351
79701|2000-05-11|SN|III RN 160/99|Wyrok|78|https://www.saos.org.pl/judgments/79701
79204|1999-08-06|SN|III RN 28/99|Wyrok|78|https://www.saos.org.pl/judgments/79204
79033|1999-05-13|SN|III RN 1/99|Wyrok|78|https://www.saos.org.pl/judgments/79033
78933|1999-03-25|SN|III RN 158/98|Wyrok|78|https://www.saos.org.pl/judgments/78933
78785|1999-01-06|SN|III RN 108/98|Wyrok|78|https://www.saos.org.pl/judgments/78785
78784|1999-01-06|SN|III RN 101/98|Wyrok|78|https://www.saos.org.pl/judgments/78784
78732|1998-12-02|SN|III RN 82/98|Wyrok|78|https://www.saos.org.pl/judgments/78732
78508|1998-09-03|SN|III RN 83/98|Wyrok|78|https://www.saos.org.pl/judgments/78508
77271|1996-10-04|SN|III RN 2/96|Wyrok|78|https://www.saos.org.pl/judgments/77271
242779|2015-06-16|SN|I CSK 864/14|Postanowienie|69|https://www.saos.org.pl/judgments/242779
167918|2015-01-22|SN|I CSK 223/14|Postanowienie|69|https://www.saos.org.pl/judgments/167918
101378|2013-04-12|SN|III SK 45/12|Postanowienie|69|https://www.saos.org.pl/judgments/101378
92719|2010-07-27|SN|II CSK 122/10|Postanowienie|69|https://www.saos.org.pl/judgments/92719
81434|2002-06-06|SN|III RN 88/01|Postanowienie|69|https://www.saos.org.pl/judgments/81434
80270|2001-01-25|SN|II CKN 1343/00|Postanowienie|69|https://www.saos.org.pl/judgments/80270
467338|2022-05-20|SO|I ACa 824/21|Wyrok|56|https://www.saos.org.pl/judgments/467338
464597|2021-11-10|SO|III AUa 1119/20|Wyrok|56|https://www.saos.org.pl/judgments/464597
448533|2021-08-26|SO|I ACa 498/20|Wyrok|56|https://www.saos.org.pl/judgments/448533
475377|2021-05-20|SO|V ACa 37/21|Wyrok|56|https://www.saos.org.pl/judgments/475377
