saos_id|date|court|case_number|type|saos_url
513942|2024-05-20|SO|VIII U 554/24|Uzasadnienie|https://www.saos.org.pl/judgments/513942
462352|2020-04-24|SO|III AUa 46/20|Wyrok|https://www.saos.org.pl/judgments/462352
408954|2019-12-19|SO|VI U 2188/19|Wyrok|https://www.saos.org.pl/judgments/408954
402373|2019-11-21|SO|IV U 1382/19|Wyrok|https://www.saos.org.pl/judgments/402373
28466|2013-09-18|SO|V U 1295/13|Wyrok|https://www.saos.org.pl/judgments/28466
28261|2013-09-18|SO|V U 1438/13|Wyrok|https://www.saos.org.pl/judgments/28261
12502|2013-06-07|SO|V U 747/13|Wyrok|https://www.saos.org.pl/judgments/12502
12498|2013-06-07|SO|V U 611/13|Wyrok|https://www.saos.org.pl/judgments/12498
13161|2013-06-05|SO|V U 858/13|Wyrok|https://www.saos.org.pl/judgments/13161
13147|2013-06-05|SO|V U 565/13|Wyrok|https://www.saos.org.pl/judgments/13147
