saos_id|date|court|case_number|type|score|saos_url
110925|2012-01-11|TK|K 36/09|Wyrok|98|https://www.saos.org.pl/judgments/110925
107184|2005-10-26|TK|K 31/04|Wyrok|98|https://www.saos.org.pl/judgments/107184
96819|2012-01-17|SN|I UZP 9/11|Uchwała|89|https://www.saos.org.pl/judgments/96819
92078|2010-03-18|SN|II UZP 2/10|Uchwała|89|https://www.saos.org.pl/judgments/92078
91629|2010-01-14|SN|III SZP 3/09|Uchwała|89|https://www.saos.org.pl/judgments/91629
87393|2008-02-19|SN|II UZP 8/07|Uchwała|89|https://www.saos.org.pl/judgments/87393
111632|2013-03-05|TK|P 38/10|Postanowienie|80|https://www.saos.org.pl/judgments/111632
111527|2012-01-19|TK|Tw 12/11|Postanowienie|80|https://www.saos.org.pl/judgments/111527
97661|2012-03-28|SN|II UK 170/11|Wyrok|78|https://www.saos.org.pl/judgments/97661
95715|2011-09-13|SN|I UK 417/10|Wyrok|78|https://www.saos.org.pl/judgments/95715
93116|2010-10-13|SN|II UK 105/10|Wyrok|78|https://www.saos.org.pl/judgments/93116
91306|2009-11-25|SN|I UK 107/09|Wyrok|78|https://www.saos.org.pl/judgments/91306
90169|2009-05-06|SN|II UK 222/08|Wyrok|78|https://www.saos.org.pl/judgments/90169
89064|2008-11-04|SN|I UK 114/08|Wyrok|78|https://www.saos.org.pl/judgments/89064
81946|2003-04-02|SN|III RN 51/02|Wyrok|78|https://www.saos.org.pl/judgments/81946
78937|1999-03-25|SN|III RN 165/98|Wyrok|78|https://www.saos.org.pl/judgments/78937
78680|1998-11-13|SN|II UKN 302/98|Wyrok|78|https://www.saos.org.pl/judgments/78680
94927|2011-05-12|SN|II BU 10/10|Postanowienie|69|https://www.saos.org.pl/judgments/94927
78044|1998-01-08|SN|III KKO 9/97|Postanowienie|69|https://www.saos.org.pl/judgments/78044
77543|1997-03-26|SN|III RN 9/97|Postanowienie|69|https://www.saos.org.pl/judgments/77543
537925|2025-05-22|SO|III AUa 46/24|Wyrok|56|https://www.saos.org.pl/judgments/537925
494193|2023-09-20|SO|I ACa 447/22|Wyrok|56|https://www.saos.org.pl/judgments/494193
463865|2022-01-20|SO|III AUa 406/21|Wyrok|56|https://www.saos.org.pl/judgments/463865
443485|2021-03-25|SO|III AUa 49/21|Wyrok|56|https://www.saos.org.pl/judgments/443485
430406|2020-09-30|SO|III AUa 559/19|Wyrok|56|https://www.saos.org.pl/judgments/430406
432669|2020-09-17|SO|III AUa 472/19|Wyrok|56|https://www.saos.org.pl/judgments/432669
378581|2019-03-14|SO|III AUa 560/18|Wyrok|56|https://www.saos.org.pl/judgments/378581
388789|2019-01-29|SO|III AUa 915/17|Wyrok|56|https://www.saos.org.pl/judgments/388789
