saos_id|date|court|case_number|type|saos_url
536247|2025-07-31|SO|XVII AmA 39/23|Wyrok|https://www.saos.org.pl/judgments/536247
515077|2023-01-23|SO|XVII AmE 167/21|Wyrok|https://www.saos.org.pl/judgments/515077
487214|2023-01-19|SO|II C 108/15|Wyrok|https://www.saos.org.pl/judgments/487214
488630|2021-07-26|SO|X GC 997/19|Zarządzenie|https://www.saos.org.pl/judgments/488630
455841|2020-07-09|SO|XVII AmK 3/18|Wyrok|https://www.saos.org.pl/judgments/455841
414707|2020-06-16|SO|I Ca 137/20|Postanowienie|https://www.saos.org.pl/judgments/414707
389164|2019-07-25|SO|V ACa 454/18|Wyrok|https://www.saos.org.pl/judgments/389164
374049|2019-01-18|SO|I ACa 1652/17|Wyrok|https://www.saos.org.pl/judgments/374049
296086|2017-07-14|SO|I C 1132/12|Wyrok|https://www.saos.org.pl/judgments/296086
320851|2017-06-30|SO|VI ACa 136/16|Wyrok|https://www.saos.org.pl/judgments/320851
277961|2017-01-13|SO|VI ACa 1536/15|Wyrok|https://www.saos.org.pl/judgments/277961
250367|2015-11-26|SO|XVII AmE 55/15|Wyrok|https://www.saos.org.pl/judgments/250367
198505|2015-11-18|SO|II Ca 1045/15|Wyrok|https://www.saos.org.pl/judgments/198505
253764|2015-07-30|SO|XVII AmE 73/14|Wyrok|https://www.saos.org.pl/judgments/253764
67201|2014-07-21|SO|XVII AmE 18/13|Uzasadnienie|https://www.saos.org.pl/judgments/67201
26223|2013-10-02|SO|III Ca 612/13|Wyrok|https://www.saos.org.pl/judgments/26223
11120|2013-03-13|SO|III AUa 459/12|Wyrok|https://www.saos.org.pl/judgments/11120
108524|2008-10-13|TK|K 16/07|Wyrok|https://www.saos.org.pl/judgments/108524
82018|2003-05-13|SN|V CKN 151/01|Wyrok|https://www.saos.org.pl/judgments/82018
205480|1991-04-24|TK|S 4/91|Postanowienie|https://www.saos.org.pl/judgments/205480
