saos_id|date|court|case_number|type|score|saos_url
540260|2025-12-19|SO|III AUa 1621/24|Wyrok|56|https://www.saos.org.pl/judgments/540260
544448|2025-11-20|SO|I ACa 951/25|Wyrok|56|https://www.saos.org.pl/judgments/544448
540181|2025-10-16|SO|III AUa 490/24|Wyrok|56|https://www.saos.org.pl/judgments/540181
527899|2025-05-29|SO|II AKa 445/24|Wyrok|56|https://www.saos.org.pl/judgments/527899
532655|2025-03-18|SO|III AUa 330/24|Wyrok|56|https://www.saos.org.pl/judgments/532655
531302|2025-01-13|SO|III AUa 62/23|Wyrok|56|https://www.saos.org.pl/judgments/531302
504993|2024-07-03|SO|III AUa 443/23|Wyrok|56|https://www.saos.org.pl/judgments/504993
528586|2024-06-05|SO|III AUa 511/23|Wyrok|56|https://www.saos.org.pl/judgments/528586
525839|2024-05-16|SO|III AUa 313/23|Wyrok|56|https://www.saos.org.pl/judgments/525839
504868|2024-05-08|SO|III AUa 234/23|Wyrok|56|https://www.saos.org.pl/judgments/504868
505154|2024-03-19|SO|III AUa 747/22|Wyrok|56|https://www.saos.org.pl/judgments/505154
505035|2024-03-05|SO|III AUa 51/23|Wyrok|56|https://www.saos.org.pl/judgments/505035
504999|2024-02-22|SO|III AUa 451/22|Wyrok|56|https://www.saos.org.pl/judgments/504999
504909|2024-02-21|SO|III AUa 31/23|Wyrok|56|https://www.saos.org.pl/judgments/504909
505177|2024-01-18|SO|III AUa 802/22|Wyrok|56|https://www.saos.org.pl/judgments/505177
505144|2023-12-28|SO|III AUa 728/22|Wyrok|56|https://www.saos.org.pl/judgments/505144
504888|2023-12-27|SO|III AUa 2860/23|Wyrok|56|https://www.saos.org.pl/judgments/504888
504926|2023-11-29|SO|III AUa 3456/22|Wyrok|56|https://www.saos.org.pl/judgments/504926
504897|2023-10-12|SO|III AUa 3/23|Wyrok|56|https://www.saos.org.pl/judgments/504897
505145|2023-09-25|SO|III AUa 732/23|Wyrok|56|https://www.saos.org.pl/judgments/505145
500501|2023-06-28|SO|II AKa 147/22|Wyrok|56|https://www.saos.org.pl/judgments/500501
505060|2023-05-31|SO|III AUa 558/22|Wyrok|56|https://www.saos.org.pl/judgments/505060
494297|2023-04-21|SO|I ACa 544/21|Wyrok|56|https://www.saos.org.pl/judgments/494297
494045|2023-04-19|SO|I ACa 31/21|Wyrok|56|https://www.saos.org.pl/judgments/494045
489258|2023-03-24|SO|III AUa 1677/22|Wyrok|56|https://www.saos.org.pl/judgments/489258
505030|2023-03-16|SO|III AUa 500/22|Wyrok|56|https://www.saos.org.pl/judgments/505030
486262|2023-02-22|SO|II AKa 252/21|Wyrok|56|https://www.saos.org.pl/judgments/486262
504963|2023-02-02|SO|III AUa 395/22|Wyrok|56|https://www.saos.org.pl/judgments/504963
491099|2023-01-24|SO|III AUa 1676/22|Wyrok|56|https://www.saos.org.pl/judgments/491099
486359|2023-01-17|SO|III AUa 647/21|Wyrok|56|https://www.saos.org.pl/judgments/486359
486358|2023-01-17|SO|III AUa 646/21|Wyrok|56|https://www.saos.org.pl/judgments/486358
493183|2022-12-28|SO|III AUa 313/22|Wyrok|56|https://www.saos.org.pl/judgments/493183
484754|2022-12-21|SO|III AUa 342/22|Wyrok|56|https://www.saos.org.pl/judgments/484754
485898|2022-12-13|SO|III AUa 589/21|Wyrok|56|https://www.saos.org.pl/judgments/485898
485897|2022-12-13|SO|III AUa 588/21|Wyrok|56|https://www.saos.org.pl/judgments/485897
482944|2022-12-06|SO|III AUa 607/21|Wyrok|56|https://www.saos.org.pl/judgments/482944
485894|2022-11-30|SO|III AUa 490/21|Wyrok|56|https://www.saos.org.pl/judgments/485894
487295|2022-11-29|SO|III AUa 554/21|Wyrok|56|https://www.saos.org.pl/judgments/487295
492022|2022-11-10|SO|III APa 3/22|Wyrok|56|https://www.saos.org.pl/judgments/492022
477963|2022-10-26|SO|III AUa 1217/20|Wyrok|56|https://www.saos.org.pl/judgments/477963
489636|2022-10-18|SO|III AUa 850/22|Wyrok|56|https://www.saos.org.pl/judgments/489636
481630|2022-10-05|SO|III AUa 1270/20|Wyrok|56|https://www.saos.org.pl/judgments/481630
476784|2022-07-20|SO|III AUa 544/19|Wyrok|56|https://www.saos.org.pl/judgments/476784
478753|2022-07-07|SO|III AUa 416/21|Wyrok|56|https://www.saos.org.pl/judgments/478753
477343|2022-05-26|SO|III AUa 386/21|Wyrok|56|https://www.saos.org.pl/judgments/477343
474101|2022-05-18|SO|III AUa 789/20|Wyrok|56|https://www.saos.org.pl/judgments/474101
464962|2022-04-13|SO|I ACa 54/22|Wyrok|56|https://www.saos.org.pl/judgments/464962
515761|2022-04-04|SO|I AGa 268/19|Wyrok|56|https://www.saos.org.pl/judgments/515761
467963|2022-03-03|SO|III AUa 227/21|Wyrok|56|https://www.saos.org.pl/judgments/467963
467958|2022-03-03|SO|III APa 14/21|Wyrok|56|https://www.saos.org.pl/judgments/467958
462345|2022-02-23|SO|III AUa 191/21|Wyrok|56|https://www.saos.org.pl/judgments/462345
470280|2021-12-30|SO|III AUa 1901/21|Wyrok|56|https://www.saos.org.pl/judgments/470280
472758|2021-11-03|SO|III AUa 1624/20|Wyrok|56|https://www.saos.org.pl/judgments/472758
472463|2021-11-03|SO|III AUa 1050/21|Wyrok|56|https://www.saos.org.pl/judgments/472463
452691|2021-09-13|SO|III AUa 1235/19|Wyrok|56|https://www.saos.org.pl/judgments/452691
460654|2021-07-28|SO|III AUa 875/19|Wyrok|56|https://www.saos.org.pl/judgments/460654
454476|2021-07-21|SO|III AUa 874/20|Wyrok|56|https://www.saos.org.pl/judgments/454476
445858|2021-04-27|SO|I ACa 387/18|Wyrok|56|https://www.saos.org.pl/judgments/445858
453532|2021-04-21|SO|V ACa 656/20|Wyrok|56|https://www.saos.org.pl/judgments/453532
439923|2021-04-14|SO|I ACa 89/21|Wyrok|56|https://www.saos.org.pl/judgments/439923
440492|2021-03-30|SO|III AUa 947/20|Wyrok|56|https://www.saos.org.pl/judgments/440492
457581|2021-03-18|SO|III AUa 150/20|Wyrok|56|https://www.saos.org.pl/judgments/457581
436966|2021-03-11|SO|III AUa 42/21|Wyrok|56|https://www.saos.org.pl/judgments/436966
435579|2021-02-24|SO|III AUa 51/20|Wyrok|56|https://www.saos.org.pl/judgments/435579
450347|2021-02-23|SO|VI ACa 298/20|Wyrok|56|https://www.saos.org.pl/judgments/450347
467981|2021-02-16|SO|III AUa 838/20|Wyrok|56|https://www.saos.org.pl/judgments/467981
438574|2021-01-29|SO|III AUa 931/20|Wyrok|56|https://www.saos.org.pl/judgments/438574
430225|2021-01-26|SO|III AUa 140/19|Wyrok|56|https://www.saos.org.pl/judgments/430225
439959|2021-01-21|SO|III AUa 401/20|Wyrok|56|https://www.saos.org.pl/judgments/439959
426705|2020-12-16|SO|III AUa 962/20|Wyrok|56|https://www.saos.org.pl/judgments/426705
454464|2020-11-19|SO|III AUa 1598/17|Wyrok|56|https://www.saos.org.pl/judgments/454464
467892|2020-11-18|SO|III AUa 473/19|Wyrok|56|https://www.saos.org.pl/judgments/467892
430251|2020-10-29|SO|I AGa 91/19|Wyrok|56|https://www.saos.org.pl/judgments/430251
433177|2020-10-22|SO|I ACa 1280/19|Wyrok|56|https://www.saos.org.pl/judgments/433177
436923|2020-10-01|SO|I ACa 661/19|Wyrok|56|https://www.saos.org.pl/judgments/436923
429961|2020-09-24|SO|VII AGa 990/19|Wyrok|56|https://www.saos.org.pl/judgments/429961
467468|2020-08-06|SO|III AUa 1394/18|Wyrok|56|https://www.saos.org.pl/judgments/467468
467753|2020-07-30|SO|III AUa 1690/19|Wyrok|56|https://www.saos.org.pl/judgments/467753
464107|2020-07-23|SO|III AUa 682/20|Wyrok|56|https://www.saos.org.pl/judgments/464107
415150|2020-04-20|SO|III AUa 1929/19|Wyrok|56|https://www.saos.org.pl/judgments/415150
417002|2020-03-11|SO|III AUa 721/19|Wyrok|56|https://www.saos.org.pl/judgments/417002
409954|2020-02-28|SO|III AUa 981/19|Wyrok|56|https://www.saos.org.pl/judgments/409954
407073|2020-02-20|SO|III AUa 841/19|Wyrok|56|https://www.saos.org.pl/judgments/407073
407058|2020-02-20|SO|III AUa 1002/19|Wyrok|56|https://www.saos.org.pl/judgments/407058
411771|2020-02-03|SO|III AUa 811/18|Wyrok|56|https://www.saos.org.pl/judgments/411771
404853|2020-01-16|SO|I ACa 501/19|Wyrok|56|https://www.saos.org.pl/judgments/404853
433067|2019-12-17|SO|I ACa 1167/17|Wyrok|56|https://www.saos.org.pl/judgments/433067
404642|2019-11-19|SO|III AUa 457/19|Wyrok|56|https://www.saos.org.pl/judgments/404642
407207|2019-10-17|SO|I ACa 281/19|Wyrok|56|https://www.saos.org.pl/judgments/407207
400525|2019-10-17|SO|III AUa 722/19|Wyrok|56|https://www.saos.org.pl/judgments/400525
461470|2019-10-08|SO|III AUa 761/19|Wyrok|56|https://www.saos.org.pl/judgments/461470
402544|2019-09-24|SO|III AUa 453/19|Wyrok|56|https://www.saos.org.pl/judgments/402544
409500|2019-08-28|SO|VI ACa 6/18|Wyrok|56|https://www.saos.org.pl/judgments/409500
394355|2019-08-27|SO|III AUa 1158/18|Wyrok|56|https://www.saos.org.pl/judgments/394355
393047|2019-08-22|SO|I AGa 43/19|Wyrok|56|https://www.saos.org.pl/judgments/393047
392197|2019-08-21|SO|III AUa 276/19|Wyrok|56|https://www.saos.org.pl/judgments/392197
404171|2019-08-08|SO|III AUa 166/19|Wyrok|56|https://www.saos.org.pl/judgments/404171
393570|2019-07-12|SO|III AUa 2110/18|Wyrok|56|https://www.saos.org.pl/judgments/393570
387823|2019-07-10|SO|V ACa 155/19|Wyrok|56|https://www.saos.org.pl/judgments/387823
389455|2019-07-02|SO|III AUa 1814/16|Wyrok|56|https://www.saos.org.pl/judgments/389455
398479|2019-06-25|SO|III AUa 1020/18|Wyrok|56|https://www.saos.org.pl/judgments/398479
393088|2019-06-18|SO|III AUa 467/18|Wyrok|56|https://www.saos.org.pl/judgments/393088
404605|2019-05-29|SO|III AUa 242/19|Wyrok|56|https://www.saos.org.pl/judgments/404605
388255|2019-04-25|SO|V ACa 356/18|Wyrok|56|https://www.saos.org.pl/judgments/388255
390094|2019-04-17|SO|III AUa 51/19|Wyrok|56|https://www.saos.org.pl/judgments/390094
428342|2019-04-11|SO|III AUa 526/18|Wyrok|56|https://www.saos.org.pl/judgments/428342
384168|2019-04-11|SO|II AKa 9/19|Wyrok|56|https://www.saos.org.pl/judgments/384168
378446|2019-03-20|SO|III APa 1/19|Wyrok|56|https://www.saos.org.pl/judgments/378446
378632|2019-03-13|SO|III AUa 803/18|Wyrok|56|https://www.saos.org.pl/judgments/378632
404168|2019-03-06|SO|III AUa 1402/18|Wyrok|56|https://www.saos.org.pl/judgments/404168
386274|2019-02-18|SO|VI ACa 5/19|Wyrok|56|https://www.saos.org.pl/judgments/386274
372506|2019-01-23|SO|V ACa 37/18|Wyrok|56|https://www.saos.org.pl/judgments/372506
367995|2018-12-12|SO|III AUa 1133/17|Wyrok|56|https://www.saos.org.pl/judgments/367995
389403|2018-12-11|SO|III AUa 382/18|Wyrok|56|https://www.saos.org.pl/judgments/389403
455254|2018-12-05|SO|III AUa 511/18|Wyrok|56|https://www.saos.org.pl/judgments/455254
454620|2018-12-05|SO|III AUa 867/18|Wyrok|56|https://www.saos.org.pl/judgments/454620
402548|2018-11-28|SO|III AUa 861/18|Wyrok|56|https://www.saos.org.pl/judgments/402548
407901|2018-11-14|SO|III AUa 640/18|Wyrok|56|https://www.saos.org.pl/judgments/407901
383694|2018-11-07|SO|III AUa 250/18|Wyrok|56|https://www.saos.org.pl/judgments/383694
366766|2018-10-24|SO|III AUa 326/17|Wyrok|56|https://www.saos.org.pl/judgments/366766
490176|2018-10-05|SO|III AUa 1938/17|Wyrok|56|https://www.saos.org.pl/judgments/490176
