saos_id|date|court|case_number|type|saos_url
535015|2025-05-20|SO|I C 433/20|Wyrok|https://www.saos.org.pl/judgments/535015
535008|2025-04-04|SO|I C 1476/15|Wyrok|https://www.saos.org.pl/judgments/535008
497486|2023-10-23|SO|I C 31/17|Wyrok|https://www.saos.org.pl/judgments/497486
487214|2023-01-19|SO|II C 108/15|Wyrok|https://www.saos.org.pl/judgments/487214
444504|2021-07-05|SO|IX Ca 549/21|Wyrok|https://www.saos.org.pl/judgments/444504
440815|2020-10-28|SO|I C 1308/16|Wyrok|https://www.saos.org.pl/judgments/440815
425184|2020-07-14|SO|I C 773/16|Wyrok|https://www.saos.org.pl/judgments/425184
425188|2020-06-18|SO|I C 99/19|Wyrok|https://www.saos.org.pl/judgments/425188
411219|2020-04-27|SO|I Ca 118/20|Wyrok|https://www.saos.org.pl/judgments/411219
425014|2020-02-06|SO|II C 389/16|Wyrok|https://www.saos.org.pl/judgments/425014
405018|2020-01-08|SO|I ACa 344/19|Wyrok|https://www.saos.org.pl/judgments/405018
429596|2019-10-30|SO|I ACa 1130/18|Wyrok|https://www.saos.org.pl/judgments/429596
384892|2019-05-31|SO|I C 731/18|Wyrok|https://www.saos.org.pl/judgments/384892
425015|2019-05-30|SO|II C 389/16|Wyrok|https://www.saos.org.pl/judgments/425015
376355|2019-04-01|SO|I ACa 167/18|Wyrok|https://www.saos.org.pl/judgments/376355
383125|2019-02-27|SO|I C 736/15|Wyrok|https://www.saos.org.pl/judgments/383125
373936|2019-02-20|SO|I ACa 1774/17|Wyrok|https://www.saos.org.pl/judgments/373936
377310|2018-07-10|SO|I C 738/16|Wyrok|https://www.saos.org.pl/judgments/377310
328137|2017-12-28|SO|I C 745/16|Wyrok|https://www.saos.org.pl/judgments/328137
320539|2017-11-07|SO|I ACa 74/17|Wyrok|https://www.saos.org.pl/judgments/320539
377244|2017-08-30|SO|I C 609/16|Wyrok|https://www.saos.org.pl/judgments/377244
377428|2017-06-06|SO|I C 974/16|Wyrok|https://www.saos.org.pl/judgments/377428
308662|2017-04-12|SO|I ACa 228/16|Wyrok|https://www.saos.org.pl/judgments/308662
283967|2017-04-12|SO|I C 1377/14|Wyrok|https://www.saos.org.pl/judgments/283967
281584|2017-04-04|SO|I ACa 87/16|Wyrok|https://www.saos.org.pl/judgments/281584
296620|2017-03-23|SO|V ACa 718/15|Wyrok|https://www.saos.org.pl/judgments/296620
307311|2017-02-17|SO|I ACa 1536/16|Wyrok|https://www.saos.org.pl/judgments/307311
278800|2017-02-10|SO|I C 315/15|Wyrok|https://www.saos.org.pl/judgments/278800
267616|2016-12-09|SO|I C 1083/15|Wyrok|https://www.saos.org.pl/judgments/267616
267271|2016-11-29|SO|I ACa 1668/16|Wyrok|https://www.saos.org.pl/judgments/267271
259774|2016-11-02|SO|I ACa 746/15|Wyrok|https://www.saos.org.pl/judgments/259774
253208|2016-09-20|SO|I ACa 310/16|Wyrok|https://www.saos.org.pl/judgments/253208
256037|2016-05-31|SO|I C 427/12|Wyrok|https://www.saos.org.pl/judgments/256037
238081|2016-05-23|SO|I C 570/14|Wyrok|https://www.saos.org.pl/judgments/238081
239344|2016-03-10|SO|I C 1288/15|Wyrok|https://www.saos.org.pl/judgments/239344
239341|2016-02-29|SO|I C 1028/13|Wyrok|https://www.saos.org.pl/judgments/239341
215238|2016-02-29|SO|II C 803/12|Wyrok|https://www.saos.org.pl/judgments/215238
