saos_id|date|court|case_number|type|saos_url
542863|2026-03-11|SO|I C 2000/20|Wyrok|https://www.saos.org.pl/judgments/542863
542426|2026-01-07|SO|I ACa 742/24|Wyrok|https://www.saos.org.pl/judgments/542426
539995|2025-11-26|SO|I C 255/20|Wyrok|https://www.saos.org.pl/judgments/539995
537569|2025-11-17|SO|IV Ca 906/24|Uzasadnienie|https://www.saos.org.pl/judgments/537569
534119|2025-08-27|SO|I C 120/25|Wyrok|https://www.saos.org.pl/judgments/534119
535640|2025-08-26|SO|II Ca 934/25|Wyrok|https://www.saos.org.pl/judgments/535640
537991|2025-07-18|SO|I ACa 707/23|Wyrok|https://www.saos.org.pl/judgments/537991
537055|2025-07-01|SO|I ACa 1700/22|Wyrok|https://www.saos.org.pl/judgments/537055
536583|2025-03-18|SO|VIII C 1615/24|Wyrok|https://www.saos.org.pl/judgments/536583
535608|2025-01-21|SO|I ACa 968/22|Wyrok|https://www.saos.org.pl/judgments/535608
533846|2024-12-19|SO|I ACa 1626/22|Wyrok|https://www.saos.org.pl/judgments/533846
521200|2024-11-26|SO|II Ca 1999/23|Wyrok|https://www.saos.org.pl/judgments/521200
522990|2024-11-07|SO|I C 17/22|Wyrok|https://www.saos.org.pl/judgments/522990
516952|2024-09-13|SO|VI C 628/24|Zarządzenie|https://www.saos.org.pl/judgments/516952
540621|2024-08-28|SO|XX GC 806/23|Wyrok|https://www.saos.org.pl/judgments/540621
528535|2024-07-26|SO|I C 1576/23|Wyrok|https://www.saos.org.pl/judgments/528535
501555|2024-07-11|SO|II Ca 102/24|Wyrok|https://www.saos.org.pl/judgments/501555
543858|2024-07-08|SO|I ACa 1909/22|Wyrok|https://www.saos.org.pl/judgments/543858
522908|2024-07-02|SO|II Ca 1503/23|Wyrok|https://www.saos.org.pl/judgments/522908
520277|2024-06-28|SO|I C 698/24|Wyrok|https://www.saos.org.pl/judgments/520277
497032|2024-06-13|SO|I C 2436/21|Wyrok|https://www.saos.org.pl/judgments/497032
498674|2024-05-08|SO|I C 565/24|Wyrok|https://www.saos.org.pl/judgments/498674
524048|2024-04-30|SO|I C 138/24|Wyrok|https://www.saos.org.pl/judgments/524048
517056|2024-03-20|SO|I C 1676/23|Wyrok|https://www.saos.org.pl/judgments/517056
515582|2024-03-20|SO|XXV C 4189/20|Wyrok|https://www.saos.org.pl/judgments/515582
505478|2024-03-20|SO|III Ca 1048/23|Wyrok|https://www.saos.org.pl/judgments/505478
531709|2024-03-04|SO|III Ca 2479/22|Uzasadnienie|https://www.saos.org.pl/judgments/531709
498473|2024-02-19|SO|I C 515/23|Wyrok|https://www.saos.org.pl/judgments/498473
516033|2024-02-01|SO|I C 957/23|Wyrok|https://www.saos.org.pl/judgments/516033
494170|2023-12-20|SO|I ACa 420/22|Wyrok|https://www.saos.org.pl/judgments/494170
521980|2023-12-18|SO|XX GC 1174/21|Wyrok|https://www.saos.org.pl/judgments/521980
499068|2023-11-29|SO|I C 686/23|Wyrok|https://www.saos.org.pl/judgments/499068
498824|2023-11-07|SO|I C 601/23|Wyrok|https://www.saos.org.pl/judgments/498824
499053|2023-10-02|SO|I C 680/23|Wyrok|https://www.saos.org.pl/judgments/499053
493764|2023-09-29|SO|I ACa 1710/22|Wyrok|https://www.saos.org.pl/judgments/493764
493969|2023-09-27|SO|I ACa 260/22|Wyrok|https://www.saos.org.pl/judgments/493969
495341|2023-09-19|SO|I C 1086/22|Wyrok|https://www.saos.org.pl/judgments/495341
495609|2023-08-14|SO|I C 1230/22|Wyrok|https://www.saos.org.pl/judgments/495609
515547|2023-05-24|SO|XXV C 2688/20|Wyrok|https://www.saos.org.pl/judgments/515547
490330|2023-04-19|SO|I C 103/23|Wyrok|https://www.saos.org.pl/judgments/490330
491425|2023-04-06|SO|XIV C 15/22|Wyrok|https://www.saos.org.pl/judgments/491425
485677|2023-03-09|SO|I C 583/22|Wyrok|https://www.saos.org.pl/judgments/485677
490845|2023-03-08|SO|V Ca 1241/21|Wyrok|https://www.saos.org.pl/judgments/490845
509731|2023-03-07|SO|V ACa 1580/22|Wyrok|https://www.saos.org.pl/judgments/509731
485675|2023-03-07|SO|I C 580/22|Wyrok|https://www.saos.org.pl/judgments/485675
484670|2023-03-02|SO|I C 296/22|Wyrok|https://www.saos.org.pl/judgments/484670
493762|2023-02-15|SO|I ACa 1707/21|Wyrok|https://www.saos.org.pl/judgments/493762
484879|2023-02-10|SO|II Ca 96/23|Wyrok|https://www.saos.org.pl/judgments/484879
484870|2023-02-10|SO|II Ca 102/23|Wyrok|https://www.saos.org.pl/judgments/484870
482620|2023-02-06|SO|I C 907/21|Uzasadnienie|https://www.saos.org.pl/judgments/482620
496910|2023-01-24|SO|I C 231/22|Wyrok|https://www.saos.org.pl/judgments/496910
483723|2023-01-13|SO|II Ca 1244/22|Wyrok|https://www.saos.org.pl/judgments/483723
515973|2023-01-12|SO|I C 1005/22|Wyrok|https://www.saos.org.pl/judgments/515973
482496|2022-12-30|SO|XV Ca 1447/22|Wyrok|https://www.saos.org.pl/judgments/482496
514930|2022-12-16|SO|XV Ca 1691/22|Wyrok|https://www.saos.org.pl/judgments/514930
484440|2022-12-13|SO|II Ca 854/22|Wyrok|https://www.saos.org.pl/judgments/484440
486794|2022-11-30|SO|XXV C 4083/20|Wyrok|https://www.saos.org.pl/judgments/486794
486787|2022-11-30|SO|XXV C 1427/17|Wyrok|https://www.saos.org.pl/judgments/486787
479770|2022-10-12|SO|I ACa 193/21|Wyrok|https://www.saos.org.pl/judgments/479770
496810|2022-10-03|SO|I C 220/22|Wyrok|https://www.saos.org.pl/judgments/496810
479866|2022-08-26|SO|VI ACa 685/19|Wyrok|https://www.saos.org.pl/judgments/479866
475816|2022-08-17|SO|XXVII Ca 672/21|Wyrok|https://www.saos.org.pl/judgments/475816
476541|2022-07-28|SO|V Ca 1696/20|Wyrok|https://www.saos.org.pl/judgments/476541
494608|2022-07-27|SO|I ACa 810/21|Wyrok|https://www.saos.org.pl/judgments/494608
477212|2022-07-14|SO|XXVII Ca 1779/21|Wyrok|https://www.saos.org.pl/judgments/477212
471983|2022-07-13|SO|I ACa 655/21|Wyrok|https://www.saos.org.pl/judgments/471983
470907|2022-07-12|SO|I C 121/22|Wyrok|https://www.saos.org.pl/judgments/470907
473351|2022-06-28|SO|I C 114/21|Wyrok|https://www.saos.org.pl/judgments/473351
478616|2022-06-21|SO|IV C 2414/20|Wyrok|https://www.saos.org.pl/judgments/478616
