saos_id|date|court|case_number|type|score|saos_url
519651|2024-10-29|SO|I ACa 700/23|Wyrok|56|https://www.saos.org.pl/judgments/519651
524772|2024-05-21|SO|I ACa 1093/22|Wyrok|56|https://www.saos.org.pl/judgments/524772
493785|2023-09-26|SO|I ACa 1769/22|Wyrok|56|https://www.saos.org.pl/judgments/493785
493821|2023-09-08|SO|I ACa 1847/22|Wyrok|56|https://www.saos.org.pl/judgments/493821
493517|2023-08-11|SO|I ACa 1290/22|Wyrok|56|https://www.saos.org.pl/judgments/493517
493380|2023-07-10|SO|I ACa 1138/22|Wyrok|56|https://www.saos.org.pl/judgments/493380
494621|2023-06-28|SO|I ACa 826/22|Wyrok|56|https://www.saos.org.pl/judgments/494621
485851|2023-01-05|SO|I ACa 777/22|Wyrok|56|https://www.saos.org.pl/judgments/485851
494353|2022-12-29|SO|I ACa 589/22|Wyrok|56|https://www.saos.org.pl/judgments/494353
509854|2022-12-28|SO|V ACa 727/22|Wyrok|56|https://www.saos.org.pl/judgments/509854
494244|2022-11-30|SO|I ACa 490/22|Wyrok|56|https://www.saos.org.pl/judgments/494244
490523|2022-06-22|SO|V ACa 113/22|Wyrok|56|https://www.saos.org.pl/judgments/490523
471585|2022-06-22|SO|V ACa 964/21|Wyrok|56|https://www.saos.org.pl/judgments/471585
493948|2022-06-02|SO|I ACa 25/22|Wyrok|56|https://www.saos.org.pl/judgments/493948
478775|2022-06-02|SO|I ACa 1017/21|Wyrok|56|https://www.saos.org.pl/judgments/478775
465703|2022-04-25|SO|I ACa 116/21|Wyrok|56|https://www.saos.org.pl/judgments/465703
480434|2022-01-25|SO|I ACa 732/21|Wyrok|56|https://www.saos.org.pl/judgments/480434
506365|2023-10-12|SO|III Ca 2542/22|Uzasadnienie|27|https://www.saos.org.pl/judgments/506365
458119|2021-06-23|SO|III Ca 551/20|Uzasadnienie|27|https://www.saos.org.pl/judgments/458119
