saos_id|date|court|case_number|type|saos_url
516273|2024-09-11|SO|I C 346/23|Wyrok|https://www.saos.org.pl/judgments/516273
460273|2021-12-13|SO|I ACa 391/20|Wyrok|https://www.saos.org.pl/judgments/460273
468242|2021-06-01|SO|I C 1181/19|Wyrok|https://www.saos.org.pl/judgments/468242
433483|2020-08-07|SO|VI ACa 689/20|Wyrok|https://www.saos.org.pl/judgments/433483
397383|2019-10-09|SO|I C 1366/18|Wyrok|https://www.saos.org.pl/judgments/397383
465984|2019-02-20|SO|I ACa 409/18|Wyrok|https://www.saos.org.pl/judgments/465984
372105|2018-11-06|SO|I C 444/18|Wyrok|https://www.saos.org.pl/judgments/372105
312143|2017-09-26|SO|I C 559/17|Wyrok|https://www.saos.org.pl/judgments/312143
308453|2017-09-05|SO|VIII Ga 109/17|Uzasadnienie|https://www.saos.org.pl/judgments/308453
291411|2017-04-26|SO|XVIII C 1670/16|Wyrok|https://www.saos.org.pl/judgments/291411
276322|2016-10-10|SO|III C 1414/15|Wyrok|https://www.saos.org.pl/judgments/276322
358745|2016-10-05|SO|II C 174/16|Wyrok|https://www.saos.org.pl/judgments/358745
299716|2016-10-05|SO|I ACa 334/16|Wyrok|https://www.saos.org.pl/judgments/299716
211258|2015-11-25|SO|XXIV C 581/15|Wyrok|https://www.saos.org.pl/judgments/211258
128211|2015-01-12|SO|II C 1060/13|Uzasadnienie|https://www.saos.org.pl/judgments/128211
128954|2014-11-26|SO|I C 2199/13|Wyrok|https://www.saos.org.pl/judgments/128954
59724|2014-06-27|SO|I ACa 201/14|Wyrok|https://www.saos.org.pl/judgments/59724
146572|2014-05-15|SO|I C 647/14|Wyrok|https://www.saos.org.pl/judgments/146572
44644|2014-04-24|SO|I ACa 60/14|Wyrok|https://www.saos.org.pl/judgments/44644
6594|2012-11-14|SO|V ACa 830/12|Wyrok|https://www.saos.org.pl/judgments/6594
