saos_id|date|court|case_number|type|score|saos_url
546254|2026-02-19|SO|I ACa 1709/25|Wyrok|56|https://www.saos.org.pl/judgments/546254
545244|2026-01-23|SO|I ACa 2276/25|Wyrok|56|https://www.saos.org.pl/judgments/545244
545136|2026-01-23|SO|I ACa 2257/25|Wyrok|56|https://www.saos.org.pl/judgments/545136
542621|2026-01-16|SO|I ACa 2175/25|Wyrok|56|https://www.saos.org.pl/judgments/542621
542620|2026-01-16|SO|I ACa 2163/25|Wyrok|56|https://www.saos.org.pl/judgments/542620
545071|2026-01-08|SO|I ACa 319/23|Wyrok|56|https://www.saos.org.pl/judgments/545071
540338|2025-12-02|SO|I ACa 190/25|Wyrok|56|https://www.saos.org.pl/judgments/540338
544445|2025-11-05|SO|I ACa 3350/24|Wyrok|56|https://www.saos.org.pl/judgments/544445
544339|2025-10-31|SO|I ACa 1630/25|Wyrok|56|https://www.saos.org.pl/judgments/544339
544191|2025-10-31|SO|I ACa 1823/22|Wyrok|56|https://www.saos.org.pl/judgments/544191
544186|2025-10-27|SO|I ACa 15/25|Wyrok|56|https://www.saos.org.pl/judgments/544186
543371|2025-09-12|SO|I ACa 1945/23|Wyrok|56|https://www.saos.org.pl/judgments/543371
543681|2025-09-09|SO|I ACa 1763/23|Wyrok|56|https://www.saos.org.pl/judgments/543681
543274|2025-07-30|SO|I ACa 481/24|Wyrok|56|https://www.saos.org.pl/judgments/543274
527247|2025-04-24|SO|V ACa 926/24|Wyrok|56|https://www.saos.org.pl/judgments/527247
533644|2025-03-19|SO|I ACa 1415/22|Wyrok|56|https://www.saos.org.pl/judgments/533644
537077|2025-03-11|SO|I ACa 701/23|Wyrok|56|https://www.saos.org.pl/judgments/537077
527296|2025-03-10|SO|I ACa 1207/22|Wyrok|56|https://www.saos.org.pl/judgments/527296
537430|2025-02-26|SO|I ACa 1286/22|Wyrok|56|https://www.saos.org.pl/judgments/537430
541073|2025-02-03|SO|V ACa 870/22|Wyrok|56|https://www.saos.org.pl/judgments/541073
541072|2024-12-20|SO|V ACa 796/22|Wyrok|56|https://www.saos.org.pl/judgments/541072
531300|2024-11-21|SO|III AUa 440/23|Wyrok|56|https://www.saos.org.pl/judgments/531300
532921|2024-11-20|SO|I ACa 3323/24|Wyrok|56|https://www.saos.org.pl/judgments/532921
545960|2024-10-04|SO|V ACa 2561/23|Wyrok|56|https://www.saos.org.pl/judgments/545960
529319|2024-09-24|SO|I ACa 1486/23|Wyrok|56|https://www.saos.org.pl/judgments/529319
527091|2024-08-29|SO|I ACa 1372/22|Wyrok|56|https://www.saos.org.pl/judgments/527091
528776|2024-08-21|SO|I ACa 601/23|Wyrok|56|https://www.saos.org.pl/judgments/528776
541801|2024-07-25|SO|I ACa 1638/23|Wyrok|56|https://www.saos.org.pl/judgments/541801
509809|2024-06-24|SO|V ACa 502/22|Wyrok|56|https://www.saos.org.pl/judgments/509809
494751|2024-05-15|SO|I ACa 93/23|Wyrok|56|https://www.saos.org.pl/judgments/494751
542814|2024-02-26|SO|V ACa 1261/23|Wyrok|56|https://www.saos.org.pl/judgments/542814
544164|2024-02-23|SO|V ACa 238/22|Wyrok|56|https://www.saos.org.pl/judgments/544164
533354|2024-02-14|SO|I ACa 1758/23|Wyrok|56|https://www.saos.org.pl/judgments/533354
545721|2024-01-31|SO|I ACa 1705/22|Wyrok|56|https://www.saos.org.pl/judgments/545721
519094|2024-01-26|SO|I ACa 930/23|Wyrok|56|https://www.saos.org.pl/judgments/519094
544072|2024-01-22|SO|V ACa 119/22|Wyrok|56|https://www.saos.org.pl/judgments/544072
493747|2024-01-18|SO|I ACa 1664/22|Wyrok|56|https://www.saos.org.pl/judgments/493747
544079|2023-12-01|SO|V ACa 48/22|Wyrok|56|https://www.saos.org.pl/judgments/544079
544040|2023-11-17|SO|V ACa 782/23|Wyrok|56|https://www.saos.org.pl/judgments/544040
494183|2023-11-07|SO|I ACa 433/23|Wyrok|56|https://www.saos.org.pl/judgments/494183
546556|2023-10-30|SO|I AGa 148/23|Wyrok|56|https://www.saos.org.pl/judgments/546556
493857|2023-10-23|SO|I ACa 1953/22|Wyrok|56|https://www.saos.org.pl/judgments/493857
493789|2023-10-12|SO|I ACa 1779/22|Wyrok|56|https://www.saos.org.pl/judgments/493789
493783|2023-09-06|SO|I ACa 1765/22|Wyrok|56|https://www.saos.org.pl/judgments/493783
494378|2023-05-24|SO|I ACa 607/23|Wyrok|56|https://www.saos.org.pl/judgments/494378
493384|2023-05-24|SO|I ACa 1140/21|Wyrok|56|https://www.saos.org.pl/judgments/493384
494715|2023-05-18|SO|I ACa 903/22|Wyrok|56|https://www.saos.org.pl/judgments/494715
509830|2023-04-13|SO|V ACa 588/21|Wyrok|56|https://www.saos.org.pl/judgments/509830
493892|2023-04-04|SO|I ACa 2124/22|Wyrok|56|https://www.saos.org.pl/judgments/493892
493378|2023-03-14|SO|I ACa 1137/21|Wyrok|56|https://www.saos.org.pl/judgments/493378
493805|2023-02-10|SO|I ACa 1812/21|Wyrok|56|https://www.saos.org.pl/judgments/493805
490297|2023-01-16|SO|VI ACa 217/22|Wyrok|56|https://www.saos.org.pl/judgments/490297
504871|2022-12-14|SO|III AUa 243/22|Wyrok|56|https://www.saos.org.pl/judgments/504871
485464|2022-11-29|SO|VI ACa 82/19|Wyrok|56|https://www.saos.org.pl/judgments/485464
486727|2022-11-17|SO|V ACa 482/21|Wyrok|56|https://www.saos.org.pl/judgments/486727
485095|2022-11-16|SO|II AKa 99/20|Wyrok|56|https://www.saos.org.pl/judgments/485095
490916|2022-09-23|SO|I ACa 210/22|Wyrok|56|https://www.saos.org.pl/judgments/490916
483623|2022-09-20|SO|I ACa 267/22|Wyrok|56|https://www.saos.org.pl/judgments/483623
493482|2022-08-10|SO|I ACa 125/22|Wyrok|56|https://www.saos.org.pl/judgments/493482
494064|2022-07-29|SO|I ACa 323/22|Wyrok|56|https://www.saos.org.pl/judgments/494064
495135|2022-06-29|SO|I AGa 84/21|Wyrok|56|https://www.saos.org.pl/judgments/495135
472147|2022-06-23|SO|V ACa 845/21|Wyrok|56|https://www.saos.org.pl/judgments/472147
500847|2022-04-28|SO|II AKa 280/21|Wyrok|56|https://www.saos.org.pl/judgments/500847
494692|2022-04-25|SO|I ACa 890/20|Wyrok|56|https://www.saos.org.pl/judgments/494692
462055|2022-02-25|SO|II AKa 204/20|Wyrok|56|https://www.saos.org.pl/judgments/462055
463946|2022-02-21|SO|I ACa 103/21|Wyrok|56|https://www.saos.org.pl/judgments/463946
477298|2022-02-09|SO|I ACa 321/21|Wyrok|56|https://www.saos.org.pl/judgments/477298
