saos_id|date|court|case_number|type|saos_url
488799|2023-04-12|SO|V GC 615/22|Wyrok|https://www.saos.org.pl/judgments/488799
482560|2022-12-15|SO|V GC 201/22|Wyrok|https://www.saos.org.pl/judgments/482560
486067|2022-12-09|SO|V GC 329/21|Wyrok|https://www.saos.org.pl/judgments/486067
430780|2020-06-30|SO|II Ca 1600/18|Postanowienie|https://www.saos.org.pl/judgments/430780
367213|2018-10-30|SO|IV Ka 624/18|Uzasadnienie|https://www.saos.org.pl/judgments/367213
399290|2018-09-11|SO|XVII AmE 170/17|Wyrok|https://www.saos.org.pl/judgments/399290
339136|2018-01-24|SO|VII AGa 63/18|Wyrok|https://www.saos.org.pl/judgments/339136
311899|2017-09-20|SO|I ACa 254/17|Wyrok|https://www.saos.org.pl/judgments/311899
312687|2017-08-01|SO|V Ca 41/17|Wyrok|https://www.saos.org.pl/judgments/312687
311644|2017-06-13|SO|V Ca 2416/16|Postanowienie|https://www.saos.org.pl/judgments/311644
61627|2014-07-03|SO|I ACa 242/14|Wyrok|https://www.saos.org.pl/judgments/61627
