saos_id|date|court|case_number|type|saos_url
542399|2025-12-16|SO|XIV C 356/22|Wyrok|https://www.saos.org.pl/judgments/542399
540791|2025-11-25|SO|II K 1368/24|Wyrok|https://www.saos.org.pl/judgments/540791
535392|2025-09-03|SO|III U 188/25|Wyrok|https://www.saos.org.pl/judgments/535392
535343|2025-07-04|SO|I C 1890/24|Wyrok|https://www.saos.org.pl/judgments/535343
535254|2025-07-04|SO|I C 1476/23|Wyrok|https://www.saos.org.pl/judgments/535254
539334|2025-06-27|SO|III AUa 1008/25|Uzasadnienie|https://www.saos.org.pl/judgments/539334
532248|2025-06-13|SO|I C 1043/22|Wyrok|https://www.saos.org.pl/judgments/532248
532362|2025-05-23|SO|I C 611/22|Wyrok|https://www.saos.org.pl/judgments/532362
532361|2025-05-23|SO|I C 610/22|Wyrok|https://www.saos.org.pl/judgments/532361
529400|2025-05-05|SO|VIII GC 1819/23|Wyrok|https://www.saos.org.pl/judgments/529400
539678|2025-04-18|SO|I Ns 556/23|Postanowienie|https://www.saos.org.pl/judgments/539678
532835|2025-04-10|SO|VIII U 2067/24|Uzasadnienie|https://www.saos.org.pl/judgments/532835
539013|2025-03-24|SO|I ACa 1046/23|Wyrok|https://www.saos.org.pl/judgments/539013
535014|2025-03-17|SO|I C 395/19|Wyrok|https://www.saos.org.pl/judgments/535014
532334|2025-03-04|SO|I C 252/23|Wyrok|https://www.saos.org.pl/judgments/532334
524931|2025-02-20|SO|I C 551/21|Wyrok|https://www.saos.org.pl/judgments/524931
536701|2025-02-11|SO|I ACa 1199/22|Wyrok|https://www.saos.org.pl/judgments/536701
530669|2025-02-05|SO|VIII U 1940/24|Uzasadnienie|https://www.saos.org.pl/judgments/530669
527166|2025-01-29|SO|I ACa 649/23|Wyrok|https://www.saos.org.pl/judgments/527166
540336|2025-01-28|SO|I ACa 184/24|Wyrok|https://www.saos.org.pl/judgments/540336
526949|2024-12-17|SO|I C 459/23|Wyrok|https://www.saos.org.pl/judgments/526949
522005|2024-11-30|SO|II Ko 1989/24|Postanowienie|https://www.saos.org.pl/judgments/522005
521283|2024-11-21|SO|V U 135/24|Wyrok|https://www.saos.org.pl/judgments/521283
524840|2024-11-13|SO|III U 241/24|Wyrok|https://www.saos.org.pl/judgments/524840
517856|2024-10-10|SO|X C 1470/23|Wyrok|https://www.saos.org.pl/judgments/517856
543238|2024-10-08|SO|II Ca 1715/24|Postanowienie|https://www.saos.org.pl/judgments/543238
530925|2024-09-18|SO|III AUa 9/23|Wyrok|https://www.saos.org.pl/judgments/530925
519213|2024-09-11|SO|III AUa 88/24|Wyrok|https://www.saos.org.pl/judgments/519213
528451|2024-08-07|SO|I ACa 1233/22|Wyrok|https://www.saos.org.pl/judgments/528451
529859|2024-07-18|SO|V P 123/22|Wyrok|https://www.saos.org.pl/judgments/529859
536440|2024-06-06|SO|III Ca 1511/23|Uzasadnienie|https://www.saos.org.pl/judgments/536440
512023|2024-05-22|SO|VII U 1691/23|Wyrok|https://www.saos.org.pl/judgments/512023
517230|2024-05-20|SO|I C 278/23|Wyrok|https://www.saos.org.pl/judgments/517230
520667|2024-03-21|SO|III AUa 427/23|Wyrok|https://www.saos.org.pl/judgments/520667
496208|2024-03-19|SO|I C 1623/23|Wyrok|https://www.saos.org.pl/judgments/496208
495953|2024-03-19|SO|I C 1445/23|Wyrok|https://www.saos.org.pl/judgments/495953
516944|2024-03-14|SO|III AUa 634/22|Wyrok|https://www.saos.org.pl/judgments/516944
528861|2024-02-29|SO|I C 989/23|Zarządzenie|https://www.saos.org.pl/judgments/528861
519654|2024-02-27|SO|I ACa 929/22|Wyrok|https://www.saos.org.pl/judgments/519654
504909|2024-02-21|SO|III AUa 31/23|Wyrok|https://www.saos.org.pl/judgments/504909
517893|2024-02-14|SO|III Ua 18/23|Wyrok|https://www.saos.org.pl/judgments/517893
498389|2024-02-02|SO|I C 497/23|Wyrok|https://www.saos.org.pl/judgments/498389
530235|2024-01-29|SO|I C 1565/22|Wyrok|https://www.saos.org.pl/judgments/530235
517864|2024-01-26|SO|I ACa 790/22|Wyrok|https://www.saos.org.pl/judgments/517864
504820|2024-01-26|SO|III AUa 175/22|Wyrok|https://www.saos.org.pl/judgments/504820
525293|2024-01-04|SO|I C 1042/23|Zarządzenie|https://www.saos.org.pl/judgments/525293
539833|2023-12-14|SO|I C 983/23|Wyrok|https://www.saos.org.pl/judgments/539833
500619|2023-11-30|SO|II AKa 197/18|Uzasadnienie|https://www.saos.org.pl/judgments/500619
496835|2023-11-14|SO|I C 222/23|Wyrok|https://www.saos.org.pl/judgments/496835
513031|2023-11-09|SO|VIII Pa 77/23|Uzasadnienie|https://www.saos.org.pl/judgments/513031
518434|2023-11-03|SO|III Ca 7/22|Uzasadnienie|https://www.saos.org.pl/judgments/518434
495200|2023-10-30|SO|I C 1010/22|Wyrok|https://www.saos.org.pl/judgments/495200
498420|2023-10-26|SO|I C 503/20|Wyrok|https://www.saos.org.pl/judgments/498420
518648|2023-10-24|SO|I C 1584/20|Wyrok|https://www.saos.org.pl/judgments/518648
507455|2023-09-20|SO|III U 333/23|Wyrok|https://www.saos.org.pl/judgments/507455
493755|2023-08-24|SO|I ACa 1691/22|Wyrok|https://www.saos.org.pl/judgments/493755
496190|2023-08-16|SO|I C 161/22|Wyrok|https://www.saos.org.pl/judgments/496190
497490|2023-07-24|SO|I C 31/23|Wyrok|https://www.saos.org.pl/judgments/497490
510988|2023-07-04|SO|VI Ka 1360/21|Wyrok|https://www.saos.org.pl/judgments/510988
516358|2023-06-29|SO|I ACa 1199/22|Wyrok|https://www.saos.org.pl/judgments/516358
505127|2023-06-23|SO|III AUa 697/22|Wyrok|https://www.saos.org.pl/judgments/505127
505063|2023-06-23|SO|III AUa 562/22|Wyrok|https://www.saos.org.pl/judgments/505063
508842|2023-06-20|SO|IV Pa 36/22|Wyrok|https://www.saos.org.pl/judgments/508842
496287|2023-06-13|SO|I C 1688/22|Wyrok|https://www.saos.org.pl/judgments/496287
537815|2023-06-01|SO|I C 852/18|Wyrok|https://www.saos.org.pl/judgments/537815
514944|2023-05-25|SO|XV Ca 594/23|Wyrok|https://www.saos.org.pl/judgments/514944
486036|2023-03-16|SO|II Ca 703/22|Wyrok|https://www.saos.org.pl/judgments/486036
514397|2023-03-09|SO|X C 490/22|Wyrok|https://www.saos.org.pl/judgments/514397
486989|2023-02-24|SO|I C 1172/19|Wyrok|https://www.saos.org.pl/judgments/486989
487850|2023-02-22|SO|V U 300/22|Wyrok|https://www.saos.org.pl/judgments/487850
494561|2023-02-16|SO|I ACa 768/21|Wyrok|https://www.saos.org.pl/judgments/494561
492818|2023-02-15|SO|I C 52/21|Wyrok|https://www.saos.org.pl/judgments/492818
532608|2023-01-31|SO|IV U 577/22|Wyrok|https://www.saos.org.pl/judgments/532608
482812|2023-01-13|SO|I ACa 1036/20|Wyrok|https://www.saos.org.pl/judgments/482812
493526|2023-01-12|SO|I ACa 13/21|Wyrok|https://www.saos.org.pl/judgments/493526
483367|2022-12-28|SO|III AUa 146/22|Wyrok|https://www.saos.org.pl/judgments/483367
485307|2022-12-15|SO|VI C 641/22|Uzasadnienie|https://www.saos.org.pl/judgments/485307
483317|2022-11-14|SO|XXV C 1113/22|Wyrok|https://www.saos.org.pl/judgments/483317
480038|2022-11-14|SO|V ACa 595/21|Wyrok|https://www.saos.org.pl/judgments/480038
485859|2022-11-10|SO|I C 1299/21|Wyrok|https://www.saos.org.pl/judgments/485859
