saos_id|date|court|case_number|type|score|saos_url
86762|2007-10-24|SN|IV CSK 223/07|Wyrok|78|https://www.saos.org.pl/judgments/86762
543225|2025-07-17|SO|I ACa 3526/24|Wyrok|56|https://www.saos.org.pl/judgments/543225
520119|2024-02-09|SO|V ACa 811/23|Wyrok|56|https://www.saos.org.pl/judgments/520119
542648|2024-01-11|SO|V ACa 569/23|Wyrok|56|https://www.saos.org.pl/judgments/542648
522262|2023-12-07|SO|I ACa 2147/22|Wyrok|56|https://www.saos.org.pl/judgments/522262
493770|2023-03-31|SO|I ACa 174/22|Wyrok|56|https://www.saos.org.pl/judgments/493770
486966|2023-03-27|SO|I ACa 5/22|Wyrok|56|https://www.saos.org.pl/judgments/486966
491201|2023-02-09|SO|I ACa 1070/21|Wyrok|56|https://www.saos.org.pl/judgments/491201
478348|2022-09-29|SO|I ACa 1088/21|Wyrok|56|https://www.saos.org.pl/judgments/478348
477292|2022-05-18|SO|I ACa 10/22|Wyrok|56|https://www.saos.org.pl/judgments/477292
480147|2022-08-05|SO|III Ca 671/21|Uzasadnienie|27|https://www.saos.org.pl/judgments/480147
240628|2016-07-21|SO|X GC 574/14|Uzasadnienie|27|https://www.saos.org.pl/judgments/240628
