saos_id|date|court|case_number|type|score|saos_url
547251|2026-03-06|SO|I ACa 1436/24|Wyrok|56|https://www.saos.org.pl/judgments/547251
547007|2026-02-27|SO|I ACa 1317/24|Wyrok|56|https://www.saos.org.pl/judgments/547007
546916|2026-02-27|SO|I ACa 1403/24|Wyrok|56|https://www.saos.org.pl/judgments/546916
541816|2025-12-01|SO|I ACa 290/23|Wyrok|56|https://www.saos.org.pl/judgments/541816
544655|2025-11-20|SO|I ACa 731/23|Wyrok|56|https://www.saos.org.pl/judgments/544655
544343|2025-11-06|SO|I ACa 358/23|Wyrok|56|https://www.saos.org.pl/judgments/544343
543874|2025-09-17|SO|I ACa 760/23|Wyrok|56|https://www.saos.org.pl/judgments/543874
534663|2025-05-13|SO|I ACa 928/23|Wyrok|56|https://www.saos.org.pl/judgments/534663
541000|2025-05-12|SO|I ACa 3639/24|Wyrok|56|https://www.saos.org.pl/judgments/541000
539518|2025-04-03|SO|I ACa 1635/22|Wyrok|56|https://www.saos.org.pl/judgments/539518
527365|2025-03-18|SO|I ACa 1465/22|Wyrok|56|https://www.saos.org.pl/judgments/527365
537593|2025-03-07|SO|I ACa 3686/24|Wyrok|56|https://www.saos.org.pl/judgments/537593
527500|2025-02-20|SO|I ACa 3933/24|Wyrok|56|https://www.saos.org.pl/judgments/527500
523324|2025-02-03|SO|I ACa 1462/22|Wyrok|56|https://www.saos.org.pl/judgments/523324
527166|2025-01-29|SO|I ACa 649/23|Wyrok|56|https://www.saos.org.pl/judgments/527166
528889|2025-01-23|SO|I ACa 1629/22|Wyrok|56|https://www.saos.org.pl/judgments/528889
527209|2025-01-08|SO|I ACa 690/23|Wyrok|56|https://www.saos.org.pl/judgments/527209
527163|2024-12-18|SO|I ACa 1634/22|Wyrok|56|https://www.saos.org.pl/judgments/527163
536600|2024-11-28|SO|I ACa 2449/23|Wyrok|56|https://www.saos.org.pl/judgments/536600
536594|2024-11-26|SO|I ACa 1146/23|Wyrok|56|https://www.saos.org.pl/judgments/536594
529315|2024-09-25|SO|I ACa 1013/22|Wyrok|56|https://www.saos.org.pl/judgments/529315
528531|2024-08-06|SO|I ACa 944/22|Wyrok|56|https://www.saos.org.pl/judgments/528531
535825|2024-07-12|SO|I ACa 923/22|Wyrok|56|https://www.saos.org.pl/judgments/535825
493870|2024-05-27|SO|I ACa 201/23|Wyrok|56|https://www.saos.org.pl/judgments/493870
524545|2024-05-15|SO|I ACa 618/23|Wyrok|56|https://www.saos.org.pl/judgments/524545
544783|2024-04-08|SO|V ACa 952/23|Wyrok|56|https://www.saos.org.pl/judgments/544783
521315|2024-04-03|SO|I ACa 511/24|Wyrok|56|https://www.saos.org.pl/judgments/521315
521108|2024-03-21|SO|I ACa 883/22|Wyrok|56|https://www.saos.org.pl/judgments/521108
520890|2024-03-21|SO|I ACa 849/22|Wyrok|56|https://www.saos.org.pl/judgments/520890
545402|2024-03-04|SO|I ACa 2650/22|Wyrok|56|https://www.saos.org.pl/judgments/545402
546054|2024-02-29|SO|I ACa 2533/22|Wyrok|56|https://www.saos.org.pl/judgments/546054
493416|2024-02-20|SO|I ACa 1169/22|Wyrok|56|https://www.saos.org.pl/judgments/493416
520118|2024-01-03|SO|V ACa 755/23|Wyrok|56|https://www.saos.org.pl/judgments/520118
539248|2023-12-18|SO|I ACa 114/23|Wyrok|56|https://www.saos.org.pl/judgments/539248
494479|2023-12-06|SO|I ACa 693/22|Wyrok|56|https://www.saos.org.pl/judgments/494479
494210|2023-11-30|SO|I ACa 460/22|Wyrok|56|https://www.saos.org.pl/judgments/494210
509852|2023-11-20|SO|V ACa 712/23|Wyrok|56|https://www.saos.org.pl/judgments/509852
544040|2023-11-17|SO|V ACa 782/23|Wyrok|56|https://www.saos.org.pl/judgments/544040
539164|2023-11-17|SO|I ACa 2002/22|Wyrok|56|https://www.saos.org.pl/judgments/539164
547462|2023-11-14|SO|I ACa 2987/22|Wyrok|56|https://www.saos.org.pl/judgments/547462
494659|2023-10-12|SO|I ACa 856/22|Wyrok|56|https://www.saos.org.pl/judgments/494659
494136|2023-10-10|SO|I ACa 389/22|Wyrok|56|https://www.saos.org.pl/judgments/494136
493969|2023-09-27|SO|I ACa 260/22|Wyrok|56|https://www.saos.org.pl/judgments/493969
493855|2023-09-14|SO|I ACa 1951/22|Wyrok|56|https://www.saos.org.pl/judgments/493855
535249|2023-07-25|SO|I ACa 263/22|Wyrok|56|https://www.saos.org.pl/judgments/535249
494317|2023-07-04|SO|I ACa 556/23|Wyrok|56|https://www.saos.org.pl/judgments/494317
530875|2023-06-28|SO|I ACa 1350/21|Wyrok|56|https://www.saos.org.pl/judgments/530875
543974|2023-06-27|SO|V ACa 30/22|Wyrok|56|https://www.saos.org.pl/judgments/543974
494336|2023-06-23|SO|I ACa 572/22|Wyrok|56|https://www.saos.org.pl/judgments/494336
493588|2023-05-16|SO|I ACa 1392/22|Wyrok|56|https://www.saos.org.pl/judgments/493588
516462|2023-04-21|SO|I ACa 809/22|Wyrok|56|https://www.saos.org.pl/judgments/516462
528154|2023-04-06|SO|I ACa 337/22|Wyrok|56|https://www.saos.org.pl/judgments/528154
493770|2023-03-31|SO|I ACa 174/22|Wyrok|56|https://www.saos.org.pl/judgments/493770
486966|2023-03-27|SO|I ACa 5/22|Wyrok|56|https://www.saos.org.pl/judgments/486966
509774|2023-03-14|SO|V ACa 35/23|Wyrok|56|https://www.saos.org.pl/judgments/509774
546049|2023-02-28|SO|I ACa 2088/22|Wyrok|56|https://www.saos.org.pl/judgments/546049
493357|2023-02-20|SO|I ACa 112/22|Wyrok|56|https://www.saos.org.pl/judgments/493357
481975|2023-01-11|SO|V ACa 399/22|Wyrok|56|https://www.saos.org.pl/judgments/481975
490439|2022-11-15|SO|I ACa 580/21|Wyrok|56|https://www.saos.org.pl/judgments/490439
493393|2022-11-03|SO|I ACa 1145/22|Wyrok|56|https://www.saos.org.pl/judgments/493393
494091|2022-10-26|SO|I ACa 346/22|Wyrok|56|https://www.saos.org.pl/judgments/494091
516405|2022-09-29|SO|I ACa 255/22|Wyrok|56|https://www.saos.org.pl/judgments/516405
476012|2022-09-26|SO|V ACa 492/21|Wyrok|56|https://www.saos.org.pl/judgments/476012
477576|2022-09-23|SO|VI ACa 424/21|Wyrok|56|https://www.saos.org.pl/judgments/477576
509771|2022-09-20|SO|V ACa 342/22|Wyrok|56|https://www.saos.org.pl/judgments/509771
473040|2022-08-29|SO|I ACa 1332/21|Wyrok|56|https://www.saos.org.pl/judgments/473040
494106|2022-07-28|SO|I ACa 36/22|Wyrok|56|https://www.saos.org.pl/judgments/494106
471631|2022-07-21|SO|I ACa 1290/21|Wyrok|56|https://www.saos.org.pl/judgments/471631
487910|2022-07-20|SO|V ACa 194/22|Wyrok|56|https://www.saos.org.pl/judgments/487910
493901|2022-07-15|SO|I ACa 216/22|Wyrok|56|https://www.saos.org.pl/judgments/493901
471062|2022-05-17|SO|VI ACa 1050/20|Wyrok|56|https://www.saos.org.pl/judgments/471062
476870|2022-04-27|SO|V ACa 805/21|Wyrok|56|https://www.saos.org.pl/judgments/476870
477049|2022-03-23|SO|V ACa 378/21|Wyrok|56|https://www.saos.org.pl/judgments/477049
492231|2022-03-18|SO|I ACa 79/22|Wyrok|56|https://www.saos.org.pl/judgments/492231
484404|2022-02-24|SO|I ACa 141/21|Wyrok|56|https://www.saos.org.pl/judgments/484404
473580|2022-01-27|SO|I ACa 586/21|Wyrok|56|https://www.saos.org.pl/judgments/473580
491430|2022-01-24|SO|I ACa 191/21|Wyrok|56|https://www.saos.org.pl/judgments/491430
459054|2021-12-06|SO|V ACa 573/21|Wyrok|56|https://www.saos.org.pl/judgments/459054
457761|2021-11-25|SO|I ACa 379/21|Wyrok|56|https://www.saos.org.pl/judgments/457761
468468|2021-11-24|SO|I ACa 135/21|Wyrok|56|https://www.saos.org.pl/judgments/468468
468560|2021-10-27|SO|I ACa 419/21|Wyrok|56|https://www.saos.org.pl/judgments/468560
440099|2021-05-07|SO|I ACa 590/20|Wyrok|56|https://www.saos.org.pl/judgments/440099
465043|2021-03-10|SO|I ACa 789/20|Wyrok|56|https://www.saos.org.pl/judgments/465043
469007|2021-02-19|SO|I ACa 501/20|Wyrok|56|https://www.saos.org.pl/judgments/469007
456025|2020-11-30|SO|I AGa 180/20|Wyrok|56|https://www.saos.org.pl/judgments/456025
