saos_id|date|court|case_number|type|saos_url
541816|2025-12-01|SO|I ACa 290/23|Wyrok|https://www.saos.org.pl/judgments/541816
539562|2025-09-19|SO|I C 79/23|Wyrok|https://www.saos.org.pl/judgments/539562
537733|2025-05-09|SO|I C 1726/24|Wyrok|https://www.saos.org.pl/judgments/537733
538675|2025-03-18|SO|I ACa 1900/22|Wyrok|https://www.saos.org.pl/judgments/538675
537593|2025-03-07|SO|I ACa 3686/24|Wyrok|https://www.saos.org.pl/judgments/537593
538074|2025-02-26|SO|I C 1479/24|Wyrok|https://www.saos.org.pl/judgments/538074
537059|2025-02-17|SO|I ACa 1903/24|Wyrok|https://www.saos.org.pl/judgments/537059
537748|2024-11-28|SO|I C 2138/23|Wyrok|https://www.saos.org.pl/judgments/537748
517625|2024-05-29|SO|I C 470/22|Wyrok|https://www.saos.org.pl/judgments/517625
517536|2024-05-07|SO|I C 1334/23|Wyrok|https://www.saos.org.pl/judgments/517536
525906|2024-02-13|SO|II Ca 2229/22|Wyrok|https://www.saos.org.pl/judgments/525906
520119|2024-02-09|SO|V ACa 811/23|Wyrok|https://www.saos.org.pl/judgments/520119
493902|2024-02-07|SO|I ACa 2162/22|Wyrok|https://www.saos.org.pl/judgments/493902
499201|2024-01-26|SO|I C 73/22|Wyrok|https://www.saos.org.pl/judgments/499201
542648|2024-01-11|SO|V ACa 569/23|Wyrok|https://www.saos.org.pl/judgments/542648
522262|2023-12-07|SO|I ACa 2147/22|Wyrok|https://www.saos.org.pl/judgments/522262
499282|2023-10-27|SO|I C 761/23|Wyrok|https://www.saos.org.pl/judgments/499282
501594|2023-10-18|SO|II Ca 1107/23|Wyrok|https://www.saos.org.pl/judgments/501594
493592|2023-09-18|SO|I ACa 1402/22|Wyrok|https://www.saos.org.pl/judgments/493592
509776|2023-06-06|SO|V ACa 370/23|Wyrok|https://www.saos.org.pl/judgments/509776
516376|2023-05-23|SO|I ACa 1456/22|Wyrok|https://www.saos.org.pl/judgments/516376
485867|2023-01-26|SO|II Ca 919/22|Wyrok|https://www.saos.org.pl/judgments/485867
538085|2022-11-24|SO|I C 834/21|Wyrok|https://www.saos.org.pl/judgments/538085
486727|2022-11-17|SO|V ACa 482/21|Wyrok|https://www.saos.org.pl/judgments/486727
478447|2022-11-10|SO|IX Ca 576/22|Wyrok|https://www.saos.org.pl/judgments/478447
469518|2022-06-10|SO|I ACa 1628/21|Wyrok|https://www.saos.org.pl/judgments/469518
498549|2022-05-18|SO|I C 534/21|Wyrok|https://www.saos.org.pl/judgments/498549
477292|2022-05-18|SO|I ACa 10/22|Wyrok|https://www.saos.org.pl/judgments/477292
499207|2022-05-06|SO|I C 732/20|Wyrok|https://www.saos.org.pl/judgments/499207
537611|2022-03-29|SO|I C 199/21|Wyrok|https://www.saos.org.pl/judgments/537611
466854|2022-01-27|SO|XXIV C 790/19|Wyrok|https://www.saos.org.pl/judgments/466854
455047|2021-12-08|SO|I C 726/20|Wyrok|https://www.saos.org.pl/judgments/455047
451162|2021-07-12|SO|IV C 439/20|Wyrok|https://www.saos.org.pl/judgments/451162
429598|2020-12-30|SO|I ACa 138/20|Wyrok|https://www.saos.org.pl/judgments/429598
390130|2019-04-25|SO|III Ca 1905/18|Uzasadnienie|https://www.saos.org.pl/judgments/390130
358538|2018-10-10|SO|VI GC 132/18|Wyrok|https://www.saos.org.pl/judgments/358538
304560|2017-05-08|SO|I C 2004/16|Wyrok|https://www.saos.org.pl/judgments/304560
273508|2016-12-08|SO|I ACa 462/16|Wyrok|https://www.saos.org.pl/judgments/273508
252285|2016-10-05|SO|IV Ca 602/16|Wyrok|https://www.saos.org.pl/judgments/252285
248102|2016-09-22|SO|I ACa 314/16|Wyrok|https://www.saos.org.pl/judgments/248102
194010|2015-11-30|SO|V GC 177/15|Wyrok|https://www.saos.org.pl/judgments/194010
188604|2015-09-24|SO|VIII GC 437/13|Wyrok|https://www.saos.org.pl/judgments/188604
171898|2015-06-10|SO|I ACa 1829/14|Wyrok|https://www.saos.org.pl/judgments/171898
129427|2015-02-03|SO|I ACa 719/14|Wyrok|https://www.saos.org.pl/judgments/129427
141523|2013-10-31|SO|I C 1022/12|Wyrok|https://www.saos.org.pl/judgments/141523
14761|2013-05-28|SO|I ACa 1275/12|Wyrok|https://www.saos.org.pl/judgments/14761
