saos_id|date|court|case_number|type|saos_url
542484|2025-12-19|SO|VI GC 858/25|Zarządzenie|https://www.saos.org.pl/judgments/542484
538305|2025-11-21|SO|IV P 87/25|Wyrok|https://www.saos.org.pl/judgments/538305
536904|2025-10-30|SO|I ACa 1462/24|Wyrok|https://www.saos.org.pl/judgments/536904
537967|2025-10-15|SO|VIII Cz 465/25|Uzasadnienie|https://www.saos.org.pl/judgments/537967
534275|2025-07-15|SO|V U 288/24|Postanowienie|https://www.saos.org.pl/judgments/534275
540751|2024-12-20|SO|XIV Pa 67/23|Wyrok|https://www.saos.org.pl/judgments/540751
539711|2024-11-26|SO|I C 106/24|Wyrok|https://www.saos.org.pl/judgments/539711
523419|2024-11-15|SO|I C 1829/21|Wyrok|https://www.saos.org.pl/judgments/523419
533137|2024-08-26|SO|II Ca 1551/24|Postanowienie|https://www.saos.org.pl/judgments/533137
520275|2024-07-17|SO|I C 631/24|Postanowienie|https://www.saos.org.pl/judgments/520275
515419|2024-05-23|SO|XXIII Gz 82/24|Postanowienie|https://www.saos.org.pl/judgments/515419
521083|2024-03-06|SO|XVII AmK 6/23|Wyrok|https://www.saos.org.pl/judgments/521083
495696|2023-09-19|SO|I C 1270/22|Uzasadnienie|https://www.saos.org.pl/judgments/495696
505596|2023-09-14|SO|III Ca 1340/22|Uzasadnienie|https://www.saos.org.pl/judgments/505596
492998|2023-06-01|SO|VIII Gz 64/23|Postanowienie|https://www.saos.org.pl/judgments/492998
490832|2023-05-19|SO|IV P 1/23|Wyrok|https://www.saos.org.pl/judgments/490832
491705|2023-04-06|SO|III C 835/21|Postanowienie|https://www.saos.org.pl/judgments/491705
506210|2023-03-13|SO|III Ca 2325/21|Uzasadnienie|https://www.saos.org.pl/judgments/506210
484157|2023-03-01|SO|IV U 521/22|Postanowienie|https://www.saos.org.pl/judgments/484157
484698|2023-02-21|SO|I Ca 361/22|Uzasadnienie|https://www.saos.org.pl/judgments/484698
493005|2023-01-31|SO|XV Ca 1813/21|Wyrok|https://www.saos.org.pl/judgments/493005
481968|2023-01-26|SO|IV Uz 10/22|Postanowienie|https://www.saos.org.pl/judgments/481968
482050|2023-01-16|SO|VIII GC 390/22|Uzasadnienie|https://www.saos.org.pl/judgments/482050
484199|2022-09-16|SO|VI U 197/22|Postanowienie|https://www.saos.org.pl/judgments/484199
489017|2022-08-12|SO|III Ca 833/21|Uzasadnienie|https://www.saos.org.pl/judgments/489017
