saos_id|date|court|case_number|type|score|saos_url
110966|2012-03-13|TK|P 39/10|Wyrok|98|https://www.saos.org.pl/judgments/110966
106047|2002-03-12|TK|P 9/01|Wyrok|98|https://www.saos.org.pl/judgments/106047
98215|2012-05-23|SN|III CZP 16/12|Uchwała|89|https://www.saos.org.pl/judgments/98215
92697|2010-07-21|SN|III CZP 47/10|Uchwała|89|https://www.saos.org.pl/judgments/92697
160574|2015-01-15|TK|P 7/12|Postanowienie|80|https://www.saos.org.pl/judgments/160574
111216|2012-05-29|TK|Ts 131/11|Postanowienie|80|https://www.saos.org.pl/judgments/111216
111215|2012-01-30|TK|Ts 131/11|Postanowienie|80|https://www.saos.org.pl/judgments/111215
109194|2009-11-30|TK|Ts 66/09|Postanowienie|80|https://www.saos.org.pl/judgments/109194
108807|2008-09-05|TK|Ts 177/07|Postanowienie|80|https://www.saos.org.pl/judgments/108807
244434|2016-01-27|SN|III BP 3/15|Wyrok|78|https://www.saos.org.pl/judgments/244434
168499|2015-03-04|SN|IV CSK 410/14|Wyrok|78|https://www.saos.org.pl/judgments/168499
166825|2014-10-03|SN|V CNP 66/13|Wyrok|78|https://www.saos.org.pl/judgments/166825
97548|2012-03-13|SN|IV CSK 284/11|Wyrok|78|https://www.saos.org.pl/judgments/97548
92996|2010-09-30|SN|I CSK 542/09|Wyrok|78|https://www.saos.org.pl/judgments/92996
92038|2010-03-11|SN|IV CSK 391/09|Wyrok|78|https://www.saos.org.pl/judgments/92038
91635|2010-01-14|SN|IV CSK 319/09|Wyrok|78|https://www.saos.org.pl/judgments/91635
89873|2009-03-20|SN|II CSK 568/08|Wyrok|78|https://www.saos.org.pl/judgments/89873
89025|2008-10-29|SN|IV CSK 237/08|Wyrok|78|https://www.saos.org.pl/judgments/89025
87834|2008-04-09|SN|V CSK 492/07|Wyrok|78|https://www.saos.org.pl/judgments/87834
87023|2008-01-10|SN|IV CSK 404/07|Wyrok|78|https://www.saos.org.pl/judgments/87023
86260|2007-07-06|SN|III CSK 22/07|Wyrok|78|https://www.saos.org.pl/judgments/86260
85803|2007-05-09|SN|II CSK 60/07|Wyrok|78|https://www.saos.org.pl/judgments/85803
85295|2007-02-22|SN|III CSK 337/06|Wyrok|78|https://www.saos.org.pl/judgments/85295
164667|2006-11-15|SN|V CSK 243/06|Wyrok|78|https://www.saos.org.pl/judgments/164667
163902|2006-01-13|SN|III CK 360/05|Wyrok|78|https://www.saos.org.pl/judgments/163902
163864|2005-12-15|SN|V CK 400/05|Wyrok|78|https://www.saos.org.pl/judgments/163864
163831|2005-12-07|SN|V CK 355/05|Wyrok|78|https://www.saos.org.pl/judgments/163831
83238|2005-02-25|SN|II CK 434/04|Wyrok|78|https://www.saos.org.pl/judgments/83238
163043|2005-02-23|SN|III CK 323/04|Wyrok|78|https://www.saos.org.pl/judgments/163043
82764|2004-07-16|SN|I CK 41/04|Wyrok|78|https://www.saos.org.pl/judgments/82764
87042|2008-01-18|SN|I CNP 114/07|Postanowienie|69|https://www.saos.org.pl/judgments/87042
162916|2005-01-19|SN|I CK 676/04|Postanowienie|69|https://www.saos.org.pl/judgments/162916
490695|2023-04-20|SO|I AGa 69/21|Wyrok|56|https://www.saos.org.pl/judgments/490695
467340|2022-03-16|SO|I AGa 334/20|Wyrok|56|https://www.saos.org.pl/judgments/467340
461600|2022-01-10|SO|I AGa 184/20|Wyrok|56|https://www.saos.org.pl/judgments/461600
460284|2021-12-15|SO|I ACa 765/20|Wyrok|56|https://www.saos.org.pl/judgments/460284
450634|2021-10-19|SO|I ACa 755/20|Wyrok|56|https://www.saos.org.pl/judgments/450634
447152|2021-07-21|SO|I AGa 36/21|Wyrok|56|https://www.saos.org.pl/judgments/447152
446269|2021-07-14|SO|I AGa 101/20|Wyrok|56|https://www.saos.org.pl/judgments/446269
475699|2021-05-12|SO|I AGa 140/20|Wyrok|56|https://www.saos.org.pl/judgments/475699
444935|2021-04-23|SO|I AGa 199/19|Wyrok|56|https://www.saos.org.pl/judgments/444935
465043|2021-03-10|SO|I ACa 789/20|Wyrok|56|https://www.saos.org.pl/judgments/465043
433338|2021-02-16|SO|I ACa 943/19|Wyrok|56|https://www.saos.org.pl/judgments/433338
458487|2021-01-15|SO|I ACa 502/19|Wyrok|56|https://www.saos.org.pl/judgments/458487
435124|2020-12-04|SO|I AGa 237/19|Wyrok|56|https://www.saos.org.pl/judgments/435124
432649|2020-11-24|SO|I ACa 791/19|Wyrok|56|https://www.saos.org.pl/judgments/432649
470447|2020-11-09|SO|V AGa 529/18|Wyrok|56|https://www.saos.org.pl/judgments/470447
433371|2020-11-05|SO|I ACa 568/18|Wyrok|56|https://www.saos.org.pl/judgments/433371
423529|2020-09-22|SO|V ACa 655/19|Wyrok|56|https://www.saos.org.pl/judgments/423529
423961|2020-08-18|SO|V AGa 31/20|Wyrok|56|https://www.saos.org.pl/judgments/423961
429215|2020-07-23|SO|I ACa 873/19|Wyrok|56|https://www.saos.org.pl/judgments/429215
434901|2020-07-20|SO|VII AGa 455/20|Wyrok|56|https://www.saos.org.pl/judgments/434901
417820|2020-07-13|SO|I ACa 403/19|Wyrok|56|https://www.saos.org.pl/judgments/417820
429766|2020-06-30|SO|I AGa 229/19|Wyrok|56|https://www.saos.org.pl/judgments/429766
428457|2020-06-23|SO|I ACa 392/19|Wyrok|56|https://www.saos.org.pl/judgments/428457
435534|2020-06-09|SO|I AGa 149/19|Wyrok|56|https://www.saos.org.pl/judgments/435534
433374|2020-06-03|SO|I ACa 684/19|Wyrok|56|https://www.saos.org.pl/judgments/433374
429755|2020-02-03|SO|I AGa 137/19|Wyrok|56|https://www.saos.org.pl/judgments/429755
415719|2020-01-13|SO|I AGa 428/18|Wyrok|56|https://www.saos.org.pl/judgments/415719
428304|2019-11-19|SO|I ACa 1528/18|Wyrok|56|https://www.saos.org.pl/judgments/428304
412943|2019-06-26|SO|I ACa 680/18|Wyrok|56|https://www.saos.org.pl/judgments/412943
403886|2019-03-29|SO|I AGa 263/18|Wyrok|56|https://www.saos.org.pl/judgments/403886
376674|2019-03-27|SO|I AGa 230/18|Wyrok|56|https://www.saos.org.pl/judgments/376674
407225|2019-02-28|SO|I ACa 987/16|Wyrok|56|https://www.saos.org.pl/judgments/407225
376571|2019-02-08|SO|I ACa 767/18|Wyrok|56|https://www.saos.org.pl/judgments/376571
385855|2019-01-31|SO|VI ACa 1459/17|Wyrok|56|https://www.saos.org.pl/judgments/385855
374526|2019-01-24|SO|III APa 37/18|Wyrok|56|https://www.saos.org.pl/judgments/374526
374026|2018-11-16|SO|VI ACa 716/18|Wyrok|56|https://www.saos.org.pl/judgments/374026
376644|2018-11-13|SO|I AGa 166/18|Wyrok|56|https://www.saos.org.pl/judgments/376644
373223|2018-11-05|SO|I AGa 72/18|Wyrok|56|https://www.saos.org.pl/judgments/373223
364099|2018-10-19|SO|I ACa 47/18|Wyrok|56|https://www.saos.org.pl/judgments/364099
366896|2018-09-17|SO|VI ACa 204/18|Wyrok|56|https://www.saos.org.pl/judgments/366896
361384|2018-08-31|SO|I ACa 89/18|Wyrok|56|https://www.saos.org.pl/judgments/361384
361628|2018-07-13|SO|I AGa 146/18|Wyrok|56|https://www.saos.org.pl/judgments/361628
376350|2018-07-12|SO|I ACa 1627/17|Wyrok|56|https://www.saos.org.pl/judgments/376350
361144|2018-06-07|SO|I AGa 161/18|Wyrok|56|https://www.saos.org.pl/judgments/361144
344038|2018-05-10|SO|I AGa 102/18|Wyrok|56|https://www.saos.org.pl/judgments/344038
359214|2018-03-26|SO|I AGa 5/18|Wyrok|56|https://www.saos.org.pl/judgments/359214
