saos_id|date|court|case_number|type|score|saos_url
100317|2013-01-10|SN|SNO 52/12|Wyrok|78|https://www.saos.org.pl/judgments/100317
538626|2025-04-10|SO|II AKa 57/25|Wyrok|56|https://www.saos.org.pl/judgments/538626
500765|2023-05-11|SO|II AKa 25/23|Wyrok|56|https://www.saos.org.pl/judgments/500765
465074|2022-04-08|SO|II AKa 12/22|Wyrok|56|https://www.saos.org.pl/judgments/465074
463003|2022-02-16|SO|II AKa 75/20|Wyrok|56|https://www.saos.org.pl/judgments/463003
453706|2021-12-14|SO|III AUa 389/19|Wyrok|56|https://www.saos.org.pl/judgments/453706
453043|2021-12-14|SO|III AUa 437/19|Wyrok|56|https://www.saos.org.pl/judgments/453043
450694|2021-11-16|SO|III AUa 672/20|Wyrok|56|https://www.saos.org.pl/judgments/450694
448045|2021-10-12|SO|III AUa 719/20|Wyrok|56|https://www.saos.org.pl/judgments/448045
444362|2021-07-23|SO|II AKa 404/20|Wyrok|56|https://www.saos.org.pl/judgments/444362
440220|2021-04-09|SO|II AKa 199/20|Wyrok|56|https://www.saos.org.pl/judgments/440220
425303|2020-10-19|SO|II AKa 371/19|Wyrok|56|https://www.saos.org.pl/judgments/425303
419513|2020-06-24|SO|II AKa 188/19|Wyrok|56|https://www.saos.org.pl/judgments/419513
406712|2019-11-28|SO|II AKa 240/19|Wyrok|56|https://www.saos.org.pl/judgments/406712
406627|2019-10-17|SO|II AKa 158/19|Wyrok|56|https://www.saos.org.pl/judgments/406627
387045|2019-07-11|SO|II AKa 81/19|Wyrok|56|https://www.saos.org.pl/judgments/387045
423908|2019-05-27|SO|II AKa 391/18|Wyrok|56|https://www.saos.org.pl/judgments/423908
383446|2019-04-12|SO|II AKa 478/18|Wyrok|56|https://www.saos.org.pl/judgments/383446
378451|2018-12-17|SO|III APo 20/18|Wyrok|56|https://www.saos.org.pl/judgments/378451
360437|2018-09-11|SO|II AKa 203/18|Wyrok|56|https://www.saos.org.pl/judgments/360437
347500|2017-12-13|SO|II AKa 385/17|Wyrok|56|https://www.saos.org.pl/judgments/347500
328161|2017-12-07|SO|II AKa 244/17|Wyrok|56|https://www.saos.org.pl/judgments/328161
315884|2017-10-26|SO|II AKa 271/17|Wyrok|56|https://www.saos.org.pl/judgments/315884
298464|2017-06-22|SO|II AKa 165/17|Wyrok|56|https://www.saos.org.pl/judgments/298464
280657|2017-03-09|SO|II AKa 15/17|Wyrok|56|https://www.saos.org.pl/judgments/280657
289056|2016-12-22|SO|II AKa 372/16|Wyrok|56|https://www.saos.org.pl/judgments/289056
260785|2016-11-28|SO|II AKa 331/16|Wyrok|56|https://www.saos.org.pl/judgments/260785
270851|2016-10-27|SO|II AKa 151/16|Wyrok|56|https://www.saos.org.pl/judgments/270851
239616|2016-07-07|SO|II AKa 32/16|Wyrok|56|https://www.saos.org.pl/judgments/239616
248283|2016-06-21|SO|III AUa 1769/15|Wyrok|56|https://www.saos.org.pl/judgments/248283
222532|2016-04-13|SO|III AUa 1199/15|Wyrok|56|https://www.saos.org.pl/judgments/222532
218409|2016-02-25|SO|II AKa 19/16|Wyrok|56|https://www.saos.org.pl/judgments/218409
133840|2015-01-22|SO|II AKa 426/14|Wyrok|56|https://www.saos.org.pl/judgments/133840
73582|2014-11-26|SO|II AKa 333/14|Wyrok|56|https://www.saos.org.pl/judgments/73582
76162|2014-11-14|SO|III AUa 140/14|Wyrok|56|https://www.saos.org.pl/judgments/76162
129611|2014-10-09|SO|II AKa 342/14|Wyrok|56|https://www.saos.org.pl/judgments/129611
64473|2014-09-17|SO|II AKa 240/14|Wyrok|56|https://www.saos.org.pl/judgments/64473
147970|2014-06-18|SO|II AKa 66/14|Wyrok|56|https://www.saos.org.pl/judgments/147970
56677|2014-06-18|SO|III AUa 1050/13|Wyrok|56|https://www.saos.org.pl/judgments/56677
41791|2013-11-26|SO|III AUa 423/13|Wyrok|56|https://www.saos.org.pl/judgments/41791
140047|2013-06-21|SO|II AKa 74/13|Wyrok|56|https://www.saos.org.pl/judgments/140047
138958|2013-06-13|SO|II AKa 40/13|Wyrok|56|https://www.saos.org.pl/judgments/138958
137526|2013-03-07|SO|II AKa 15/13|Wyrok|56|https://www.saos.org.pl/judgments/137526
137166|2013-02-01|SO|II AKa 414/12|Wyrok|56|https://www.saos.org.pl/judgments/137166
3233|2012-12-20|SO|III AUa 794/12|Wyrok|56|https://www.saos.org.pl/judgments/3233
136708|2012-12-19|SO|II AKa 374/12|Wyrok|56|https://www.saos.org.pl/judgments/136708
136585|2012-12-06|SO|II AKa 207/12|Wyrok|56|https://www.saos.org.pl/judgments/136585
3614|2012-12-06|SO|III AUa 657/12|Wyrok|56|https://www.saos.org.pl/judgments/3614
136536|2012-12-03|SO|II AKa 339/12|Wyrok|56|https://www.saos.org.pl/judgments/136536
138076|2012-09-20|SO|II AKa 179/12|Wyrok|56|https://www.saos.org.pl/judgments/138076
1162|2012-08-30|SO|III AUa 570/12|Wyrok|56|https://www.saos.org.pl/judgments/1162
136841|2010-10-07|SO|II AKa 297/10|Wyrok|56|https://www.saos.org.pl/judgments/136841
136949|2009-01-15|SO|II AKa 392/08|Wyrok|56|https://www.saos.org.pl/judgments/136949
137080|2002-03-21|SO|II AKa 58/02|Wyrok|56|https://www.saos.org.pl/judgments/137080
137295|2000-01-20|SO|II AKa 3/00|Wyrok|56|https://www.saos.org.pl/judgments/137295
540884|2026-02-02|SO|II AKz 815/25|Postanowienie|47|https://www.saos.org.pl/judgments/540884
501357|2024-01-11|SO|II AKz 869/23|Postanowienie|47|https://www.saos.org.pl/judgments/501357
448046|2021-09-30|SO|III AUz 72/21|Postanowienie|47|https://www.saos.org.pl/judgments/448046
360440|2018-10-23|SO|II AKz 320/18|Postanowienie|47|https://www.saos.org.pl/judgments/360440
363341|2018-08-06|SO|I S 184/18|Postanowienie|47|https://www.saos.org.pl/judgments/363341
231900|2016-06-06|SO|I S 173/16|Postanowienie|47|https://www.saos.org.pl/judgments/231900
135526|2012-09-04|SO|I S 83/12|Postanowienie|47|https://www.saos.org.pl/judgments/135526
520486|2025-01-07|SO|II AKa 300/23|Uzasadnienie|42|https://www.saos.org.pl/judgments/520486
446756|2021-07-07|SO|II AKa 332/20|Uzasadnienie|42|https://www.saos.org.pl/judgments/446756
452562|2020-09-07|SO|II AKa 18/20|Uzasadnienie|42|https://www.saos.org.pl/judgments/452562
460479|2019-12-17|SO|II AKa 98/19|Uzasadnienie|42|https://www.saos.org.pl/judgments/460479
399536|2017-07-07|SO|II AKa 95/17|Uzasadnienie|42|https://www.saos.org.pl/judgments/399536
542136|2024-10-23|SO|III Ko 658/23|Wyrok|40|https://www.saos.org.pl/judgments/542136
516240|2024-07-10|SO|III Ko 738/23|Wyrok|40|https://www.saos.org.pl/judgments/516240
507135|2023-08-25|SO|III Ko 476/23|Wyrok|40|https://www.saos.org.pl/judgments/507135
466561|2021-11-17|SO|IV Ka 847/21|Wyrok|40|https://www.saos.org.pl/judgments/466561
431796|2020-09-10|SO|VI Ka 284/20|Wyrok|40|https://www.saos.org.pl/judgments/431796
406340|2019-12-12|SO|IV Ka 927/19|Wyrok|40|https://www.saos.org.pl/judgments/406340
387724|2019-05-15|SO|V U 769/18|Wyrok|40|https://www.saos.org.pl/judgments/387724
387722|2019-05-08|SO|V U 655/18|Wyrok|40|https://www.saos.org.pl/judgments/387722
456763|2019-02-05|SO|I C 1762/18|Wyrok|40|https://www.saos.org.pl/judgments/456763
386821|2018-10-22|SO|I C 70/18|Wyrok|40|https://www.saos.org.pl/judgments/386821
357782|2018-09-19|SO|III RC 61/18|Wyrok|40|https://www.saos.org.pl/judgments/357782
345322|2018-06-26|SO|XII C 942/16|Wyrok|40|https://www.saos.org.pl/judgments/345322
321354|2017-12-29|SO|III RC 13/17|Wyrok|40|https://www.saos.org.pl/judgments/321354
318958|2017-11-17|SO|IV Ka 917/17|Wyrok|40|https://www.saos.org.pl/judgments/318958
335937|2017-09-22|SO|I C 211/17|Wyrok|40|https://www.saos.org.pl/judgments/335937
283161|2017-03-21|SO|I C 1734/16|Wyrok|40|https://www.saos.org.pl/judgments/283161
274169|2017-03-06|SO|II K 178/16|Wyrok|40|https://www.saos.org.pl/judgments/274169
294511|2017-02-20|SO|VI P 231/15|Wyrok|40|https://www.saos.org.pl/judgments/294511
283049|2017-01-10|SO|VI U 129/16|Wyrok|40|https://www.saos.org.pl/judgments/283049
272958|2016-12-16|SO|VI Ka 460/16|Wyrok|40|https://www.saos.org.pl/judgments/272958
266465|2016-11-07|SO|II C 63/14|Wyrok|40|https://www.saos.org.pl/judgments/266465
