saos_id|date|court|case_number|type|score|saos_url
245070|2016-04-06|SN|IV CSK 403/15|Wyrok|78|https://www.saos.org.pl/judgments/245070
167229|2014-11-07|SN|IV CZ 79/14|Postanowienie|69|https://www.saos.org.pl/judgments/167229
546014|2025-03-31|SO|I AGa 40/24|Wyrok|56|https://www.saos.org.pl/judgments/546014
509890|2022-09-28|SO|V AGa 171/20|Wyrok|56|https://www.saos.org.pl/judgments/509890
515763|2022-02-17|SO|I AGa 274/20|Wyrok|56|https://www.saos.org.pl/judgments/515763
408458|2020-01-30|SO|I ACa 716/19|Wyrok|56|https://www.saos.org.pl/judgments/408458
397679|2019-07-05|SO|I AGa 439/18|Wyrok|56|https://www.saos.org.pl/judgments/397679
429010|2018-11-07|SO|V AGa 530/18|Wyrok|56|https://www.saos.org.pl/judgments/429010
332586|2017-11-24|SO|I ACa 955/17|Wyrok|56|https://www.saos.org.pl/judgments/332586
347161|2017-09-22|SO|I ACa 1378/17|Wyrok|56|https://www.saos.org.pl/judgments/347161
298829|2017-07-07|SO|I ACa 120/17|Wyrok|56|https://www.saos.org.pl/judgments/298829
273573|2017-01-11|SO|I ACa 853/16|Wyrok|56|https://www.saos.org.pl/judgments/273573
232125|2016-04-27|SO|I ACa 1858/15|Wyrok|56|https://www.saos.org.pl/judgments/232125
224842|2016-02-22|SO|I ACa 992/15|Wyrok|56|https://www.saos.org.pl/judgments/224842
173523|2015-03-25|SO|I ACa 812/14|Wyrok|56|https://www.saos.org.pl/judgments/173523
153061|2014-05-14|SO|I ACa 355/14|Wyrok|56|https://www.saos.org.pl/judgments/153061
39248|2013-12-05|SO|I ACa 745/13|Wyrok|56|https://www.saos.org.pl/judgments/39248
135948|2012-08-01|SO|II AKa 198/12|Wyrok|56|https://www.saos.org.pl/judgments/135948
39359|2013-11-12|SO|I ACz 1880/13|Postanowienie|47|https://www.saos.org.pl/judgments/39359
454515|2020-12-14|SO|I C 368/20|Wyrok|40|https://www.saos.org.pl/judgments/454515
266354|2017-01-04|SO|VII Ka 848/16|Wyrok|40|https://www.saos.org.pl/judgments/266354
149201|2014-04-02|SO|XII Ga 591/13|Wyrok|40|https://www.saos.org.pl/judgments/149201
320658|2017-12-18|SO|V Ga 289/17|Postanowienie|31|https://www.saos.org.pl/judgments/320658
488468|2022-10-04|SO|X GC 396/22|Zarządzenie|27|https://www.saos.org.pl/judgments/488468
488403|2022-07-25|SO|X GC 174/22|Zarządzenie|27|https://www.saos.org.pl/judgments/488403
488537|2021-07-19|SO|X GC 675/20|Zarządzenie|27|https://www.saos.org.pl/judgments/488537
488529|2020-10-19|SO|X GC 630/20|Zarządzenie|27|https://www.saos.org.pl/judgments/488529
420864|2020-01-27|SO|III Ca 1733/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/420864
401833|2020-01-23|SO|XIII Ga 304/18|Uzasadnienie|27|https://www.saos.org.pl/judgments/401833
401836|2020-01-16|SO|XIII Ga 658/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/401836
398465|2019-12-17|SO|XIII Ga 840/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/398465
311374|2017-11-06|SO|XIII Ga 639/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/311374
317350|2017-10-24|SO|II C 1257/16|Uzasadnienie|27|https://www.saos.org.pl/judgments/317350
231748|2016-06-17|SO|XIII Ga 1120/15|Uzasadnienie|27|https://www.saos.org.pl/judgments/231748
225581|2015-02-25|SO|II C 1143/13|Uzasadnienie|27|https://www.saos.org.pl/judgments/225581
