saos_id|date|court|case_number|type|saos_url
482279|2022-02-10|SO|XXIII Gz 1428/21|Postanowienie|https://www.saos.org.pl/judgments/482279
438098|2021-03-25|SO|I AGa 121/20|Wyrok|https://www.saos.org.pl/judgments/438098
426295|2019-12-09|SO|V AGa 584/18|Wyrok|https://www.saos.org.pl/judgments/426295
492245|2018-12-27|SO|I AGa 186/18|Wyrok|https://www.saos.org.pl/judgments/492245
340547|2018-04-25|SO|VI U 204/18|Uzasadnienie|https://www.saos.org.pl/judgments/340547
358194|2018-04-09|SO|XX GC 173/17|Wyrok|https://www.saos.org.pl/judgments/358194
244997|2016-03-31|SN|III CZP 89/15|Uchwała|https://www.saos.org.pl/judgments/244997
201749|2015-08-18|KIO|KIO 1668/15|Wyrok|https://www.saos.org.pl/judgments/201749
167580|2014-12-05|SN|III CSK 45/14|Postanowienie|https://www.saos.org.pl/judgments/167580
121258|2012-10-25|KIO|KIO 2235/12|Wyrok|https://www.saos.org.pl/judgments/121258
90061|2009-04-17|SN|II PK 273/08|Wyrok|https://www.saos.org.pl/judgments/90061
89305|2008-12-04|SN|II PK 134/08|Wyrok|https://www.saos.org.pl/judgments/89305
83228|2005-02-16|SN|III CK 296/04|Wyrok|https://www.saos.org.pl/judgments/83228
