saos_id|date|court|case_number|type|score|saos_url
109092|2009-06-02|TK|SK 31/08|Wyrok|98|https://www.saos.org.pl/judgments/109092
107232|2005-06-21|TK|P 25/02|Wyrok|98|https://www.saos.org.pl/judgments/107232
102903|2013-09-18|SN|III CZP 13/13|Uchwała|96|https://www.saos.org.pl/judgments/102903
243820|2015-11-20|SN|III CZP 78/15|Uchwała|89|https://www.saos.org.pl/judgments/243820
168385|2015-02-26|SN|III CZP 102/14|Uchwała|89|https://www.saos.org.pl/judgments/168385
100191|2012-12-20|SN|III CZP 84/12|Uchwała|89|https://www.saos.org.pl/judgments/100191
96361|2011-11-25|SN|III CZP 64/11|Uchwała|89|https://www.saos.org.pl/judgments/96361
91682|2010-01-20|SN|III CZP 122/09|Uchwała|89|https://www.saos.org.pl/judgments/91682
90344|2009-06-04|SN|III CZP 30/09|Uchwała|89|https://www.saos.org.pl/judgments/90344
83210|2005-02-09|SN|III CZP 82/04|Uchwała|89|https://www.saos.org.pl/judgments/83210
110353|2011-04-06|TK|SK 21/07|Postanowienie|80|https://www.saos.org.pl/judgments/110353
110513|2011-01-27|TK|Ts 97/10|Postanowienie|80|https://www.saos.org.pl/judgments/110513
243726|2015-11-06|SN|II CSK 598/15|Wyrok|78|https://www.saos.org.pl/judgments/243726
243610|2015-10-22|SN|IV CSK 738/14|Wyrok|78|https://www.saos.org.pl/judgments/243610
243426|2015-09-30|SN|I CSK 773/14|Wyrok|78|https://www.saos.org.pl/judgments/243426
245564|2015-06-03|SN|V CSK 592/14|Wyrok|78|https://www.saos.org.pl/judgments/245564
245443|2015-04-29|SN|IV CSK 511/14|Wyrok|78|https://www.saos.org.pl/judgments/245443
167782|2015-01-09|SN|V CSK 180/14|Wyrok|78|https://www.saos.org.pl/judgments/167782
166841|2014-10-02|SN|IV CSK 7/14|Wyrok|78|https://www.saos.org.pl/judgments/166841
103070|2013-10-11|SN|I CSK 753/12|Wyrok|78|https://www.saos.org.pl/judgments/103070
101936|2013-05-28|SN|V CSK 311/12|Wyrok|78|https://www.saos.org.pl/judgments/101936
101903|2013-05-24|SN|V CSK 313/12|Wyrok|78|https://www.saos.org.pl/judgments/101903
101023|2013-03-14|SN|I CSK 382/12|Wyrok|78|https://www.saos.org.pl/judgments/101023
100595|2013-02-07|SN|II CSK 300/12|Wyrok|78|https://www.saos.org.pl/judgments/100595
100222|2012-12-21|SN|V CSK 9/12|Wyrok|78|https://www.saos.org.pl/judgments/100222
