saos_id|date|court|case_number|type|saos_url
542084|2025-10-21|SO|VIII GC 124/25|Wyrok|https://www.saos.org.pl/judgments/542084
539760|2025-10-15|SO|VIII GC 172/24|Wyrok|https://www.saos.org.pl/judgments/539760
542151|2025-02-24|SO|I AGa 76/23|Wyrok|https://www.saos.org.pl/judgments/542151
527704|2024-01-31|SO|I C 1914/23|Wyrok|https://www.saos.org.pl/judgments/527704
495121|2023-06-30|SO|I AGa 65/22|Wyrok|https://www.saos.org.pl/judgments/495121
527972|2022-11-29|SO|XVI GC 280/18|Wyrok|https://www.saos.org.pl/judgments/527972
481503|2022-11-28|SO|VIII GC 129/22|Uzasadnienie|https://www.saos.org.pl/judgments/481503
509906|2022-11-03|SO|V AGa 267/21|Wyrok|https://www.saos.org.pl/judgments/509906
490202|2022-07-14|SO|II AKa 109/22|Uzasadnienie|https://www.saos.org.pl/judgments/490202
518497|2022-06-01|SO|V Cz 599/22|Postanowienie|https://www.saos.org.pl/judgments/518497
521468|2022-05-27|SO|I AGa 338/20|Wyrok|https://www.saos.org.pl/judgments/521468
462952|2022-02-11|SO|I AGa 251/20|Wyrok|https://www.saos.org.pl/judgments/462952
440500|2021-04-12|SO|V AGa 230/20|Wyrok|https://www.saos.org.pl/judgments/440500
430883|2021-01-18|SO|VIII GC 412/19|Uzasadnienie|https://www.saos.org.pl/judgments/430883
447946|2020-11-06|SO|VI ACa 172/19|Wyrok|https://www.saos.org.pl/judgments/447946
420281|2020-07-23|SO|II AKa 113/20|Wyrok|https://www.saos.org.pl/judgments/420281
433975|2020-07-08|SO|I AGa 219/19|Wyrok|https://www.saos.org.pl/judgments/433975
422604|2020-05-25|SO|I C 468/20|Postanowienie|https://www.saos.org.pl/judgments/422604
461368|2019-12-20|SO|XXVI GC 557/14|Wyrok|https://www.saos.org.pl/judgments/461368
426295|2019-12-09|SO|V AGa 584/18|Wyrok|https://www.saos.org.pl/judgments/426295
384531|2019-04-17|SO|II AKa 407/18|Wyrok|https://www.saos.org.pl/judgments/384531
377696|2019-02-27|SO|II AKa 292/18|Wyrok|https://www.saos.org.pl/judgments/377696
385121|2019-01-30|SO|VI ACa 842/18|Wyrok|https://www.saos.org.pl/judgments/385121
376638|2019-01-17|SO|I AGa 149/18|Wyrok|https://www.saos.org.pl/judgments/376638
364104|2018-11-21|SO|I AGa 116/18|Wyrok|https://www.saos.org.pl/judgments/364104
394804|2018-10-31|SO|XXV C 1503/16|Wyrok|https://www.saos.org.pl/judgments/394804
359243|2018-09-12|SO|II AKa 179/18|Wyrok|https://www.saos.org.pl/judgments/359243
344210|2018-04-27|SO|I ACa 1077/17|Wyrok|https://www.saos.org.pl/judgments/344210
317548|2017-11-24|SO|III Pa 58/17|Wyrok|https://www.saos.org.pl/judgments/317548
312952|2017-10-24|SO|V ACa 38/17|Wyrok|https://www.saos.org.pl/judgments/312952
306305|2017-07-27|SO|V GC 64/15|Wyrok|https://www.saos.org.pl/judgments/306305
310485|2017-06-01|SO|IX GC 489/12|Wyrok|https://www.saos.org.pl/judgments/310485
348444|2017-04-06|SO|VIII Pa 6/17|Wyrok|https://www.saos.org.pl/judgments/348444
320532|2017-03-24|SO|I ACa 2446/15|Wyrok|https://www.saos.org.pl/judgments/320532
309875|2017-03-01|SO|I ACa 1469/16|Wyrok|https://www.saos.org.pl/judgments/309875
266850|2016-12-28|SO|VI GC 175/16|Wyrok|https://www.saos.org.pl/judgments/266850
355842|2016-11-15|SO|I C 1229/15|Wyrok|https://www.saos.org.pl/judgments/355842
358199|2016-09-22|SO|XX GC 927/15|Wyrok|https://www.saos.org.pl/judgments/358199
252862|2016-08-12|SO|X Ga 139/16|Wyrok|https://www.saos.org.pl/judgments/252862
305106|2016-08-05|SO|II Ca 125/16|Wyrok|https://www.saos.org.pl/judgments/305106
227025|2016-05-20|SO|XXVI GC 420/16|Postanowienie|https://www.saos.org.pl/judgments/227025
235580|2016-04-29|SO|I ACa 1050/15|Wyrok|https://www.saos.org.pl/judgments/235580
357819|2016-04-26|SO|XX GC 646/15|Wyrok|https://www.saos.org.pl/judgments/357819
271201|2016-04-22|SO|XV Ca 1673/15|Wyrok|https://www.saos.org.pl/judgments/271201
236431|2016-04-21|SO|I ACa 926/15|Wyrok|https://www.saos.org.pl/judgments/236431
384671|2016-03-15|SO|XXVI GC 1094/14|Wyrok|https://www.saos.org.pl/judgments/384671
221953|2016-02-25|SO|III APa 58/15|Wyrok|https://www.saos.org.pl/judgments/221953
189792|2015-11-10|SO|I ACa 331/15|Wyrok|https://www.saos.org.pl/judgments/189792
223167|2015-07-13|SO|VI Ga 64/15|Wyrok|https://www.saos.org.pl/judgments/223167
172121|2015-05-26|SO|VIII GC 314/14|Wyrok|https://www.saos.org.pl/judgments/172121
153150|2015-05-13|SO|IV Ka 266/15|Wyrok|https://www.saos.org.pl/judgments/153150
173807|2015-03-30|SO|I ACa 825/14|Wyrok|https://www.saos.org.pl/judgments/173807
171518|2015-03-23|SO|X GC 487/14|Wyrok|https://www.saos.org.pl/judgments/171518
168572|2015-03-10|SN|II KK 309/14|Wyrok|https://www.saos.org.pl/judgments/168572
153086|2015-02-23|SO|I C 2376/13|Wyrok|https://www.saos.org.pl/judgments/153086
150018|2014-11-28|SO|I ACa 805/14|Wyrok|https://www.saos.org.pl/judgments/150018
237776|2014-08-19|SO|XV GC 2207/13|Uzasadnienie|https://www.saos.org.pl/judgments/237776
65100|2014-07-29|SO|V ACa 781/13|Wyrok|https://www.saos.org.pl/judgments/65100
54150|2014-06-30|SO|I ACa 268/14|Wyrok|https://www.saos.org.pl/judgments/54150
45763|2014-03-10|SO|X P 110/11|Wyrok|https://www.saos.org.pl/judgments/45763
35611|2014-02-20|SO|X GC 810/12|Uzasadnienie|https://www.saos.org.pl/judgments/35611
46130|2014-02-13|SO|V ACa 801/13|Wyrok|https://www.saos.org.pl/judgments/46130
538853|2014-01-23|SO|I ACa 1065/13|Wyrok|https://www.saos.org.pl/judgments/538853
146573|2013-12-06|SO|I C 837/12|Uzasadnienie|https://www.saos.org.pl/judgments/146573
37372|2013-11-12|SO|VIII Pa 43/13|Wyrok|https://www.saos.org.pl/judgments/37372
35609|2013-11-12|SO|VIII Pa 42/13|Wyrok|https://www.saos.org.pl/judgments/35609
14877|2013-03-14|SO|I ACa 195/13|Wyrok|https://www.saos.org.pl/judgments/14877
10397|2013-01-23|SO|V ACa 1016/12|Wyrok|https://www.saos.org.pl/judgments/10397
6035|2012-12-17|SO|III AUa 605/11|Wyrok|https://www.saos.org.pl/judgments/6035
7736|2012-10-11|SO|I ACa 336/12|Wyrok|https://www.saos.org.pl/judgments/7736
5858|2012-10-05|SO|I ACa 701/12|Wyrok|https://www.saos.org.pl/judgments/5858
10027|2012-10-03|SO|I ACz 1452/12|Postanowienie|https://www.saos.org.pl/judgments/10027
1268|2012-09-05|SO|III APa 10/12|Wyrok|https://www.saos.org.pl/judgments/1268
98751|2012-08-02|SN|II PK 27/12|Wyrok|https://www.saos.org.pl/judgments/98751
2007|2012-03-12|SO|I ACa 102/12|Wyrok|https://www.saos.org.pl/judgments/2007
5763|2011-04-12|SO|I ACa 719/10|Wyrok|https://www.saos.org.pl/judgments/5763
406399|2011-01-19|SO|XVI GC 5/11|Postanowienie|https://www.saos.org.pl/judgments/406399
92925|2010-09-14|SN|II PK 67/10|Wyrok|https://www.saos.org.pl/judgments/92925
165379|2010-06-23|SN|II PK 1/10|Wyrok|https://www.saos.org.pl/judgments/165379
90406|2009-06-18|SN|II CSK 33/09|Wyrok|https://www.saos.org.pl/judgments/90406
90001|2009-04-07|SN|I PK 215/08|Wyrok|https://www.saos.org.pl/judgments/90001
85570|2007-03-27|SN|II PZP 2/07|Uchwała|https://www.saos.org.pl/judgments/85570
164427|2006-07-20|SN|V CZ 59/06|Postanowienie|https://www.saos.org.pl/judgments/164427
83410|2005-05-11|SN|III PK 27/05|Wyrok|https://www.saos.org.pl/judgments/83410
