saos_id|date|court|case_number|type|score|saos_url
539165|2025-11-28|SO|I ACa 2401/23|Wyrok|56|https://www.saos.org.pl/judgments/539165
538425|2025-04-30|SO|III AUa 484/24|Wyrok|56|https://www.saos.org.pl/judgments/538425
531133|2024-12-17|SO|III AUa 477/23|Wyrok|56|https://www.saos.org.pl/judgments/531133
521543|2024-11-22|SO|III AUa 164/23|Wyrok|56|https://www.saos.org.pl/judgments/521543
528728|2024-10-30|SO|III AUa 229/24|Wyrok|56|https://www.saos.org.pl/judgments/528728
534354|2024-10-29|SO|I ACa 3404/23|Wyrok|56|https://www.saos.org.pl/judgments/534354
519651|2024-10-29|SO|I ACa 700/23|Wyrok|56|https://www.saos.org.pl/judgments/519651
531769|2024-10-25|SO|II AKa 15/24|Wyrok|56|https://www.saos.org.pl/judgments/531769
528838|2024-09-17|SO|III AUa 207/24|Wyrok|56|https://www.saos.org.pl/judgments/528838
528726|2024-09-17|SO|III AUa 199/24|Wyrok|56|https://www.saos.org.pl/judgments/528726
528589|2024-06-12|SO|III AUa 716/22|Wyrok|56|https://www.saos.org.pl/judgments/528589
505027|2024-04-30|SO|III AUa 5/22|Wyrok|56|https://www.saos.org.pl/judgments/505027
500642|2024-03-27|SO|II AKa 201/23|Wyrok|56|https://www.saos.org.pl/judgments/500642
543976|2023-12-01|SO|V ACa 34/22|Wyrok|56|https://www.saos.org.pl/judgments/543976
504983|2023-11-15|SO|III AUa 425/22|Wyrok|56|https://www.saos.org.pl/judgments/504983
494374|2023-10-19|SO|I ACa 606/22|Wyrok|56|https://www.saos.org.pl/judgments/494374
504974|2023-06-22|SO|III AUa 411/22|Wyrok|56|https://www.saos.org.pl/judgments/504974
500536|2023-05-23|SO|II AKa 161/22|Wyrok|56|https://www.saos.org.pl/judgments/500536
493987|2023-05-11|SO|I ACa 271/23|Wyrok|56|https://www.saos.org.pl/judgments/493987
510581|2023-04-24|SO|VI ACa 663/22|Wyrok|56|https://www.saos.org.pl/judgments/510581
516416|2023-03-28|SO|I ACa 363/22|Wyrok|56|https://www.saos.org.pl/judgments/516416
510563|2023-02-06|SO|VI ACa 172/22|Wyrok|56|https://www.saos.org.pl/judgments/510563
481807|2022-12-29|SO|V ACa 849/21|Wyrok|56|https://www.saos.org.pl/judgments/481807
525757|2022-12-23|SO|III AUa 736/21|Wyrok|56|https://www.saos.org.pl/judgments/525757
490354|2022-11-09|SO|III AUa 1382/21|Wyrok|56|https://www.saos.org.pl/judgments/490354
479941|2022-09-19|SO|VI ACa 863/19|Wyrok|56|https://www.saos.org.pl/judgments/479941
477832|2022-09-19|SO|VI ACa 949/21|Wyrok|56|https://www.saos.org.pl/judgments/477832
470403|2022-05-24|SO|I ACa 511/21|Wyrok|56|https://www.saos.org.pl/judgments/470403
480085|2022-05-12|SO|III AUa 389/21|Wyrok|56|https://www.saos.org.pl/judgments/480085
477411|2022-04-27|SO|V ACa 819/21|Wyrok|56|https://www.saos.org.pl/judgments/477411
463985|2022-03-25|SO|II AKa 74/21|Wyrok|56|https://www.saos.org.pl/judgments/463985
468482|2022-03-17|SO|I ACa 961/21|Wyrok|56|https://www.saos.org.pl/judgments/468482
460246|2022-02-03|SO|III AUa 1085/20|Wyrok|56|https://www.saos.org.pl/judgments/460246
459667|2022-01-26|SO|II AKa 430/19|Wyrok|56|https://www.saos.org.pl/judgments/459667
490056|2022-01-12|SO|II AKa 342/21|Wyrok|56|https://www.saos.org.pl/judgments/490056
457957|2021-12-09|SO|II AKa 257/21|Wyrok|56|https://www.saos.org.pl/judgments/457957
494375|2021-11-18|SO|I ACa 607/20|Wyrok|56|https://www.saos.org.pl/judgments/494375
450634|2021-10-19|SO|I ACa 755/20|Wyrok|56|https://www.saos.org.pl/judgments/450634
451619|2021-08-05|SO|III AUa 434/21|Wyrok|56|https://www.saos.org.pl/judgments/451619
447764|2021-07-09|SO|III AUa 221/21|Wyrok|56|https://www.saos.org.pl/judgments/447764
462749|2021-07-06|SO|III AUa 989/20|Wyrok|56|https://www.saos.org.pl/judgments/462749
445807|2021-06-08|SO|I ACa 1215/19|Wyrok|56|https://www.saos.org.pl/judgments/445807
450826|2021-05-25|SO|VI ACa 814/20|Wyrok|56|https://www.saos.org.pl/judgments/450826
438082|2021-03-25|SO|I ACa 797/19|Wyrok|56|https://www.saos.org.pl/judgments/438082
446845|2021-02-16|SO|I ACa 917/19|Wyrok|56|https://www.saos.org.pl/judgments/446845
436744|2021-02-11|SO|I ACa 2/21|Wyrok|56|https://www.saos.org.pl/judgments/436744
434584|2021-02-02|SO|III AUa 1626/17|Wyrok|56|https://www.saos.org.pl/judgments/434584
432474|2020-11-25|SO|VI ACa 779/19|Wyrok|56|https://www.saos.org.pl/judgments/432474
424856|2020-10-07|SO|II AKa 227/19|Wyrok|56|https://www.saos.org.pl/judgments/424856
425622|2020-07-23|SO|V ACa 732/18|Wyrok|56|https://www.saos.org.pl/judgments/425622
419719|2020-07-07|SO|II AKa 183/19|Wyrok|56|https://www.saos.org.pl/judgments/419719
417289|2020-02-27|SO|I ACa 998/19|Wyrok|56|https://www.saos.org.pl/judgments/417289
461458|2020-02-18|SO|III AUa 1376/19|Wyrok|56|https://www.saos.org.pl/judgments/461458
418902|2019-12-20|SO|III AUa 564/19|Wyrok|56|https://www.saos.org.pl/judgments/418902
407142|2019-12-19|SO|VI ACa 312/19|Wyrok|56|https://www.saos.org.pl/judgments/407142
402958|2019-12-11|SO|III AUa 346/19|Wyrok|56|https://www.saos.org.pl/judgments/402958
418901|2019-11-27|SO|III AUa 558/19|Wyrok|56|https://www.saos.org.pl/judgments/418901
405820|2019-11-18|SO|VII AGa 1411/18|Wyrok|56|https://www.saos.org.pl/judgments/405820
408415|2019-11-13|SO|III AUa 540/19|Wyrok|56|https://www.saos.org.pl/judgments/408415
429597|2019-10-24|SO|I ACa 1200/18|Wyrok|56|https://www.saos.org.pl/judgments/429597
407362|2019-10-17|SO|I ACa 658/18|Wyrok|56|https://www.saos.org.pl/judgments/407362
408644|2019-10-15|SO|I ACa 775/19|Wyrok|56|https://www.saos.org.pl/judgments/408644
393353|2019-08-23|SO|I ACa 91/19|Wyrok|56|https://www.saos.org.pl/judgments/393353
391020|2019-06-25|SO|I ACa 56/19|Wyrok|56|https://www.saos.org.pl/judgments/391020
391500|2019-06-06|SO|I ACa 48/19|Wyrok|56|https://www.saos.org.pl/judgments/391500
389246|2019-06-04|SO|V ACa 35/19|Wyrok|56|https://www.saos.org.pl/judgments/389246
