saos_id|date|court|case_number|type|saos_url
540343|2025-05-21|SO|I AGa 241/24|Wyrok|https://www.saos.org.pl/judgments/540343
528269|2024-11-21|SO|VIII U 256/21|Uzasadnienie|https://www.saos.org.pl/judgments/528269
514689|2024-05-06|SO|XIII Ga 560/23|Uzasadnienie|https://www.saos.org.pl/judgments/514689
514171|2024-02-20|SO|VIII U 869/20|Uzasadnienie|https://www.saos.org.pl/judgments/514171
513508|2023-12-07|SO|VIII U 1880/21|Uzasadnienie|https://www.saos.org.pl/judgments/513508
514029|2023-11-16|SO|VIII U 674/23|Uzasadnienie|https://www.saos.org.pl/judgments/514029
513656|2023-10-23|SO|VIII U 2194/21|Uzasadnienie|https://www.saos.org.pl/judgments/513656
494986|2023-08-10|SO|I AGa 255/22|Wyrok|https://www.saos.org.pl/judgments/494986
476721|2022-09-29|SO|VIII U 674/20|Uzasadnienie|https://www.saos.org.pl/judgments/476721
464513|2022-05-09|SO|VIII U 221/19|Uzasadnienie|https://www.saos.org.pl/judgments/464513
455200|2021-12-20|SO|VIII U 197/20|Uzasadnienie|https://www.saos.org.pl/judgments/455200
453453|2021-11-10|SO|VIII U 770/20|Zarządzenie|https://www.saos.org.pl/judgments/453453
440786|2021-05-04|SO|VIII U 2397/20|Uzasadnienie|https://www.saos.org.pl/judgments/440786
412352|2019-12-09|SO|I AGa 334/18|Wyrok|https://www.saos.org.pl/judgments/412352
404070|2019-09-23|SO|VIII U 1677/17|Uzasadnienie|https://www.saos.org.pl/judgments/404070
467942|2019-09-17|SO|XXIV C 805/16|Wyrok|https://www.saos.org.pl/judgments/467942
404174|2019-07-25|SO|III AUa 424/19|Wyrok|https://www.saos.org.pl/judgments/404174
393190|2019-05-13|SO|IV Ka 110/19|Wyrok|https://www.saos.org.pl/judgments/393190
408304|2019-02-27|SO|III AUa 304/18|Wyrok|https://www.saos.org.pl/judgments/408304
381480|2018-10-09|SO|XVI GC 574/12|Wyrok|https://www.saos.org.pl/judgments/381480
340451|2018-04-24|SO|III AUa 921/17|Wyrok|https://www.saos.org.pl/judgments/340451
362086|2018-03-07|SO|I ACa 952/17|Wyrok|https://www.saos.org.pl/judgments/362086
326557|2018-01-22|SO|VIII U 176/17|Zarządzenie|https://www.saos.org.pl/judgments/326557
289477|2017-06-12|SO|VIII U 3006/15|Zarządzenie|https://www.saos.org.pl/judgments/289477
285991|2017-05-23|SO|VIII U 2550/16|Zarządzenie|https://www.saos.org.pl/judgments/285991
320678|2017-04-10|SO|VIII GC 864/16|Wyrok|https://www.saos.org.pl/judgments/320678
335329|2017-02-09|SO|XX GC 1022/16|Uzasadnienie|https://www.saos.org.pl/judgments/335329
305199|2016-06-09|SO|II Ca 1581/15|Wyrok|https://www.saos.org.pl/judgments/305199
357820|2016-05-10|SO|XX GC 865/15|Wyrok|https://www.saos.org.pl/judgments/357820
248431|2016-02-29|SO|V Ga 11/16|Postanowienie|https://www.saos.org.pl/judgments/248431
208123|2016-02-03|SO|XXIII Ga 1525/15|Wyrok|https://www.saos.org.pl/judgments/208123
212337|2016-01-19|SO|VI ACa 777/15|Wyrok|https://www.saos.org.pl/judgments/212337
179606|2015-09-21|SO|II K 86/14|Uzasadnienie|https://www.saos.org.pl/judgments/179606
