saos_id|date|court|case_number|type|score|saos_url
244997|2016-03-31|SN|III CZP 89/15|Uchwała|96|https://www.saos.org.pl/judgments/244997
100549|2013-01-30|SN|V CSK 84/12|Wyrok|78|https://www.saos.org.pl/judgments/100549
92185|2010-05-07|SN|III CSK 176/09|Wyrok|78|https://www.saos.org.pl/judgments/92185
362086|2018-03-07|SO|I ACa 952/17|Wyrok|56|https://www.saos.org.pl/judgments/362086
343792|2018-02-27|SO|VII AGa 136/18|Wyrok|56|https://www.saos.org.pl/judgments/343792
271231|2016-12-09|SO|I ACa 2041/15|Wyrok|56|https://www.saos.org.pl/judgments/271231
64034|2014-09-16|SO|III AUa 92/14|Wyrok|56|https://www.saos.org.pl/judgments/64034
46857|2014-03-27|SO|I ACa 49/14|Wyrok|56|https://www.saos.org.pl/judgments/46857
12940|2013-03-08|SO|VI ACa 1237/12|Wyrok|56|https://www.saos.org.pl/judgments/12940
287047|2017-04-27|SO|XII C 41/17|Wyrok|40|https://www.saos.org.pl/judgments/287047
488471|2022-06-23|SO|X GC 4/22|Zarządzenie|27|https://www.saos.org.pl/judgments/488471
