saos_id|date|court|case_number|type|saos_url
541300|2025-12-09|SO|III K 7/23|Wyrok|https://www.saos.org.pl/judgments/541300
540045|2024-12-16|SO|V AGa 384/22|Wyrok|https://www.saos.org.pl/judgments/540045
503168|2024-05-07|SO|II K 447/23|Wyrok|https://www.saos.org.pl/judgments/503168
490513|2023-05-30|SO|IV Ka 362/23|Uzasadnienie|https://www.saos.org.pl/judgments/490513
474422|2022-09-08|SO|VI Ka 619/22|Uzasadnienie|https://www.saos.org.pl/judgments/474422
486619|2022-07-15|SO|II K 733/21|Wyrok|https://www.saos.org.pl/judgments/486619
447700|2021-07-07|SO|II AKa 366/20|Wyrok|https://www.saos.org.pl/judgments/447700
442039|2021-04-13|SO|IV Ka 105/21|Uzasadnienie|https://www.saos.org.pl/judgments/442039
427248|2020-09-28|SO|II K 739/20|Wyrok|https://www.saos.org.pl/judgments/427248
422021|2020-07-23|SO|VI Ka 229/20|Wyrok|https://www.saos.org.pl/judgments/422021
468904|2019-12-24|SO|IV K 319/19|Uzasadnienie|https://www.saos.org.pl/judgments/468904
399591|2019-08-26|SO|V Ka 545/19|Uzasadnienie|https://www.saos.org.pl/judgments/399591
396586|2019-08-26|SO|IV Ka 594/19|Wyrok|https://www.saos.org.pl/judgments/396586
414516|2019-06-03|SO|II K 120/19|Wyrok|https://www.saos.org.pl/judgments/414516
340071|2018-04-05|SO|II K 635/17|Wyrok|https://www.saos.org.pl/judgments/340071
364775|2018-03-22|SO|II AKa 15/18|Wyrok|https://www.saos.org.pl/judgments/364775
511233|2018-01-26|SO|VI Ka 649/17|Wyrok|https://www.saos.org.pl/judgments/511233
329965|2018-01-25|SO|II K 1345/17|Wyrok|https://www.saos.org.pl/judgments/329965
319475|2017-10-06|SO|II K 155/17|Wyrok|https://www.saos.org.pl/judgments/319475
282799|2017-04-19|SO|II K 1005/16|Wyrok|https://www.saos.org.pl/judgments/282799
295063|2017-04-06|SO|II K 36/17|Wyrok|https://www.saos.org.pl/judgments/295063
269439|2016-10-24|SO|II AKa 40/16|Wyrok|https://www.saos.org.pl/judgments/269439
249420|2016-07-14|SO|VI Ka 260/16|Wyrok|https://www.saos.org.pl/judgments/249420
226831|2016-04-25|SO|VII K 717/15|Wyrok|https://www.saos.org.pl/judgments/226831
234566|2016-03-04|SO|II K 578/15|Wyrok|https://www.saos.org.pl/judgments/234566
217828|2015-12-23|SO|IV K 303/15|Uzasadnienie|https://www.saos.org.pl/judgments/217828
230952|2015-12-17|SO|IV K 176/15|Wyrok|https://www.saos.org.pl/judgments/230952
234556|2015-11-06|SO|II K 269/15|Wyrok|https://www.saos.org.pl/judgments/234556
204546|2015-10-28|SO|II K 378/15|Wyrok|https://www.saos.org.pl/judgments/204546
191014|2015-10-22|SO|III K 1013/13|Wyrok|https://www.saos.org.pl/judgments/191014
178608|2015-07-22|SO|II K 83/15|Wyrok|https://www.saos.org.pl/judgments/178608
152392|2015-04-29|SO|XVII Ka 271/15|Wyrok|https://www.saos.org.pl/judgments/152392
130389|2015-02-16|SO|XIV K 695/14|Uzasadnienie|https://www.saos.org.pl/judgments/130389
76021|2014-11-21|SO|III K 812/14|Wyrok|https://www.saos.org.pl/judgments/76021
72681|2014-11-06|SO|II K 27/14|Uzasadnienie|https://www.saos.org.pl/judgments/72681
60720|2014-09-03|SO|II Ka 205/14|Wyrok|https://www.saos.org.pl/judgments/60720
41433|2014-04-02|SO|II Ka 48/14|Wyrok|https://www.saos.org.pl/judgments/41433
48562|2014-03-31|SO|IV Ka 162/14|Wyrok|https://www.saos.org.pl/judgments/48562
4471|2013-01-15|SO|IV Ka 1222/12|Wyrok|https://www.saos.org.pl/judgments/4471
382791|2011-06-01|SO|II AKa 83/11|Wyrok|https://www.saos.org.pl/judgments/382791
83039|2004-12-02|SN|III KK 112/04|Postanowienie|https://www.saos.org.pl/judgments/83039
