saos_id|date|court|case_number|type|score|saos_url
539264|2025-06-10|SO|I ACa 2834/23|Wyrok|56|https://www.saos.org.pl/judgments/539264
525286|2025-02-12|SO|I ACa 1314/23|Wyrok|56|https://www.saos.org.pl/judgments/525286
536605|2024-11-28|SO|I ACa 729/23|Wyrok|56|https://www.saos.org.pl/judgments/536605
533844|2024-11-14|SO|I ACa 1356/23|Wyrok|56|https://www.saos.org.pl/judgments/533844
504838|2024-06-20|SO|III AUa 1933/22|Wyrok|56|https://www.saos.org.pl/judgments/504838
504655|2024-06-20|SO|III AUa 10/23|Wyrok|56|https://www.saos.org.pl/judgments/504655
525838|2024-05-17|SO|III AUa 290/23|Wyrok|56|https://www.saos.org.pl/judgments/525838
516808|2024-05-09|SO|I ACa 1707/22|Wyrok|56|https://www.saos.org.pl/judgments/516808
521464|2024-04-25|SO|I ACa 237/24|Wyrok|56|https://www.saos.org.pl/judgments/521464
494985|2024-04-12|SO|I AGa 254/23|Wyrok|56|https://www.saos.org.pl/judgments/494985
504999|2024-02-22|SO|III AUa 451/22|Wyrok|56|https://www.saos.org.pl/judgments/504999
518163|2024-01-23|SO|I ACa 1228/23|Wyrok|56|https://www.saos.org.pl/judgments/518163
505177|2024-01-18|SO|III AUa 802/22|Wyrok|56|https://www.saos.org.pl/judgments/505177
505150|2023-12-29|SO|III AUa 742/22|Wyrok|56|https://www.saos.org.pl/judgments/505150
505134|2023-12-08|SO|III AUa 705/22|Wyrok|56|https://www.saos.org.pl/judgments/505134
505103|2023-11-16|SO|III AUa 66/23|Wyrok|56|https://www.saos.org.pl/judgments/505103
494240|2023-06-12|SO|I ACa 488/22|Wyrok|56|https://www.saos.org.pl/judgments/494240
504950|2023-05-18|SO|III AUa 381/22|Wyrok|56|https://www.saos.org.pl/judgments/504950
532710|2023-04-20|SO|I ACa 915/21|Wyrok|56|https://www.saos.org.pl/judgments/532710
504797|2023-03-27|SO|III AUa 16/23|Wyrok|56|https://www.saos.org.pl/judgments/504797
505030|2023-03-16|SO|III AUa 500/22|Wyrok|56|https://www.saos.org.pl/judgments/505030
527277|2022-09-21|SO|III AUa 193/22|Wyrok|56|https://www.saos.org.pl/judgments/527277
471227|2022-07-20|SO|I ACa 52/21|Wyrok|56|https://www.saos.org.pl/judgments/471227
478946|2022-06-06|SO|I ACa 517/21|Wyrok|56|https://www.saos.org.pl/judgments/478946
472735|2022-06-02|SO|II AKa 113/22|Wyrok|56|https://www.saos.org.pl/judgments/472735
473227|2022-05-12|SO|I ACa 940/21|Wyrok|56|https://www.saos.org.pl/judgments/473227
482651|2022-04-13|SO|VII AGa 815/20|Wyrok|56|https://www.saos.org.pl/judgments/482651
463293|2022-01-20|SO|V ACa 310/20|Wyrok|56|https://www.saos.org.pl/judgments/463293
469012|2021-11-24|SO|I ACa 759/20|Wyrok|56|https://www.saos.org.pl/judgments/469012
454746|2021-09-13|SO|V AGa 109/21|Wyrok|56|https://www.saos.org.pl/judgments/454746
482032|2021-08-19|SO|V ACa 98/21|Wyrok|56|https://www.saos.org.pl/judgments/482032
458045|2021-06-07|SO|VII AGa 294/19|Wyrok|56|https://www.saos.org.pl/judgments/458045
440488|2021-05-06|SO|III AUa 862/20|Wyrok|56|https://www.saos.org.pl/judgments/440488
447514|2021-04-20|SO|VII AGa 327/19|Wyrok|56|https://www.saos.org.pl/judgments/447514
445883|2021-04-19|SO|I AGa 261/19|Wyrok|56|https://www.saos.org.pl/judgments/445883
453618|2021-03-29|SO|V ACa 652/20|Wyrok|56|https://www.saos.org.pl/judgments/453618
447052|2021-01-29|SO|VI ACa 251/20|Wyrok|56|https://www.saos.org.pl/judgments/447052
440134|2021-01-28|SO|III AUa 491/20|Wyrok|56|https://www.saos.org.pl/judgments/440134
447054|2020-12-31|SO|VII AGa 889/19|Wyrok|56|https://www.saos.org.pl/judgments/447054
429050|2020-12-10|SO|I ACa 278/20|Wyrok|56|https://www.saos.org.pl/judgments/429050
452470|2020-11-30|SO|VI ACa 190/19|Wyrok|56|https://www.saos.org.pl/judgments/452470
435537|2020-11-24|SO|I AGa 217/19|Wyrok|56|https://www.saos.org.pl/judgments/435537
433086|2020-11-05|SO|I AGa 144/19|Wyrok|56|https://www.saos.org.pl/judgments/433086
423442|2020-10-12|SO|I AGa 90/19|Wyrok|56|https://www.saos.org.pl/judgments/423442
431330|2020-10-06|SO|I ACa 216/20|Wyrok|56|https://www.saos.org.pl/judgments/431330
437891|2020-08-28|SO|III APa 7/20|Wyrok|56|https://www.saos.org.pl/judgments/437891
419720|2020-08-28|SO|II AKa 249/19|Wyrok|56|https://www.saos.org.pl/judgments/419720
434727|2020-06-30|SO|I ACa 9/20|Wyrok|56|https://www.saos.org.pl/judgments/434727
419362|2020-06-09|SO|V ACa 89/20|Wyrok|56|https://www.saos.org.pl/judgments/419362
427945|2020-05-27|SO|III AUa 583/19|Wyrok|56|https://www.saos.org.pl/judgments/427945
409876|2020-01-15|SO|III AUa 851/19|Wyrok|56|https://www.saos.org.pl/judgments/409876
446847|2020-01-08|SO|I AGa 155/19|Wyrok|56|https://www.saos.org.pl/judgments/446847
421526|2019-12-13|SO|VI ACa 686/18|Wyrok|56|https://www.saos.org.pl/judgments/421526
400237|2019-10-29|SO|III AUa 878/19|Wyrok|56|https://www.saos.org.pl/judgments/400237
402304|2019-10-17|SO|I ACa 1182/18|Wyrok|56|https://www.saos.org.pl/judgments/402304
407113|2019-10-10|SO|I AGa 12/19|Wyrok|56|https://www.saos.org.pl/judgments/407113
401503|2019-09-30|SO|III APo 2/19|Wyrok|56|https://www.saos.org.pl/judgments/401503
412269|2019-07-12|SO|I AGa 70/18|Wyrok|56|https://www.saos.org.pl/judgments/412269
386058|2019-06-27|SO|III APa 7/19|Wyrok|56|https://www.saos.org.pl/judgments/386058
401285|2019-05-31|SO|III APa 4/14|Wyrok|56|https://www.saos.org.pl/judgments/401285
382089|2019-04-26|SO|I AGa 4/19|Wyrok|56|https://www.saos.org.pl/judgments/382089
380185|2019-04-16|SO|VII AGa 33/18|Wyrok|56|https://www.saos.org.pl/judgments/380185
405838|2019-03-29|SO|VII AGa 573/18|Wyrok|56|https://www.saos.org.pl/judgments/405838
389562|2019-03-20|SO|VI ACa 1316/17|Wyrok|56|https://www.saos.org.pl/judgments/389562
378565|2019-02-27|SO|III AUa 486/18|Wyrok|56|https://www.saos.org.pl/judgments/378565
381341|2019-02-06|SO|I ACa 449/18|Wyrok|56|https://www.saos.org.pl/judgments/381341
379739|2019-01-23|SO|V ACa 78/17|Wyrok|56|https://www.saos.org.pl/judgments/379739
402310|2019-01-10|SO|I ACa 661/18|Wyrok|56|https://www.saos.org.pl/judgments/402310
367404|2018-12-12|SO|V ACa 1519/17|Wyrok|56|https://www.saos.org.pl/judgments/367404
361382|2018-10-17|SO|I ACa 267/18|Wyrok|56|https://www.saos.org.pl/judgments/361382
359856|2018-10-01|SO|I ACa 974/17|Wyrok|56|https://www.saos.org.pl/judgments/359856
360437|2018-09-11|SO|II AKa 203/18|Wyrok|56|https://www.saos.org.pl/judgments/360437
354897|2018-07-19|SO|I ACa 324/18|Wyrok|56|https://www.saos.org.pl/judgments/354897
408405|2018-06-19|SO|III AUa 372/18|Wyrok|56|https://www.saos.org.pl/judgments/408405
376630|2018-06-14|SO|I AGa 137/18|Wyrok|56|https://www.saos.org.pl/judgments/376630
460013|2018-05-23|SO|I ACa 1334/17|Wyrok|56|https://www.saos.org.pl/judgments/460013
365972|2018-05-10|SO|V ACa 306/17|Wyrok|56|https://www.saos.org.pl/judgments/365972
434687|2018-03-27|SO|I ACa 1254/17|Wyrok|56|https://www.saos.org.pl/judgments/434687
352558|2018-03-08|SO|VII AGa 164/18|Wyrok|56|https://www.saos.org.pl/judgments/352558
409090|2018-02-28|SO|III AUa 1682/17|Wyrok|56|https://www.saos.org.pl/judgments/409090
347380|2018-02-06|SO|VII AGa 23/18|Wyrok|56|https://www.saos.org.pl/judgments/347380
322333|2017-11-28|SO|III AUa 613/16|Wyrok|56|https://www.saos.org.pl/judgments/322333
339981|2017-11-21|SO|V ACa 697/16|Wyrok|56|https://www.saos.org.pl/judgments/339981
332579|2017-11-07|SO|I ACa 608/17|Wyrok|56|https://www.saos.org.pl/judgments/332579
336327|2017-10-31|SO|I ACa 88/17|Wyrok|56|https://www.saos.org.pl/judgments/336327
325665|2017-10-26|SO|II AKa 367/17|Wyrok|56|https://www.saos.org.pl/judgments/325665
335763|2017-09-21|SO|I ACa 966/16|Wyrok|56|https://www.saos.org.pl/judgments/335763
300560|2017-06-28|SO|V ACa 755/16|Wyrok|56|https://www.saos.org.pl/judgments/300560
339277|2017-06-27|SO|I ACa 1844/16|Wyrok|56|https://www.saos.org.pl/judgments/339277
303036|2017-05-24|SO|I ACa 178/17|Wyrok|56|https://www.saos.org.pl/judgments/303036
312771|2017-05-11|SO|I ACa 442/16|Wyrok|56|https://www.saos.org.pl/judgments/312771
289292|2017-05-05|SO|VI ACa 473/14|Wyrok|56|https://www.saos.org.pl/judgments/289292
346841|2017-04-26|SO|I ACa 110/16|Wyrok|56|https://www.saos.org.pl/judgments/346841
306402|2017-04-06|SO|VI ACa 273/17|Wyrok|56|https://www.saos.org.pl/judgments/306402
307514|2017-02-02|SO|VI ACa 1750/15|Wyrok|56|https://www.saos.org.pl/judgments/307514
283752|2017-01-25|SO|I ACa 763/16|Wyrok|56|https://www.saos.org.pl/judgments/283752
265928|2016-12-12|SO|II AKa 315/16|Wyrok|56|https://www.saos.org.pl/judgments/265928
275806|2016-12-07|SO|I ACa 1081/15|Wyrok|56|https://www.saos.org.pl/judgments/275806
274692|2016-11-10|SO|VI ACa 1156/15|Wyrok|56|https://www.saos.org.pl/judgments/274692
283743|2016-10-28|SO|I ACa 259/16|Wyrok|56|https://www.saos.org.pl/judgments/283743
269391|2016-10-20|SO|I ACa 1746/15|Wyrok|56|https://www.saos.org.pl/judgments/269391
267272|2016-10-20|SO|I ACa 1732/15|Wyrok|56|https://www.saos.org.pl/judgments/267272
410174|2016-09-07|SO|III AUa 494/16|Wyrok|56|https://www.saos.org.pl/judgments/410174
326570|2016-08-26|SO|I ACa 699/16|Wyrok|56|https://www.saos.org.pl/judgments/326570
247871|2016-07-22|SO|I ACa 107/16|Wyrok|56|https://www.saos.org.pl/judgments/247871
410360|2016-06-15|SO|III AUa 2464/15|Wyrok|56|https://www.saos.org.pl/judgments/410360
227243|2016-05-06|SO|III AUa 2106/15|Wyrok|56|https://www.saos.org.pl/judgments/227243
410353|2016-05-05|SO|III AUa 2073/15|Wyrok|56|https://www.saos.org.pl/judgments/410353
224038|2016-04-28|SO|I ACa 58/15|Wyrok|56|https://www.saos.org.pl/judgments/224038
225943|2016-04-19|SO|I ACa 11/16|Wyrok|56|https://www.saos.org.pl/judgments/225943
215952|2016-03-08|SO|I ACa 793/15|Wyrok|56|https://www.saos.org.pl/judgments/215952
215930|2016-03-03|SO|I ACa 1315/15|Wyrok|56|https://www.saos.org.pl/judgments/215930
219716|2016-02-05|SO|III AUa 556/15|Wyrok|56|https://www.saos.org.pl/judgments/219716
212963|2016-02-04|SO|V ACa 319/15|Wyrok|56|https://www.saos.org.pl/judgments/212963
202352|2016-01-20|SO|I ACa 1057/15|Wyrok|56|https://www.saos.org.pl/judgments/202352
212493|2016-01-12|SO|I ACa 697/15|Wyrok|56|https://www.saos.org.pl/judgments/212493
