saos_id|date|court|case_number|type|saos_url
372133|2018-12-03|SO|IV Ka 650/18|Wyrok|https://www.saos.org.pl/judgments/372133
332436|2018-01-22|SO|V Ka 1008/17|Uzasadnienie|https://www.saos.org.pl/judgments/332436
318392|2017-11-29|SO|II Ka 699/17|Wyrok|https://www.saos.org.pl/judgments/318392
315344|2017-11-08|SO|II Ka 424/17|Wyrok|https://www.saos.org.pl/judgments/315344
304922|2017-08-25|SO|II AKa 153/17|Wyrok|https://www.saos.org.pl/judgments/304922
273924|2017-02-09|SO|II AKa 210/16|Wyrok|https://www.saos.org.pl/judgments/273924
278405|2016-12-06|SO|IV Ka 313/16|Wyrok|https://www.saos.org.pl/judgments/278405
260444|2016-11-04|SO|II AKa 296/16|Wyrok|https://www.saos.org.pl/judgments/260444
261312|2016-07-14|SO|II AKa 106/16|Wyrok|https://www.saos.org.pl/judgments/261312
196801|2015-11-25|SO|II AKa 259/15|Wyrok|https://www.saos.org.pl/judgments/196801
377624|2014-05-15|SO|II AKa 112/14|Wyrok|https://www.saos.org.pl/judgments/377624
41906|2014-03-27|SO|IX Ka 1163/13|Wyrok|https://www.saos.org.pl/judgments/41906
143798|2013-12-17|SO|II AKa 361/13|Wyrok|https://www.saos.org.pl/judgments/143798
83098|2005-01-04|SN|V KK 388/04|Postanowienie|https://www.saos.org.pl/judgments/83098
