saos_id|date|court|case_number|type|saos_url
525395|2025-04-12|SO|VII Pa 79/23|Wyrok|https://www.saos.org.pl/judgments/525395
501393|2024-04-15|SO|II AKzw 302/24|Uzasadnienie|https://www.saos.org.pl/judgments/501393
501372|2023-11-30|SO|II AKzw 1279/23|Postanowienie|https://www.saos.org.pl/judgments/501372
501371|2023-11-30|SO|II AKzw 1274/23|Postanowienie|https://www.saos.org.pl/judgments/501371
511810|2023-11-08|SO|VII Pa 107/22|Wyrok|https://www.saos.org.pl/judgments/511810
501366|2023-10-27|SO|II AKzw 1175/23|Postanowienie|https://www.saos.org.pl/judgments/501366
501364|2023-10-27|SO|II AKzw 1142/23|Postanowienie|https://www.saos.org.pl/judgments/501364
501416|2023-06-20|SO|II AKzw 921/23|Postanowienie|https://www.saos.org.pl/judgments/501416
501360|2023-06-20|SO|II AKzw 1021/23|Postanowienie|https://www.saos.org.pl/judgments/501360
501395|2023-04-04|SO|II AKzw 390/23|Postanowienie|https://www.saos.org.pl/judgments/501395
484095|2023-02-28|SO|II AKzw 195/23|Postanowienie|https://www.saos.org.pl/judgments/484095
501365|2023-02-15|SO|II AKzw 117/23|Postanowienie|https://www.saos.org.pl/judgments/501365
501388|2023-01-24|SO|II AKzw 2964/22|Postanowienie|https://www.saos.org.pl/judgments/501388
501390|2023-01-17|SO|II AKzw 2971/22|Postanowienie|https://www.saos.org.pl/judgments/501390
490172|2022-09-22|SO|I C 836/21|Wyrok|https://www.saos.org.pl/judgments/490172
470490|2022-07-13|SO|II AKzw 682/22|Postanowienie|https://www.saos.org.pl/judgments/470490
481368|2022-04-29|SO|VIII K 851/21|Wyrok|https://www.saos.org.pl/judgments/481368
463856|2022-04-20|SO|II AKzw 348/22|Postanowienie|https://www.saos.org.pl/judgments/463856
470254|2022-04-12|SO|II AKzw 251/22|Postanowienie|https://www.saos.org.pl/judgments/470254
463590|2022-02-23|SO|II AKzw 98/22|Postanowienie|https://www.saos.org.pl/judgments/463590
455132|2021-11-29|SO|I C 159/19|Wyrok|https://www.saos.org.pl/judgments/455132
449619|2021-10-01|SO|II AKzw 2357/21|Postanowienie|https://www.saos.org.pl/judgments/449619
449618|2021-09-30|SO|II AKzw 2071/21|Postanowienie|https://www.saos.org.pl/judgments/449618
447147|2021-07-16|SO|XII C 1639/18|Wyrok|https://www.saos.org.pl/judgments/447147
501367|2021-07-13|SO|II AKzw 1214/21|Postanowienie|https://www.saos.org.pl/judgments/501367
458893|2021-06-29|SO|III Kow 662/21|Postanowienie|https://www.saos.org.pl/judgments/458893
440646|2021-06-10|SO|II Kzw 78/21|Postanowienie|https://www.saos.org.pl/judgments/440646
457177|2021-04-02|SO|III Ca 1473/19|Uzasadnienie|https://www.saos.org.pl/judgments/457177
445688|2021-02-23|SO|I ACa 861/20|Wyrok|https://www.saos.org.pl/judgments/445688
436592|2020-10-27|SO|II AKzw 1708/20|Postanowienie|https://www.saos.org.pl/judgments/436592
437421|2020-10-19|SO|V ACa 159/18|Wyrok|https://www.saos.org.pl/judgments/437421
433756|2020-10-05|SO|IV Ka 689/20|Wyrok|https://www.saos.org.pl/judgments/433756
435075|2020-09-23|SO|V Ca 412/20|Wyrok|https://www.saos.org.pl/judgments/435075
418404|2020-06-30|SO|II Kow 165/20|Postanowienie|https://www.saos.org.pl/judgments/418404
417867|2020-05-19|SO|II AKzw 462/20|Postanowienie|https://www.saos.org.pl/judgments/417867
415894|2020-05-14|SO|II Kow 208/20|Postanowienie|https://www.saos.org.pl/judgments/415894
436606|2020-03-31|SO|II AKzw 427/20|Postanowienie|https://www.saos.org.pl/judgments/436606
439839|2020-03-24|SO|II AKzw 402/20|Postanowienie|https://www.saos.org.pl/judgments/439839
415980|2020-02-26|SO|II Kow 63/20|Postanowienie|https://www.saos.org.pl/judgments/415980
407565|2020-02-20|SO|II AKa 206/18|Wyrok|https://www.saos.org.pl/judgments/407565
436584|2020-01-28|SO|II AKzw 10/20|Postanowienie|https://www.saos.org.pl/judgments/436584
404139|2020-01-22|SO|II C 586/18|Wyrok|https://www.saos.org.pl/judgments/404139
406667|2020-01-21|SO|XII K 143/19|Wyrok|https://www.saos.org.pl/judgments/406667
415852|2020-01-14|SO|II Kow 1283/19|Postanowienie|https://www.saos.org.pl/judgments/415852
407398|2020-01-14|SO|II Kz 2/20|Postanowienie|https://www.saos.org.pl/judgments/407398
407384|2020-01-14|SO|II K 2/20|Postanowienie|https://www.saos.org.pl/judgments/407384
415857|2019-12-19|SO|II Kow 1317/19|Postanowienie|https://www.saos.org.pl/judgments/415857
415844|2019-12-19|SO|II Kow 1216/19|Postanowienie|https://www.saos.org.pl/judgments/415844
428310|2019-12-13|SO|I ACa 6/19|Wyrok|https://www.saos.org.pl/judgments/428310
415825|2019-11-28|SO|II Kow 1106/19|Postanowienie|https://www.saos.org.pl/judgments/415825
415816|2019-11-21|SO|II Kow 1049/19|Postanowienie|https://www.saos.org.pl/judgments/415816
421711|2019-10-30|SO|II Ca 1278/19|Wyrok|https://www.saos.org.pl/judgments/421711
396866|2019-10-28|SO|I C 123/19|Wyrok|https://www.saos.org.pl/judgments/396866
416008|2019-10-10|SO|II Kow 822/19|Postanowienie|https://www.saos.org.pl/judgments/416008
415813|2019-10-08|SO|II Kow 1024/19|Postanowienie|https://www.saos.org.pl/judgments/415813
415811|2019-10-08|SO|II Kow 1016/19|Postanowienie|https://www.saos.org.pl/judgments/415811
416017|2019-09-23|SO|II Kow 871/19|Postanowienie|https://www.saos.org.pl/judgments/416017
416030|2019-09-16|SO|II Kow 979/19|Postanowienie|https://www.saos.org.pl/judgments/416030
416007|2019-08-28|SO|II Kow 814/19|Postanowienie|https://www.saos.org.pl/judgments/416007
416000|2019-08-22|SO|II Kow 756/19|Postanowienie|https://www.saos.org.pl/judgments/416000
415989|2019-08-12|SO|II Kow 680/19|Postanowienie|https://www.saos.org.pl/judgments/415989
415993|2019-08-08|SO|II Kow 708/19|Postanowienie|https://www.saos.org.pl/judgments/415993
415985|2019-07-08|SO|II Kow 665/19|Postanowienie|https://www.saos.org.pl/judgments/415985
415979|2019-07-04|SO|II Kow 616/19|Postanowienie|https://www.saos.org.pl/judgments/415979
389470|2019-07-03|SO|IV Ka 72/19|Wyrok|https://www.saos.org.pl/judgments/389470
415933|2019-06-04|SO|II Kow 386/19|Postanowienie|https://www.saos.org.pl/judgments/415933
436607|2019-05-21|SO|II AKzw 771/19|Postanowienie|https://www.saos.org.pl/judgments/436607
415928|2019-05-09|SO|II Kow 373/19|Postanowienie|https://www.saos.org.pl/judgments/415928
415935|2019-04-29|SO|II Kow 391/19|Postanowienie|https://www.saos.org.pl/judgments/415935
415916|2019-04-29|SO|II Kow 305/19|Postanowienie|https://www.saos.org.pl/judgments/415916
378277|2019-04-26|SO|II K 59/19|Wyrok|https://www.saos.org.pl/judgments/378277
426848|2019-04-24|SO|V ACa 61/18|Wyrok|https://www.saos.org.pl/judgments/426848
415891|2019-04-11|SO|II Kow 203/19|Postanowienie|https://www.saos.org.pl/judgments/415891
407141|2019-04-09|SO|V ACa 808/17|Wyrok|https://www.saos.org.pl/judgments/407141
415882|2019-03-28|SO|II Kow 174/19|Postanowienie|https://www.saos.org.pl/judgments/415882
415860|2019-03-28|SO|II Kow 135/19|Postanowienie|https://www.saos.org.pl/judgments/415860
379866|2019-03-27|SO|V Pz 4/19|Postanowienie|https://www.saos.org.pl/judgments/379866
