saos_id|date|court|case_number|type|saos_url
442913|2021-05-21|SO|II W 51/21|Postanowienie|https://www.saos.org.pl/judgments/442913
442907|2021-03-30|SO|II W 342/21|Postanowienie|https://www.saos.org.pl/judgments/442907
426167|2020-07-23|SO|V ACa 712/19|Wyrok|https://www.saos.org.pl/judgments/426167
408481|2018-06-06|SO|III AUa 299/18|Wyrok|https://www.saos.org.pl/judgments/408481
327445|2018-01-23|SO|V U 978/17|Wyrok|https://www.saos.org.pl/judgments/327445
449407|2017-11-29|SO|III AUa 1285/17|Wyrok|https://www.saos.org.pl/judgments/449407
312217|2017-09-27|SO|VI U 514/17|Wyrok|https://www.saos.org.pl/judgments/312217
299403|2017-05-17|SO|VI U 310/17|Uzasadnienie|https://www.saos.org.pl/judgments/299403
309145|2017-04-11|SO|VII U 19/17|Wyrok|https://www.saos.org.pl/judgments/309145
357609|2016-11-24|SO|II Ca 101/15|Wyrok|https://www.saos.org.pl/judgments/357609
260822|2016-11-24|SO|III AUa 416/16|Wyrok|https://www.saos.org.pl/judgments/260822
398383|2016-11-16|SO|I C 1222/15|Wyrok|https://www.saos.org.pl/judgments/398383
240099|2016-07-18|SO|IV U 195/16|Wyrok|https://www.saos.org.pl/judgments/240099
234090|2016-06-23|SO|VII U 210/16|Wyrok|https://www.saos.org.pl/judgments/234090
205051|2016-02-16|SO|VIII U 2137/15|Zarządzenie|https://www.saos.org.pl/judgments/205051
184523|2015-09-22|SO|III AUa 573/15|Wyrok|https://www.saos.org.pl/judgments/184523
184444|2015-09-16|SO|III AUa 457/15|Wyrok|https://www.saos.org.pl/judgments/184444
178380|2015-09-15|SO|VII U 347/15|Wyrok|https://www.saos.org.pl/judgments/178380
177113|2015-07-29|SO|III AUa 1798/13|Wyrok|https://www.saos.org.pl/judgments/177113
203356|2015-02-10|SO|IV U 1611/14|Wyrok|https://www.saos.org.pl/judgments/203356
226860|2014-12-19|SO|VII U 1376/14|Wyrok|https://www.saos.org.pl/judgments/226860
72445|2014-10-28|SO|III AUa 2646/13|Wyrok|https://www.saos.org.pl/judgments/72445
62785|2014-08-06|SO|VIII U 1192/14|Wyrok|https://www.saos.org.pl/judgments/62785
206460|2014-07-30|TK|K 23/11|Wyrok|https://www.saos.org.pl/judgments/206460
60273|2014-07-30|SO|III AUa 1683/13|Wyrok|https://www.saos.org.pl/judgments/60273
56496|2014-07-30|SO|III AUa 1673/13|Wyrok|https://www.saos.org.pl/judgments/56496
55043|2014-06-02|SO|III AUa 1394/13|Wyrok|https://www.saos.org.pl/judgments/55043
55042|2014-06-02|SO|III AUa 1390/13|Wyrok|https://www.saos.org.pl/judgments/55042
51275|2014-05-27|SO|III AUa 1486/13|Wyrok|https://www.saos.org.pl/judgments/51275
53100|2014-05-20|SO|III AUa 938/13|Wyrok|https://www.saos.org.pl/judgments/53100
48270|2014-05-20|SO|III AUa 927/13|Wyrok|https://www.saos.org.pl/judgments/48270
51102|2014-04-15|SO|III AUa 823/13|Wyrok|https://www.saos.org.pl/judgments/51102
41039|2014-03-20|SO|III AUa 1374/13|Wyrok|https://www.saos.org.pl/judgments/41039
48264|2014-03-13|SO|III AUa 745/13|Wyrok|https://www.saos.org.pl/judgments/48264
45902|2014-02-13|SO|III AUa 674/13|Wyrok|https://www.saos.org.pl/judgments/45902
45901|2014-02-13|SO|III AUa 671/13|Wyrok|https://www.saos.org.pl/judgments/45901
45898|2014-02-06|SO|III AUa 653/13|Wyrok|https://www.saos.org.pl/judgments/45898
45897|2014-02-06|SO|III AUa 649/13|Wyrok|https://www.saos.org.pl/judgments/45897
36015|2014-01-30|SO|III AUa 817/13|Wyrok|https://www.saos.org.pl/judgments/36015
45436|2014-01-28|SO|III AUa 622/13|Wyrok|https://www.saos.org.pl/judgments/45436
47975|2014-01-09|SO|III AUa 563/13|Wyrok|https://www.saos.org.pl/judgments/47975
31713|2013-12-17|SO|III AUa 915/13|Wyrok|https://www.saos.org.pl/judgments/31713
36551|2013-12-05|SO|III AUa 489/13|Wyrok|https://www.saos.org.pl/judgments/36551
29005|2013-12-04|SO|III AUa 1047/13|Wyrok|https://www.saos.org.pl/judgments/29005
27797|2013-11-21|SO|III AUa 996/13|Wyrok|https://www.saos.org.pl/judgments/27797
24916|2013-10-24|SO|III AUa 876/13|Wyrok|https://www.saos.org.pl/judgments/24916
23316|2013-10-17|SO|III AUa 851/13|Wyrok|https://www.saos.org.pl/judgments/23316
27011|2013-10-15|SO|V U 813/13|Wyrok|https://www.saos.org.pl/judgments/27011
40840|2013-10-10|SO|III AUa 296/13|Wyrok|https://www.saos.org.pl/judgments/40840
40838|2013-10-03|SO|III AUa 269/13|Wyrok|https://www.saos.org.pl/judgments/40838
111690|2013-09-25|TK|SK 44/12|Postanowienie|https://www.saos.org.pl/judgments/111690
21935|2013-09-18|SO|III AUa 787/13|Wyrok|https://www.saos.org.pl/judgments/21935
20721|2013-09-04|SO|III AUa 720/13|Wyrok|https://www.saos.org.pl/judgments/20721
22240|2013-08-27|SO|V U 802/13|Wyrok|https://www.saos.org.pl/judgments/22240
15991|2013-07-10|SO|III AUa 500/13|Wyrok|https://www.saos.org.pl/judgments/15991
17488|2013-06-25|SO|V U 744/13|Wyrok|https://www.saos.org.pl/judgments/17488
16501|2013-06-25|SO|V U 764/13|Wyrok|https://www.saos.org.pl/judgments/16501
16942|2013-06-18|SO|V U 722/13|Wyrok|https://www.saos.org.pl/judgments/16942
16940|2013-06-18|SO|V U 644/13|Wyrok|https://www.saos.org.pl/judgments/16940
44269|2013-06-12|SO|III U 679/13|Wyrok|https://www.saos.org.pl/judgments/44269
16941|2013-06-11|SO|V U 672/13|Wyrok|https://www.saos.org.pl/judgments/16941
