saos_id|date|court|case_number|type|score|saos_url
101988|2013-06-06|SN|II UK 358/12|Wyrok|78|https://www.saos.org.pl/judgments/101988
87177|2008-01-30|SN|I UK 195/07|Wyrok|78|https://www.saos.org.pl/judgments/87177
245570|2015-06-03|SN|V CZ 33/15|Postanowienie|69|https://www.saos.org.pl/judgments/245570
433349|2021-01-21|SO|III AUa 403/20|Wyrok|56|https://www.saos.org.pl/judgments/433349
364360|2018-06-05|SO|I ACa 1247/17|Wyrok|56|https://www.saos.org.pl/judgments/364360
344584|2017-10-24|SO|III AUa 1621/16|Wyrok|56|https://www.saos.org.pl/judgments/344584
306412|2016-11-25|SO|VI ACa 946/15|Wyrok|56|https://www.saos.org.pl/judgments/306412
228202|2016-04-29|SO|I ACa 1180/15|Wyrok|56|https://www.saos.org.pl/judgments/228202
184503|2015-09-17|SO|III AUa 538/15|Wyrok|56|https://www.saos.org.pl/judgments/184503
173455|2015-05-29|SO|VI ACa 1025/14|Wyrok|56|https://www.saos.org.pl/judgments/173455
67107|2014-10-02|SO|III AUa 2629/13|Wyrok|56|https://www.saos.org.pl/judgments/67107
34657|2014-01-09|SO|III AUa 518/13|Wyrok|56|https://www.saos.org.pl/judgments/34657
699|2012-10-11|SO|III AUa 355/12|Wyrok|56|https://www.saos.org.pl/judgments/699
539679|2025-05-27|SO|II AKz 514/25|Postanowienie|47|https://www.saos.org.pl/judgments/539679
405265|2020-01-10|SO|IV U 958/19|Wyrok|40|https://www.saos.org.pl/judgments/405265
513852|2024-05-22|SO|VIII U 3607/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/513852
