saos_id|date|court|case_number|type|score|saos_url
545294|2026-04-27|SO|VII AGa 957/24|Wyrok|56|https://www.saos.org.pl/judgments/545294
547208|2026-04-13|SO|III AUa 137/26|Wyrok|56|https://www.saos.org.pl/judgments/547208
545235|2026-03-30|SO|V ACa 662/17|Wyrok|56|https://www.saos.org.pl/judgments/545235
546734|2026-01-19|SO|I ACa 1817/22|Wyrok|56|https://www.saos.org.pl/judgments/546734
544448|2025-11-20|SO|I ACa 951/25|Wyrok|56|https://www.saos.org.pl/judgments/544448
540046|2025-11-19|SO|V AGa 530/24|Wyrok|56|https://www.saos.org.pl/judgments/540046
544437|2025-11-14|SO|I ACa 1901/23|Wyrok|56|https://www.saos.org.pl/judgments/544437
537930|2025-07-03|SO|III AUa 669/24|Wyrok|56|https://www.saos.org.pl/judgments/537930
537891|2025-06-11|SO|III AUa 1032/24|Wyrok|56|https://www.saos.org.pl/judgments/537891
537937|2025-05-27|SO|III AUa 713/24|Wyrok|56|https://www.saos.org.pl/judgments/537937
538626|2025-04-10|SO|II AKa 57/25|Wyrok|56|https://www.saos.org.pl/judgments/538626
534710|2025-03-13|SO|III AUa 904/23|Wyrok|56|https://www.saos.org.pl/judgments/534710
545987|2025-02-26|SO|I ACa 2580/23|Wyrok|56|https://www.saos.org.pl/judgments/545987
531374|2025-02-26|SO|III AUa 267/23|Wyrok|56|https://www.saos.org.pl/judgments/531374
530847|2025-02-13|SO|I ACa 547/18|Wyrok|56|https://www.saos.org.pl/judgments/530847
523359|2024-12-16|SO|II AKa 301/24|Wyrok|56|https://www.saos.org.pl/judgments/523359
531298|2024-12-13|SO|III AUa 404/23|Wyrok|56|https://www.saos.org.pl/judgments/531298
531482|2024-11-28|SO|I ACa 1674/23|Wyrok|56|https://www.saos.org.pl/judgments/531482
520835|2024-11-14|SO|II AKa 359/24|Wyrok|56|https://www.saos.org.pl/judgments/520835
533521|2024-11-12|SO|I ACa 1099/22|Wyrok|56|https://www.saos.org.pl/judgments/533521
531503|2024-10-31|SO|I ACa 562/24|Wyrok|56|https://www.saos.org.pl/judgments/531503
521003|2024-10-30|SO|III AUa 844/23|Wyrok|56|https://www.saos.org.pl/judgments/521003
534354|2024-10-29|SO|I ACa 3404/23|Wyrok|56|https://www.saos.org.pl/judgments/534354
545668|2024-09-30|SO|I ACa 2743/23|Wyrok|56|https://www.saos.org.pl/judgments/545668
541846|2024-08-22|SO|II AKa 220/24|Wyrok|56|https://www.saos.org.pl/judgments/541846
530693|2024-07-18|SO|III AUa 208/23|Wyrok|56|https://www.saos.org.pl/judgments/530693
528780|2024-07-05|SO|I ACa 814/24|Wyrok|56|https://www.saos.org.pl/judgments/528780
505011|2024-05-21|SO|III AUa 468/23|Wyrok|56|https://www.saos.org.pl/judgments/505011
493904|2024-05-15|SO|I ACa 2181/22|Wyrok|56|https://www.saos.org.pl/judgments/493904
501096|2024-04-26|SO|II AKa 420/23|Wyrok|56|https://www.saos.org.pl/judgments/501096
520664|2024-04-18|SO|III AUa 226/23|Wyrok|56|https://www.saos.org.pl/judgments/520664
520670|2024-04-11|SO|III AUa 655/22|Wyrok|56|https://www.saos.org.pl/judgments/520670
504921|2024-03-15|SO|III AUa 33/23|Wyrok|56|https://www.saos.org.pl/judgments/504921
504712|2024-03-05|SO|III AUa 1262/22|Wyrok|56|https://www.saos.org.pl/judgments/504712
519206|2024-02-28|SO|III AUa 552/23|Wyrok|56|https://www.saos.org.pl/judgments/519206
500894|2024-02-23|SO|II AKa 301/22|Wyrok|56|https://www.saos.org.pl/judgments/500894
500411|2024-02-15|SO|II AKa 102/23|Wyrok|56|https://www.saos.org.pl/judgments/500411
505048|2024-02-01|SO|III AUa 533/22|Wyrok|56|https://www.saos.org.pl/judgments/505048
505147|2024-01-31|SO|III AUa 737/22|Wyrok|56|https://www.saos.org.pl/judgments/505147
504775|2024-01-31|SO|III AUa 1526/22|Wyrok|56|https://www.saos.org.pl/judgments/504775
504762|2024-01-17|SO|III AUa 1486/22|Wyrok|56|https://www.saos.org.pl/judgments/504762
500991|2023-12-20|SO|II AKa 344/23|Wyrok|56|https://www.saos.org.pl/judgments/500991
504821|2023-12-08|SO|III AUa 175/23|Wyrok|56|https://www.saos.org.pl/judgments/504821
505056|2023-12-05|SO|III AUa 550/22|Wyrok|56|https://www.saos.org.pl/judgments/505056
500859|2023-11-24|SO|II AKa 286/23|Wyrok|56|https://www.saos.org.pl/judgments/500859
505107|2023-11-15|SO|III AUa 668/22|Wyrok|56|https://www.saos.org.pl/judgments/505107
494683|2023-10-26|SO|I ACa 880/23|Wyrok|56|https://www.saos.org.pl/judgments/494683
494122|2023-09-08|SO|I ACa 379/22|Wyrok|56|https://www.saos.org.pl/judgments/494122
504654|2023-08-23|SO|III AUa 10/22|Wyrok|56|https://www.saos.org.pl/judgments/504654
494557|2023-06-30|SO|I ACa 767/19|Wyrok|56|https://www.saos.org.pl/judgments/494557
493598|2023-05-31|SO|I ACa 1408/21|Wyrok|56|https://www.saos.org.pl/judgments/493598
491171|2023-05-29|SO|I ACa 42/22|Wyrok|56|https://www.saos.org.pl/judgments/491171
491842|2023-05-17|SO|II AKa 411/22|Wyrok|56|https://www.saos.org.pl/judgments/491842
492965|2023-05-10|SO|III AUa 907/21|Wyrok|56|https://www.saos.org.pl/judgments/492965
494387|2023-04-26|SO|I ACa 62/22|Wyrok|56|https://www.saos.org.pl/judgments/494387
491839|2023-04-25|SO|II AKa 281/22|Wyrok|56|https://www.saos.org.pl/judgments/491839
490634|2023-04-21|SO|I ACa 1064/21|Wyrok|56|https://www.saos.org.pl/judgments/490634
492950|2023-04-20|SO|III AUa 368/21|Wyrok|56|https://www.saos.org.pl/judgments/492950
516814|2023-04-19|SO|I ACa 807/22|Wyrok|56|https://www.saos.org.pl/judgments/516814
519202|2023-04-13|SO|III AUa 390/23|Wyrok|56|https://www.saos.org.pl/judgments/519202
490471|2023-03-31|SO|II AKa 84/22|Wyrok|56|https://www.saos.org.pl/judgments/490471
518635|2023-03-28|SO|I ACa 2427/22|Wyrok|56|https://www.saos.org.pl/judgments/518635
504970|2023-02-28|SO|III AUa 405/22|Wyrok|56|https://www.saos.org.pl/judgments/504970
517000|2023-02-16|SO|I ACa 333/22|Wyrok|56|https://www.saos.org.pl/judgments/517000
487302|2023-02-15|SO|III AUa 816/21|Wyrok|56|https://www.saos.org.pl/judgments/487302
490851|2023-02-07|SO|I ACa 620/22|Wyrok|56|https://www.saos.org.pl/judgments/490851
491458|2023-02-06|SO|II AKa 382/21|Wyrok|56|https://www.saos.org.pl/judgments/491458
486366|2023-01-31|SO|III AUa 75/21|Wyrok|56|https://www.saos.org.pl/judgments/486366
494723|2023-01-25|SO|I ACa 911/21|Wyrok|56|https://www.saos.org.pl/judgments/494723
494695|2023-01-25|SO|I ACa 891/21|Wyrok|56|https://www.saos.org.pl/judgments/494695
481975|2023-01-11|SO|V ACa 399/22|Wyrok|56|https://www.saos.org.pl/judgments/481975
494496|2023-01-10|SO|I ACa 704/21|Wyrok|56|https://www.saos.org.pl/judgments/494496
481807|2022-12-29|SO|V ACa 849/21|Wyrok|56|https://www.saos.org.pl/judgments/481807
484463|2022-12-14|SO|III AUa 635/19|Wyrok|56|https://www.saos.org.pl/judgments/484463
483341|2022-12-06|SO|II AKa 396/21|Wyrok|56|https://www.saos.org.pl/judgments/483341
509838|2022-11-30|SO|V ACa 629/21|Wyrok|56|https://www.saos.org.pl/judgments/509838
485386|2022-11-25|SO|VI ACa 1005/21|Wyrok|56|https://www.saos.org.pl/judgments/485386
493661|2022-11-23|SO|I ACa 1493/21|Wyrok|56|https://www.saos.org.pl/judgments/493661
487293|2022-11-23|SO|III AUa 470/21|Wyrok|56|https://www.saos.org.pl/judgments/487293
547780|2022-11-18|SO|V ACa 566/22|Wyrok|56|https://www.saos.org.pl/judgments/547780
480035|2022-11-16|SO|V ACa 181/22|Wyrok|56|https://www.saos.org.pl/judgments/480035
479772|2022-11-15|SO|I ACa 338/18|Wyrok|56|https://www.saos.org.pl/judgments/479772
482591|2022-11-08|SO|I ACa 585/21|Wyrok|56|https://www.saos.org.pl/judgments/482591
477907|2022-11-04|SO|V ACa 229/22|Wyrok|56|https://www.saos.org.pl/judgments/477907
509772|2022-10-28|SO|V ACa 344/20|Wyrok|56|https://www.saos.org.pl/judgments/509772
478387|2022-09-27|SO|III AUa 1140/21|Wyrok|56|https://www.saos.org.pl/judgments/478387
477345|2022-09-23|SO|III AUa 501/21|Wyrok|56|https://www.saos.org.pl/judgments/477345
500522|2022-09-08|SO|II AKa 156/22|Wyrok|56|https://www.saos.org.pl/judgments/500522
473174|2022-08-25|SO|V ACa 95/20|Wyrok|56|https://www.saos.org.pl/judgments/473174
527276|2022-07-27|SO|III AUa 1605/21|Wyrok|56|https://www.saos.org.pl/judgments/527276
476031|2022-07-05|SO|VI ACa 16/20|Wyrok|56|https://www.saos.org.pl/judgments/476031
478776|2022-06-14|SO|I ACa 173/22|Wyrok|56|https://www.saos.org.pl/judgments/478776
494405|2022-06-13|SO|I ACa 628/20|Wyrok|56|https://www.saos.org.pl/judgments/494405
473047|2022-06-08|SO|I ACa 368/21|Wyrok|56|https://www.saos.org.pl/judgments/473047
