saos_id|date|court|case_number|type|score|saos_url
87012|2008-01-09|SN|III UK 77/07|Wyrok|78|https://www.saos.org.pl/judgments/87012
87009|2008-01-09|SN|III UK 73/07|Wyrok|78|https://www.saos.org.pl/judgments/87009
79775|2000-06-08|SN|II UKN 576/99|Wyrok|78|https://www.saos.org.pl/judgments/79775
83333|2005-04-13|SN|III KK 23/05|Postanowienie|69|https://www.saos.org.pl/judgments/83333
389899|2019-06-24|SO|III AUa 956/18|Wyrok|56|https://www.saos.org.pl/judgments/389899
151749|2015-04-08|SO|III AUa 1109/14|Wyrok|56|https://www.saos.org.pl/judgments/151749
35963|2013-10-24|SO|III AUa 345/13|Wyrok|56|https://www.saos.org.pl/judgments/35963
7936|2013-03-05|SO|III AUa 1183/12|Wyrok|56|https://www.saos.org.pl/judgments/7936
4325|2012-12-06|SO|III AUa 581/12|Wyrok|56|https://www.saos.org.pl/judgments/4325
4770|2012-11-23|SO|III AUa 865/12|Wyrok|56|https://www.saos.org.pl/judgments/4770
2869|2012-11-15|SO|III AUa 646/12|Wyrok|56|https://www.saos.org.pl/judgments/2869
2861|2012-01-26|SO|III AUa 1101/11|Wyrok|56|https://www.saos.org.pl/judgments/2861
461316|2022-03-14|SO|VIII U 966/21|Uzasadnienie|27|https://www.saos.org.pl/judgments/461316
342110|2018-06-08|SO|VIII U 2488/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/342110
