saos_id|date|court|case_number|type|score|saos_url
253309|2016-10-14|SO|III APa 22/16|Wyrok|56|https://www.saos.org.pl/judgments/253309
13180|2013-04-03|SO|III APa 30/12|Wyrok|56|https://www.saos.org.pl/judgments/13180
403942|2019-10-30|SO|VI P 193/17|Wyrok|40|https://www.saos.org.pl/judgments/403942
334296|2017-12-07|SO|IV Pa 66/17|Wyrok|40|https://www.saos.org.pl/judgments/334296
335848|2017-02-07|SO|VI P 581/12|Wyrok|40|https://www.saos.org.pl/judgments/335848
48223|2014-04-07|SO|VI P 571/13|Wyrok|40|https://www.saos.org.pl/judgments/48223
492133|2023-07-24|SO|VIII Pa 44/23|Uzasadnienie|27|https://www.saos.org.pl/judgments/492133
406541|2020-02-26|SO|VIII Pa 141/19|Uzasadnienie|27|https://www.saos.org.pl/judgments/406541
339753|2018-04-23|SO|VIII Pa 279/17|Uzasadnienie|27|https://www.saos.org.pl/judgments/339753
239500|2016-06-23|SO|VII Pa 112/16|Uzasadnienie|27|https://www.saos.org.pl/judgments/239500
234926|2016-06-16|SO|VII Pa 210/15|Uzasadnienie|27|https://www.saos.org.pl/judgments/234926
180848|2015-10-14|SO|VII Pa 200/15|Uzasadnienie|27|https://www.saos.org.pl/judgments/180848
157597|2015-06-15|SO|VII Pa 44/15|Uzasadnienie|27|https://www.saos.org.pl/judgments/157597
