saos_id|date|court|case_number|type|saos_url
544696|2026-03-11|SO|IV P 1307/24|Wyrok|https://www.saos.org.pl/judgments/544696
544697|2026-03-10|SO|IV P 1658/24|Wyrok|https://www.saos.org.pl/judgments/544697
544305|2026-03-03|SO|IV P 1282/24|Wyrok|https://www.saos.org.pl/judgments/544305
544528|2026-02-25|SO|IV P 797/24|Uzasadnienie|https://www.saos.org.pl/judgments/544528
542893|2026-02-25|SO|III Pa 40/25|Wyrok|https://www.saos.org.pl/judgments/542893
542475|2026-02-24|SO|IV P 69/25|Wyrok|https://www.saos.org.pl/judgments/542475
544698|2026-02-20|SO|IV P 1681/24|Wyrok|https://www.saos.org.pl/judgments/544698
543307|2026-02-18|SO|I C 778/22|Wyrok|https://www.saos.org.pl/judgments/543307
544309|2026-02-06|SO|IV P 2024/24|Wyrok|https://www.saos.org.pl/judgments/544309
544307|2026-02-05|SO|IV P 165/25|Wyrok|https://www.saos.org.pl/judgments/544307
543358|2026-01-29|SO|IV P 73/25|Wyrok|https://www.saos.org.pl/judgments/543358
541081|2026-01-23|SO|XIV Pa 187/25|Wyrok|https://www.saos.org.pl/judgments/541081
544675|2026-01-16|SO|I C 822/22|Wyrok|https://www.saos.org.pl/judgments/544675
541736|2026-01-15|SO|VIII Pa 188/25|Uzasadnienie|https://www.saos.org.pl/judgments/541736
542064|2026-01-13|SO|IV P 1069/24|Uzasadnienie|https://www.saos.org.pl/judgments/542064
542093|2026-01-09|SO|IV P 2013/24|Wyrok|https://www.saos.org.pl/judgments/542093
541899|2026-01-07|SO|IV P 1305/23|Wyrok|https://www.saos.org.pl/judgments/541899
543086|2025-12-22|SO|IV P 209/25|Wyrok|https://www.saos.org.pl/judgments/543086
540272|2025-12-19|SO|IV P 1732/24|Wyrok|https://www.saos.org.pl/judgments/540272
542068|2025-12-16|SO|IV P 681/24|Wyrok|https://www.saos.org.pl/judgments/542068
541530|2025-12-11|SO|IV U 453/25|Wyrok|https://www.saos.org.pl/judgments/541530
540044|2025-12-09|SO|IV U 880/25|Uzasadnienie|https://www.saos.org.pl/judgments/540044
540186|2025-12-03|SO|IV P 1659/24|Wyrok|https://www.saos.org.pl/judgments/540186
540269|2025-12-02|SO|IV P 1337/24|Wyrok|https://www.saos.org.pl/judgments/540269
541655|2025-11-19|SO|IV P 176/25|Wyrok|https://www.saos.org.pl/judgments/541655
543030|2025-11-17|SO|IV P 70/24|Uzasadnienie|https://www.saos.org.pl/judgments/543030
540807|2025-11-17|SO|V P 187/25|Wyrok|https://www.saos.org.pl/judgments/540807
537140|2025-11-12|SO|VIII Pa 193/25|Uzasadnienie|https://www.saos.org.pl/judgments/537140
542413|2025-11-04|SO|VIII Pa 152/25|Uzasadnienie|https://www.saos.org.pl/judgments/542413
541261|2025-11-04|SO|V P 292/24|Wyrok|https://www.saos.org.pl/judgments/541261
538960|2025-11-04|SO|VII P 25/23|Wyrok|https://www.saos.org.pl/judgments/538960
537185|2025-11-04|SO|IX P 114/24|Zarządzenie|https://www.saos.org.pl/judgments/537185
539508|2025-10-17|SO|V U 84/25|Wyrok|https://www.saos.org.pl/judgments/539508
542141|2025-10-08|SO|VIII Pa 130/25|Uzasadnienie|https://www.saos.org.pl/judgments/542141
539704|2025-10-06|SO|V U 324/24|Wyrok|https://www.saos.org.pl/judgments/539704
537832|2025-10-01|SO|IV P 1198/24|Wyrok|https://www.saos.org.pl/judgments/537832
537833|2025-09-24|SO|IV P 1293/23|Wyrok|https://www.saos.org.pl/judgments/537833
537520|2025-09-16|SO|VIII P 49/24|Uzasadnienie|https://www.saos.org.pl/judgments/537520
