saos_id|date|court|case_number|type|score|saos_url
542880|2025-07-07|SO|III AUa 147/25|Wyrok|56|https://www.saos.org.pl/judgments/542880
541209|2025-07-07|SO|III AUa 166/25|Wyrok|56|https://www.saos.org.pl/judgments/541209
537930|2025-07-03|SO|III AUa 669/24|Wyrok|56|https://www.saos.org.pl/judgments/537930
543168|2025-06-04|SO|II AKa 145/25|Wyrok|56|https://www.saos.org.pl/judgments/543168
537937|2025-05-27|SO|III AUa 713/24|Wyrok|56|https://www.saos.org.pl/judgments/537937
538423|2025-05-22|SO|III AUa 394/24|Wyrok|56|https://www.saos.org.pl/judgments/538423
537928|2025-04-09|SO|III AUa 578/24|Wyrok|56|https://www.saos.org.pl/judgments/537928
541105|2025-03-20|SO|III AUa 44/25|Wyrok|56|https://www.saos.org.pl/judgments/541105
532070|2025-03-12|SO|III AUa 429/24|Wyrok|56|https://www.saos.org.pl/judgments/532070
531776|2025-03-05|SO|III AUa 334/24|Wyrok|56|https://www.saos.org.pl/judgments/531776
522828|2025-02-26|SO|III AUa 634/24|Wyrok|56|https://www.saos.org.pl/judgments/522828
517070|2024-11-06|SO|III AUa 754/23|Wyrok|56|https://www.saos.org.pl/judgments/517070
518946|2024-10-17|SO|II AKa 285/24|Wyrok|56|https://www.saos.org.pl/judgments/518946
526407|2024-10-09|SO|II AKa 350/23|Wyrok|56|https://www.saos.org.pl/judgments/526407
538350|2024-09-19|SO|II AKa 201/24|Wyrok|56|https://www.saos.org.pl/judgments/538350
504893|2024-06-26|SO|III AUa 295/23|Wyrok|56|https://www.saos.org.pl/judgments/504893
519159|2024-05-28|SO|I ACa 2656/23|Wyrok|56|https://www.saos.org.pl/judgments/519159
505011|2024-05-21|SO|III AUa 468/23|Wyrok|56|https://www.saos.org.pl/judgments/505011
501130|2024-05-20|SO|II AKa 445/23|Wyrok|56|https://www.saos.org.pl/judgments/501130
505152|2024-05-16|SO|III AUa 746/23|Wyrok|56|https://www.saos.org.pl/judgments/505152
544818|2024-04-22|SO|I ACa 2136/22|Wyrok|56|https://www.saos.org.pl/judgments/544818
522871|2024-04-17|SO|I ACa 751/22|Wyrok|56|https://www.saos.org.pl/judgments/522871
501002|2024-04-03|SO|II AKa 355/23|Wyrok|56|https://www.saos.org.pl/judgments/501002
504712|2024-03-05|SO|III AUa 1262/22|Wyrok|56|https://www.saos.org.pl/judgments/504712
504737|2024-02-21|SO|III AUa 137/23|Wyrok|56|https://www.saos.org.pl/judgments/504737
500411|2024-02-15|SO|II AKa 102/23|Wyrok|56|https://www.saos.org.pl/judgments/500411
518776|2024-02-09|SO|I ACa 1986/22|Wyrok|56|https://www.saos.org.pl/judgments/518776
505078|2023-12-19|SO|III AUa 594/22|Wyrok|56|https://www.saos.org.pl/judgments/505078
