saos_id|date|court|case_number|type|score|saos_url
206689|2015-07-07|TK|K 47/12|Wyrok|98|https://www.saos.org.pl/judgments/206689
109693|2010-07-12|TK|P 4/10|Wyrok|98|https://www.saos.org.pl/judgments/109693
108977|2009-03-31|TK|K 28/08|Wyrok|98|https://www.saos.org.pl/judgments/108977
106272|2002-11-18|TK|K 37/01|Wyrok|98|https://www.saos.org.pl/judgments/106272
81978|2003-04-25|SN|III CZP 8/03|Uchwała|96|https://www.saos.org.pl/judgments/81978
169036|2015-05-06|SN|III PZP 2/15|Uchwała|89|https://www.saos.org.pl/judgments/169036
104330|2014-02-06|SN|II PZP 2/13|Uchwała|89|https://www.saos.org.pl/judgments/104330
92323|2010-05-25|SN|I PZP 4/10|Uchwała|89|https://www.saos.org.pl/judgments/92323
92073|2010-03-18|SN|II PZP 1/10|Uchwała|89|https://www.saos.org.pl/judgments/92073
92050|2010-03-16|SN|I PZP 1/10|Uchwała|89|https://www.saos.org.pl/judgments/92050
80512|2001-04-11|SN|III ZP 7/01|Uchwała|89|https://www.saos.org.pl/judgments/80512
77765|1997-08-20|SN|III ZP 26/97|Uchwała|89|https://www.saos.org.pl/judgments/77765
206621|2014-12-08|TK|Ts 277/14|Postanowienie|80|https://www.saos.org.pl/judgments/206621
109535|2009-11-17|TK|Ts 333/08|Postanowienie|80|https://www.saos.org.pl/judgments/109535
107245|2005-01-10|TK|SK 14/02|Postanowienie|80|https://www.saos.org.pl/judgments/107245
106271|2002-10-09|TK|K 37/01|Postanowienie|80|https://www.saos.org.pl/judgments/106271
245112|2016-04-14|SN|III PK 96/15|Wyrok|78|https://www.saos.org.pl/judgments/245112
244991|2016-03-22|SN|I PK 94/15|Wyrok|78|https://www.saos.org.pl/judgments/244991
244982|2016-03-22|SN|II PK 29/15|Wyrok|78|https://www.saos.org.pl/judgments/244982
244852|2016-03-10|SN|III BP 5/15|Wyrok|78|https://www.saos.org.pl/judgments/244852
244823|2016-03-10|SN|III BP 7/15|Wyrok|78|https://www.saos.org.pl/judgments/244823
244854|2016-03-09|SN|I PK 91/15|Wyrok|78|https://www.saos.org.pl/judgments/244854
244684|2016-02-25|SN|II PK 357/14|Wyrok|78|https://www.saos.org.pl/judgments/244684
244435|2016-01-27|SN|III BP 4/15|Wyrok|78|https://www.saos.org.pl/judgments/244435
244455|2016-01-26|SN|II PK 303/14|Wyrok|78|https://www.saos.org.pl/judgments/244455
244369|2016-01-19|SN|I PK 2/15|Wyrok|78|https://www.saos.org.pl/judgments/244369
244351|2016-01-19|SN|I PK 72/15|Wyrok|78|https://www.saos.org.pl/judgments/244351
244240|2016-01-13|SN|II PK 302/14|Wyrok|78|https://www.saos.org.pl/judgments/244240
244093|2015-12-08|SN|I PK 339/14|Wyrok|78|https://www.saos.org.pl/judgments/244093
243778|2015-11-04|SN|II PK 36/15|Wyrok|78|https://www.saos.org.pl/judgments/243778
243706|2015-10-27|SN|II PK 267/15|Wyrok|78|https://www.saos.org.pl/judgments/243706
243494|2015-10-07|SN|II PK 236/14|Wyrok|78|https://www.saos.org.pl/judgments/243494
243367|2015-09-24|SN|I PK 120/15|Wyrok|78|https://www.saos.org.pl/judgments/243367
243198|2015-08-26|SN|I PK 93/15|Wyrok|78|https://www.saos.org.pl/judgments/243198
243125|2015-08-13|SN|II PK 234/14|Wyrok|78|https://www.saos.org.pl/judgments/243125
242876|2015-06-24|SN|II PK 197/14|Wyrok|78|https://www.saos.org.pl/judgments/242876
242902|2015-06-22|SN|I PK 240/14|Wyrok|78|https://www.saos.org.pl/judgments/242902
168956|2015-04-21|SN|II PK 147/14|Wyrok|78|https://www.saos.org.pl/judgments/168956
168745|2015-04-01|SN|II PK 134/14|Wyrok|78|https://www.saos.org.pl/judgments/168745
168703|2015-03-25|SN|III PK 120/14|Wyrok|78|https://www.saos.org.pl/judgments/168703
168513|2015-03-03|SN|I PK 176/14|Wyrok|78|https://www.saos.org.pl/judgments/168513
168401|2015-02-26|SN|III PK 101/14|Wyrok|78|https://www.saos.org.pl/judgments/168401
168351|2015-02-18|SN|III PK 83/14|Wyrok|78|https://www.saos.org.pl/judgments/168351
168363|2015-02-17|SN|I UK 227/14|Wyrok|78|https://www.saos.org.pl/judgments/168363
168263|2015-02-11|SN|I PK 152/14|Wyrok|78|https://www.saos.org.pl/judgments/168263
168125|2015-01-27|SN|II PK 65/14|Wyrok|78|https://www.saos.org.pl/judgments/168125
167971|2015-01-22|SN|III PK 56/14|Wyrok|78|https://www.saos.org.pl/judgments/167971
167866|2015-01-14|SN|II PK 54/14|Wyrok|78|https://www.saos.org.pl/judgments/167866
