saos_id|date|court|case_number|type|saos_url
517756|2024-11-20|SO|VII Pa 84/23|Wyrok|https://www.saos.org.pl/judgments/517756
517755|2024-11-20|SO|VII Pa 82/23|Wyrok|https://www.saos.org.pl/judgments/517755
474080|2020-09-30|SO|III AUa 297/19|Wyrok|https://www.saos.org.pl/judgments/474080
415596|2020-03-06|SO|VIII U 1737/18|Zarządzenie|https://www.saos.org.pl/judgments/415596
388311|2019-07-04|SO|VIII U 430/19|Uzasadnienie|https://www.saos.org.pl/judgments/388311
380706|2019-03-12|SO|VIII U 2565/18|Uzasadnienie|https://www.saos.org.pl/judgments/380706
368737|2018-11-30|SO|IV U 412/18|Wyrok|https://www.saos.org.pl/judgments/368737
366247|2018-10-25|SO|VIII Pa 86/18|Wyrok|https://www.saos.org.pl/judgments/366247
324233|2018-01-04|SO|VIII P 42/14|Uzasadnienie|https://www.saos.org.pl/judgments/324233
286983|2017-05-19|SO|VIII P 2/16|Uzasadnienie|https://www.saos.org.pl/judgments/286983
248577|2016-09-12|SO|VIII Pa 10/16|Uzasadnienie|https://www.saos.org.pl/judgments/248577
239536|2016-07-12|SO|VIII Pa 40/16|Uzasadnienie|https://www.saos.org.pl/judgments/239536
173697|2015-07-14|SO|IV P 629/14|Wyrok|https://www.saos.org.pl/judgments/173697
66753|2014-09-30|SO|V Pa 18/14|Wyrok|https://www.saos.org.pl/judgments/66753
104329|2014-02-06|SN|II PK 199/13|Wyrok|https://www.saos.org.pl/judgments/104329
87171|2008-01-29|SN|I PK 196/07|Wyrok|https://www.saos.org.pl/judgments/87171
78229|1998-04-02|SN|I PKN 521/97|Wyrok|https://www.saos.org.pl/judgments/78229
